RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,594f2bc25c1e0700017cb0b9,"07/06/2022, 19:12:56"
10153,E_F_Dawn_Roma_French.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,594f2bc25c1e0700017cb0b9,"07/06/2022, 19:12:56"
4225,P_F_Theresa_May.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,594f2bc25c1e0700017cb0b9,"07/06/2022, 19:12:56"
4012,E_M_Peter_Kay.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,594f2bc25c1e0700017cb0b9,"07/06/2022, 19:12:56"
4213,E_M_Simon_Pegg.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,594f2bc25c1e0700017cb0b9,"07/06/2022, 19:12:56"
3905,E_F_Sarah_Millican.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,594f2bc25c1e0700017cb0b9,"07/06/2022, 19:12:56"
15978,E_F_Dawn_Roma_French.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,594f2bc25c1e0700017cb0b9,"07/06/2022, 19:12:56"
5293,E_M_Russell_Howard.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,594f2bc25c1e0700017cb0b9,"07/06/2022, 19:12:56"
23207,E_M_Ewan_McGregor.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,594f2bc25c1e0700017cb0b9,"07/06/2022, 19:12:56"
4182,E_F_Jennifer_Saunders.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,594f2bc25c1e0700017cb0b9,"07/06/2022, 19:12:56"
3739,E_F_Julie_Walters.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,594f2bc25c1e0700017cb0b9,"07/06/2022, 19:12:56"
34023,E_F_Jennifer_Saunders.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,594f2bc25c1e0700017cb0b9,"07/06/2022, 19:12:56"
11515,P_M_david_camer.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,594f2bc25c1e0700017cb0b9,"07/06/2022, 19:12:56"
3664,E_M_Simon_Pegg.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,594f2bc25c1e0700017cb0b9,"07/06/2022, 19:12:56"
12102,E_F_Dawn_Roma_French.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,594f2bc25c1e0700017cb0b9,"07/06/2022, 19:12:56"
8711,P_M_jeremy_corbyn.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,594f2bc25c1e0700017cb0b9,"07/06/2022, 19:12:56"
9247,E_F_Julie_Walters.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,594f2bc25c1e0700017cb0b9,"07/06/2022, 19:12:56"
14173,E_F_Jennifer_Saunders.png,E_F_Julie_Walters.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,594f2bc25c1e0700017cb0b9,"07/06/2022, 19:12:56"
12355,E_F_Jennifer_Saunders.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,594f2bc25c1e0700017cb0b9,"07/06/2022, 19:12:56"
3011,P_F_Theresa_May.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,594f2bc25c1e0700017cb0b9,"07/06/2022, 19:12:56"
26337,E_M_Jimmy_Carr.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,594f2bc25c1e0700017cb0b9,"07/06/2022, 19:12:56"
