RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5fefbee02c2ee6e7ad30b24d,"07/06/2022, 19:04:38"
1574,E_F_Jennifer_Saunders.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5fefbee02c2ee6e7ad30b24d,"07/06/2022, 19:04:38"
1391,E_M_Michael_McIntyr.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5fefbee02c2ee6e7ad30b24d,"07/06/2022, 19:04:38"
3645,E_M_Michael_McIntyr.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,5fefbee02c2ee6e7ad30b24d,"07/06/2022, 19:04:38"
1215,P_M_jeremy_corbyn.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5fefbee02c2ee6e7ad30b24d,"07/06/2022, 19:04:38"
1077,E_F_Julie_Walters.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5fefbee02c2ee6e7ad30b24d,"07/06/2022, 19:04:38"
1376,E_F_Julie_Walters.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5fefbee02c2ee6e7ad30b24d,"07/06/2022, 19:04:38"
1762,E_M_Ewan_McGregor.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5fefbee02c2ee6e7ad30b24d,"07/06/2022, 19:04:38"
2981,E_F_Sarah_Millican.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,5fefbee02c2ee6e7ad30b24d,"07/06/2022, 19:04:38"
1198,E_F_Sarah_Millican.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5fefbee02c2ee6e7ad30b24d,"07/06/2022, 19:04:38"
1621,E_M_Jimmy_Carr.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5fefbee02c2ee6e7ad30b24d,"07/06/2022, 19:04:38"
1295,E_M_Ewan_McGregor.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5fefbee02c2ee6e7ad30b24d,"07/06/2022, 19:04:38"
2225,E_F_Dawn_Roma_French.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,5fefbee02c2ee6e7ad30b24d,"07/06/2022, 19:04:38"
1745,E_F_Dawn_Roma_French.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5fefbee02c2ee6e7ad30b24d,"07/06/2022, 19:04:38"
