"","E_F_Dawn_Roma_French.png","E_F_Jennifer_Saunders.png","E_F_Julie_Walters.png","E_F_Sarah_Millican.png","E_M_Ewan_McGregor.png","E_M_Jimmy_Carr.png","E_M_Michael_McIntyr.png","E_M_Peter_Kay.png","E_M_Russell_Howard.png","E_M_Simon_Pegg.png","P_F_nicola_sturge.png","P_F_Theresa_May.png","P_M_david_camer.png","P_M_Gordon_Brown.png","P_M_jeremy_corbyn.png","P_M_keir_starmer.png","P_M_Michael_Gove.png","P_M_nigel_farage.png","P_M_Sajid_Javid.png","P_M_Tony_Blair.12..png"
"E_F_Dawn_Roma_French.png",NA,3.70588235294118,3.76470588235294,5.11111111111111,5,4.8,5.06666666666667,4.46666666666667,5.14285714285714,5.27272727272727,4.0625,3.85714285714286,5.25,5.16666666666667,5.61111111111111,5.125,5,5.07692307692308,5.4375,4.91666666666667
"E_F_Jennifer_Saunders.png",3.70588235294118,NA,4.2,5.0625,4.28571428571429,5.07692307692308,4.69230769230769,5.07692307692308,4.15384615384615,5.44444444444444,4.28571428571429,3.33333333333333,5.28571428571429,4.75,5.5,5.42857142857143,4.6,5.36363636363636,5.64285714285714,4.6
"E_F_Julie_Walters.png",3.76470588235294,4.2,NA,5,5,5.26666666666667,5.35714285714286,5.14285714285714,4.58333333333333,5.3,3.64285714285714,3.16666666666667,5.33333333333333,5.05882352941176,5.4375,4.78571428571429,4.26666666666667,5.33333333333333,4.92857142857143,4.63636363636364
"E_F_Sarah_Millican.png",5.11111111111111,5.0625,5,NA,5.28571428571429,5.21428571428571,5.28571428571429,4.71428571428571,5.07692307692308,5.1,4.66666666666667,3.71428571428571,5,5.23529411764706,5.64705882352941,4.8,4.0625,4.25,5.2,4.72727272727273
"E_M_Ewan_McGregor.png",5,4.28571428571429,5,5.28571428571429,NA,4.375,4.57142857142857,5.14285714285714,4.5,4.16666666666667,4.85714285714286,4,4.33333333333333,5,4,4.5,5,4.57142857142857,5.71428571428571,4.85714285714286
"E_M_Jimmy_Carr.png",4.8,5.07692307692308,5.26666666666667,5.21428571428571,4.375,NA,3.92307692307692,4.58333333333333,5.18181818181818,3.5,4.33333333333333,3.83333333333333,3.2,4.66666666666667,5.14285714285714,4,4,2.81818181818182,5.30769230769231,3.6
"E_M_Michael_McIntyr.png",5.06666666666667,4.69230769230769,5.35714285714286,5.28571428571429,4.57142857142857,3.92307692307692,NA,4.66666666666667,4.4,4.8,4.58333333333333,4.5,4.33333333333333,3.85714285714286,4.85714285714286,4.58333333333333,4.30769230769231,4.6,5.23076923076923,3.11111111111111
"E_M_Peter_Kay.png",4.46666666666667,5.07692307692308,5.14285714285714,4.71428571428571,5.14285714285714,4.58333333333333,4.66666666666667,NA,5.58333333333333,5.11111111111111,4.07692307692308,4.66666666666667,3,4.93333333333333,5.6,2.92307692307692,4.84615384615385,3.81818181818182,5.5,5.45454545454545
"E_M_Russell_Howard.png",5.14285714285714,4.15384615384615,4.58333333333333,5.07692307692308,4.5,5.18181818181818,4.4,5.58333333333333,NA,3.77777777777778,4.61538461538461,4,4,4.23076923076923,4.21428571428571,4.5,4.33333333333333,5,5.75,4.44444444444444
"E_M_Simon_Pegg.png",5.27272727272727,5.44444444444444,5.3,5.1,4.16666666666667,3.5,4.8,5.11111111111111,3.77777777777778,NA,4.5,4.6,3.75,4.5,4.54545454545455,4.33333333333333,3.5,3.66666666666667,5.5,3.42857142857143
"P_F_nicola_sturge.png",4.0625,4.28571428571429,3.64285714285714,4.66666666666667,4.85714285714286,4.33333333333333,4.58333333333333,4.07692307692308,4.61538461538461,4.5,NA,3.57142857142857,4.25,5,5.5,4.53333333333333,4.28571428571429,4.84615384615385,5.28571428571429,4.5
"P_F_Theresa_May.png",3.85714285714286,3.33333333333333,3.16666666666667,3.71428571428571,4,3.83333333333333,4.5,4.66666666666667,4,4.6,3.57142857142857,NA,4.8,4.83333333333333,5.14285714285714,4.85714285714286,4.4,3.6,5.42857142857143,4
"P_M_david_camer.png",5.25,5.28571428571429,5.33333333333333,5,4.33333333333333,3.2,4.33333333333333,3,4,3.75,4.25,4.8,NA,4.28571428571429,5,3.375,5,3.83333333333333,5.75,5
"P_M_Gordon_Brown.png",5.16666666666667,4.75,5.05882352941176,5.23529411764706,5,4.66666666666667,3.85714285714286,4.93333333333333,4.23076923076923,4.5,5,4.83333333333333,4.28571428571429,NA,4.41176470588235,4.53333333333333,5.25,4.23076923076923,5.53333333333333,4.16666666666667
"P_M_jeremy_corbyn.png",5.61111111111111,5.5,5.4375,5.64705882352941,4,5.14285714285714,4.85714285714286,5.6,4.21428571428571,4.54545454545455,5.5,5.14285714285714,5,4.41176470588235,NA,5.125,5.375,5.38461538461539,5.8,4.58333333333333
"P_M_keir_starmer.png",5.125,5.42857142857143,4.78571428571429,4.8,4.5,4,4.58333333333333,2.92307692307692,4.5,4.33333333333333,4.53333333333333,4.85714285714286,3.375,4.53333333333333,5.125,NA,5.07142857142857,3.08333333333333,5.64285714285714,4
"P_M_Michael_Gove.png",5,4.6,4.26666666666667,4.0625,5,4,4.30769230769231,4.84615384615385,4.33333333333333,3.5,4.28571428571429,4.4,5,5.25,5.375,5.07142857142857,NA,3.90909090909091,5.14285714285714,3.4
"P_M_nigel_farage.png",5.07692307692308,5.36363636363636,5.33333333333333,4.25,4.57142857142857,2.81818181818182,4.6,3.81818181818182,5,3.66666666666667,4.84615384615385,3.6,3.83333333333333,4.23076923076923,5.38461538461539,3.08333333333333,3.90909090909091,NA,5.41666666666667,3.9
"P_M_Sajid_Javid.png",5.4375,5.64285714285714,4.92857142857143,5.2,5.71428571428571,5.30769230769231,5.23076923076923,5.5,5.75,5.5,5.28571428571429,5.42857142857143,5.75,5.53333333333333,5.8,5.64285714285714,5.14285714285714,5.41666666666667,NA,5.4
"P_M_Tony_Blair(12).png",4.91666666666667,4.6,4.63636363636364,4.72727272727273,4.85714285714286,3.6,3.11111111111111,5.45454545454545,4.44444444444444,3.42857142857143,4.5,4,5,4.16666666666667,4.58333333333333,4,3.4,3.9,5.4,NA
