RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5d66849f0e3ff20016f36599,"10/27/2022, 13:42:44"
4351,E_M_Michael_McIntyr(8).png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5d66849f0e3ff20016f36599,"10/27/2022, 13:42:44"
2219,E_F_Jennifer_Saunders.png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d66849f0e3ff20016f36599,"10/27/2022, 13:42:44"
1871,E_F_Jennifer_Saunders.png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5d66849f0e3ff20016f36599,"10/27/2022, 13:42:44"
2752,E_M_Michael_McIntyr(8).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5d66849f0e3ff20016f36599,"10/27/2022, 13:42:44"
3096,E_F_Sarah_Millican(1).png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5d66849f0e3ff20016f36599,"10/27/2022, 13:42:44"
6169,P_M_Michael_Gove(9).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5d66849f0e3ff20016f36599,"10/27/2022, 13:42:44"
3489,P_F_nicola_sturge(10).png,P_M_nigel_farage(5).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5d66849f0e3ff20016f36599,"10/27/2022, 13:42:44"
4538,E_F_Sarah_Millican(1).png,E_M_Peter_Kay(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5d66849f0e3ff20016f36599,"10/27/2022, 13:42:44"
3658,E_M_Jimmy_Carr(5).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5d66849f0e3ff20016f36599,"10/27/2022, 13:42:44"
3035,P_F_Theresa_May(3).png,P_M_nigel_farage(5).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5d66849f0e3ff20016f36599,"10/27/2022, 13:42:44"
2058,E_F_Jennifer_Saunders.png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5d66849f0e3ff20016f36599,"10/27/2022, 13:42:44"
1568,E_F_Julie_Walters(20).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d66849f0e3ff20016f36599,"10/27/2022, 13:42:44"
2161,E_F_Sarah_Millican(1).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5d66849f0e3ff20016f36599,"10/27/2022, 13:42:44"
3957,E_M_Ewan_McGregor(3).png,E_M_Michael_McIntyr(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5d66849f0e3ff20016f36599,"10/27/2022, 13:42:44"
5344,E_F_Dawn_Roma(4).png,E_F_Sarah_Millican(1).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5d66849f0e3ff20016f36599,"10/27/2022, 13:42:44"
7611,E_F_Dawn_Roma(4).png,E_M_Peter_Kay(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5d66849f0e3ff20016f36599,"10/27/2022, 13:42:44"
4800,E_F_Julie_Walters(20).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,1,5d66849f0e3ff20016f36599,"10/27/2022, 13:42:44"
1938,E_F_Jennifer_Saunders.png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d66849f0e3ff20016f36599,"10/27/2022, 13:42:44"
13342,E_M_Ewan_McGregor(3).png,E_M_Peter_Kay(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5d66849f0e3ff20016f36599,"10/27/2022, 13:42:44"
2830,P_M_keir_starmer(6).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5d66849f0e3ff20016f36599,"10/27/2022, 13:42:44"
3320,P_M_jeremy_corbyn(2).png,P_M_nigel_farage(5).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5d66849f0e3ff20016f36599,"10/27/2022, 13:42:44"
3251,P_F_Theresa_May(3).png,P_M_keir_starmer(6).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5d66849f0e3ff20016f36599,"10/27/2022, 13:42:44"
5866,P_F_nicola_sturge(10).png,P_M_keir_starmer(6).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5d66849f0e3ff20016f36599,"10/27/2022, 13:42:44"
4069,E_F_Julie_Walters(20).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d66849f0e3ff20016f36599,"10/27/2022, 13:42:44"
5296,E_M_Michael_McIntyr(8).png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5d66849f0e3ff20016f36599,"10/27/2022, 13:42:44"
3321,E_F_Sarah_Millican(1).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d66849f0e3ff20016f36599,"10/27/2022, 13:42:44"
3890,P_M_david_camer(14).png,P_M_Michael_Gove(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5d66849f0e3ff20016f36599,"10/27/2022, 13:42:44"
1802,P_F_Theresa_May(3).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5d66849f0e3ff20016f36599,"10/27/2022, 13:42:44"
3167,E_F_Jennifer_Saunders.png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d66849f0e3ff20016f36599,"10/27/2022, 13:42:44"
