RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,6106c0aecdc0c01341f2bf2d,"10/27/2022, 13:19:03"
9550,E_M_Michael_McIntyr(8).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,6106c0aecdc0c01341f2bf2d,"10/27/2022, 13:19:03"
13236,E_M_Ewan_McGregor(3).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,6106c0aecdc0c01341f2bf2d,"10/27/2022, 13:19:03"
6371,E_M_Jimmy_Carr(5).png,E_M_Peter_Kay(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,6106c0aecdc0c01341f2bf2d,"10/27/2022, 13:19:03"
3999,E_F_Jennifer_Saunders.png,E_M_Jimmy_Carr(5).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,6106c0aecdc0c01341f2bf2d,"10/27/2022, 13:19:03"
6538,P_F_nicola_sturge(10).png,P_M_keir_starmer(6).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,6106c0aecdc0c01341f2bf2d,"10/27/2022, 13:19:03"
3708,P_M_david_camer(14).png,P_M_jeremy_corbyn(2).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,6106c0aecdc0c01341f2bf2d,"10/27/2022, 13:19:03"
7314,E_M_Jimmy_Carr(5).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,6106c0aecdc0c01341f2bf2d,"10/27/2022, 13:19:03"
12758,E_F_Jennifer_Saunders.png,E_F_Julie_Walters(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,6106c0aecdc0c01341f2bf2d,"10/27/2022, 13:19:03"
4839,P_M_nigel_farage(5).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,6106c0aecdc0c01341f2bf2d,"10/27/2022, 13:19:03"
3981,E_F_Jennifer_Saunders.png,E_M_Peter_Kay(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,6106c0aecdc0c01341f2bf2d,"10/27/2022, 13:19:03"
7526,E_M_Peter_Kay(3).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,6106c0aecdc0c01341f2bf2d,"10/27/2022, 13:19:03"
3796,E_F_Jennifer_Saunders.png,E_M_Michael_McIntyr(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,6106c0aecdc0c01341f2bf2d,"10/27/2022, 13:19:03"
4529,P_F_Theresa_May(3).png,P_M_Michael_Gove(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,6106c0aecdc0c01341f2bf2d,"10/27/2022, 13:19:03"
3435,E_M_Russell_Howard(10).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6106c0aecdc0c01341f2bf2d,"10/27/2022, 13:19:03"
4427,E_F_Julie_Walters(20).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6106c0aecdc0c01341f2bf2d,"10/27/2022, 13:19:03"
4378,E_M_Ewan_McGregor(3).png,E_M_Jimmy_Carr(5).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,6106c0aecdc0c01341f2bf2d,"10/27/2022, 13:19:03"
3250,P_F_nicola_sturge(10).png,P_M_Michael_Gove(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,6106c0aecdc0c01341f2bf2d,"10/27/2022, 13:19:03"
4201,E_M_Ewan_McGregor(3).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6106c0aecdc0c01341f2bf2d,"10/27/2022, 13:19:03"
