RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5fe93b6dad8fba884beb4035,"10/27/2022, 14:00:55"
4365,P_F_nicola_sturge(10).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5fe93b6dad8fba884beb4035,"10/27/2022, 14:00:55"
5247,E_F_Sarah_Millican(1).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5fe93b6dad8fba884beb4035,"10/27/2022, 14:00:55"
3095,E_F_Julie_Walters(20).png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5fe93b6dad8fba884beb4035,"10/27/2022, 14:00:55"
3783,P_M_keir_starmer(6).png,P_M_nigel_farage(5).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5fe93b6dad8fba884beb4035,"10/27/2022, 14:00:55"
3762,E_F_Julie_Walters(20).png,E_M_Ewan_McGregor(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5fe93b6dad8fba884beb4035,"10/27/2022, 14:00:55"
2554,E_F_Sarah_Millican(1).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5fe93b6dad8fba884beb4035,"10/27/2022, 14:00:55"
2309,E_F_Dawn_Roma(4).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5fe93b6dad8fba884beb4035,"10/27/2022, 14:00:55"
2299,E_M_Michael_McIntyr(8).png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5fe93b6dad8fba884beb4035,"10/27/2022, 14:00:55"
2451,E_F_Dawn_Roma(4).png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5fe93b6dad8fba884beb4035,"10/27/2022, 14:00:55"
3539,E_F_Sarah_Millican(1).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5fe93b6dad8fba884beb4035,"10/27/2022, 14:00:55"
3340,E_F_Jennifer_Saunders.png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5fe93b6dad8fba884beb4035,"10/27/2022, 14:00:55"
2375,E_F_Dawn_Roma(4).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5fe93b6dad8fba884beb4035,"10/27/2022, 14:00:55"
1973,E_F_Sarah_Millican(1).png,E_M_Peter_Kay(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5fe93b6dad8fba884beb4035,"10/27/2022, 14:00:55"
2547,E_F_Sarah_Millican(1).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5fe93b6dad8fba884beb4035,"10/27/2022, 14:00:55"
2493,E_F_Julie_Walters(20).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5fe93b6dad8fba884beb4035,"10/27/2022, 14:00:55"
11126,E_M_Jimmy_Carr(5).png,E_M_Michael_McIntyr(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5fe93b6dad8fba884beb4035,"10/27/2022, 14:00:55"
2501,E_F_Jennifer_Saunders.png,E_M_Peter_Kay(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5fe93b6dad8fba884beb4035,"10/27/2022, 14:00:55"
6567,E_F_Julie_Walters(20).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5fe93b6dad8fba884beb4035,"10/27/2022, 14:00:55"
2185,E_F_Sarah_Millican(1).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5fe93b6dad8fba884beb4035,"10/27/2022, 14:00:55"
2106,E_F_Dawn_Roma(4).png,E_M_Peter_Kay(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5fe93b6dad8fba884beb4035,"10/27/2022, 14:00:55"
3247,E_M_Michael_McIntyr(8).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5fe93b6dad8fba884beb4035,"10/27/2022, 14:00:55"
3245,E_M_Russell_Howard(10).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5fe93b6dad8fba884beb4035,"10/27/2022, 14:00:55"
1904,E_M_Peter_Kay(3).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5fe93b6dad8fba884beb4035,"10/27/2022, 14:00:55"
2012,E_M_Jimmy_Carr(5).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5fe93b6dad8fba884beb4035,"10/27/2022, 14:00:55"
3185,P_F_Theresa_May(3).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5fe93b6dad8fba884beb4035,"10/27/2022, 14:00:55"
2941,E_M_Peter_Kay(3).png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5fe93b6dad8fba884beb4035,"10/27/2022, 14:00:55"
3511,P_F_nicola_sturge(10).png,P_F_Theresa_May(3).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,2,5fe93b6dad8fba884beb4035,"10/27/2022, 14:00:55"
4268,E_F_Dawn_Roma(4).png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5fe93b6dad8fba884beb4035,"10/27/2022, 14:00:55"
7185,P_M_Michael_Gove(9).png,P_M_nigel_farage(5).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5fe93b6dad8fba884beb4035,"10/27/2022, 14:00:55"
3123,E_F_Jennifer_Saunders.png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5fe93b6dad8fba884beb4035,"10/27/2022, 14:00:55"
1844,P_M_Gordon_Brown(19).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5fe93b6dad8fba884beb4035,"10/27/2022, 14:00:55"
4228,E_M_Ewan_McGregor(3).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5fe93b6dad8fba884beb4035,"10/27/2022, 14:00:55"
2703,E_M_Simon_Pegg(8).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5fe93b6dad8fba884beb4035,"10/27/2022, 14:00:55"
2993,E_M_Jimmy_Carr(5).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5fe93b6dad8fba884beb4035,"10/27/2022, 14:00:55"
1894,E_F_Julie_Walters(20).png,E_M_Peter_Kay(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5fe93b6dad8fba884beb4035,"10/27/2022, 14:00:55"
2607,P_M_jeremy_corbyn(2).png,P_M_nigel_farage(5).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5fe93b6dad8fba884beb4035,"10/27/2022, 14:00:55"
4104,E_M_Ewan_McGregor(3).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5fe93b6dad8fba884beb4035,"10/27/2022, 14:00:55"
3412,E_M_Peter_Kay(3).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5fe93b6dad8fba884beb4035,"10/27/2022, 14:00:55"
2615,E_M_Jimmy_Carr(5).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5fe93b6dad8fba884beb4035,"10/27/2022, 14:00:55"
1873,E_M_Jimmy_Carr(5).png,E_M_Peter_Kay(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5fe93b6dad8fba884beb4035,"10/27/2022, 14:00:55"
2020,E_M_Simon_Pegg(8).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5fe93b6dad8fba884beb4035,"10/27/2022, 14:00:55"
