RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5da21ef67284fa0010e1e11e,"10/27/2022, 13:55:19"
6467,E_M_Russell_Howard(10).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5da21ef67284fa0010e1e11e,"10/27/2022, 13:55:19"
2154,E_F_Dawn_Roma(4).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5da21ef67284fa0010e1e11e,"10/27/2022, 13:55:19"
2900,E_F_Jennifer_Saunders.png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5da21ef67284fa0010e1e11e,"10/27/2022, 13:55:19"
2060,E_F_Jennifer_Saunders.png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5da21ef67284fa0010e1e11e,"10/27/2022, 13:55:19"
2653,E_M_Russell_Howard(10).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5da21ef67284fa0010e1e11e,"10/27/2022, 13:55:19"
1819,E_M_Michael_McIntyr(8).png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5da21ef67284fa0010e1e11e,"10/27/2022, 13:55:19"
1863,E_M_Ewan_McGregor(3).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5da21ef67284fa0010e1e11e,"10/27/2022, 13:55:19"
2111,E_M_Ewan_McGregor(3).png,E_M_Peter_Kay(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5da21ef67284fa0010e1e11e,"10/27/2022, 13:55:19"
3064,E_F_Julie_Walters(20).png,E_M_Peter_Kay(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5da21ef67284fa0010e1e11e,"10/27/2022, 13:55:19"
2211,E_M_Michael_McIntyr(8).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5da21ef67284fa0010e1e11e,"10/27/2022, 13:55:19"
1237,E_F_Sarah_Millican(1).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5da21ef67284fa0010e1e11e,"10/27/2022, 13:55:19"
1685,E_M_Ewan_McGregor(3).png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5da21ef67284fa0010e1e11e,"10/27/2022, 13:55:19"
2773,E_M_Jimmy_Carr(5).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5da21ef67284fa0010e1e11e,"10/27/2022, 13:55:19"
1968,E_F_Sarah_Millican(1).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5da21ef67284fa0010e1e11e,"10/27/2022, 13:55:19"
1662,E_F_Jennifer_Saunders.png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5da21ef67284fa0010e1e11e,"10/27/2022, 13:55:19"
2015,P_M_nigel_farage(5).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5da21ef67284fa0010e1e11e,"10/27/2022, 13:55:19"
2178,E_M_Jimmy_Carr(5).png,E_M_Michael_McIntyr(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5da21ef67284fa0010e1e11e,"10/27/2022, 13:55:19"
3302,P_M_Gordon_Brown(19).png,P_M_jeremy_corbyn(2).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5da21ef67284fa0010e1e11e,"10/27/2022, 13:55:19"
4335,P_M_david_camer(14).png,P_M_nigel_farage(5).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5da21ef67284fa0010e1e11e,"10/27/2022, 13:55:19"
2351,E_M_Russell_Howard(10).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5da21ef67284fa0010e1e11e,"10/27/2022, 13:55:19"
2115,P_M_jeremy_corbyn(2).png,P_M_nigel_farage(5).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5da21ef67284fa0010e1e11e,"10/27/2022, 13:55:19"
2169,E_M_Peter_Kay(3).png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5da21ef67284fa0010e1e11e,"10/27/2022, 13:55:19"
2486,E_F_Julie_Walters(20).png,E_M_Ewan_McGregor(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5da21ef67284fa0010e1e11e,"10/27/2022, 13:55:19"
2444,E_M_Jimmy_Carr(5).png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5da21ef67284fa0010e1e11e,"10/27/2022, 13:55:19"
2394,E_F_Jennifer_Saunders.png,E_M_Michael_McIntyr(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5da21ef67284fa0010e1e11e,"10/27/2022, 13:55:19"
2333,E_F_Julie_Walters(20).png,E_M_Jimmy_Carr(5).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5da21ef67284fa0010e1e11e,"10/27/2022, 13:55:19"
3926,E_F_Jennifer_Saunders.png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5da21ef67284fa0010e1e11e,"10/27/2022, 13:55:19"
2910,E_M_Simon_Pegg(8).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5da21ef67284fa0010e1e11e,"10/27/2022, 13:55:19"
4228,P_M_keir_starmer(6).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5da21ef67284fa0010e1e11e,"10/27/2022, 13:55:19"
2070,E_F_Sarah_Millican(1).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5da21ef67284fa0010e1e11e,"10/27/2022, 13:55:19"
4472,E_F_Dawn_Roma(4).png,E_M_Ewan_McGregor(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5da21ef67284fa0010e1e11e,"10/27/2022, 13:55:19"
2542,P_F_nicola_sturge(10).png,P_M_nigel_farage(5).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5da21ef67284fa0010e1e11e,"10/27/2022, 13:55:19"
1768,E_M_Simon_Pegg(8).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5da21ef67284fa0010e1e11e,"10/27/2022, 13:55:19"
6526,P_F_nicola_sturge(10).png,P_M_Gordon_Brown(19).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5da21ef67284fa0010e1e11e,"10/27/2022, 13:55:19"
2108,E_F_Sarah_Millican(1).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5da21ef67284fa0010e1e11e,"10/27/2022, 13:55:19"
2916,E_M_Jimmy_Carr(5).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5da21ef67284fa0010e1e11e,"10/27/2022, 13:55:19"
2660,E_M_Michael_McIntyr(8).png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5da21ef67284fa0010e1e11e,"10/27/2022, 13:55:19"
1919,E_M_Simon_Pegg(8).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5da21ef67284fa0010e1e11e,"10/27/2022, 13:55:19"
1518,P_M_jeremy_corbyn(2).png,P_M_Michael_Gove(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5da21ef67284fa0010e1e11e,"10/27/2022, 13:55:19"
2102,E_M_Peter_Kay(3).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5da21ef67284fa0010e1e11e,"10/27/2022, 13:55:19"
2553,E_F_Sarah_Millican(1).png,E_M_Ewan_McGregor(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5da21ef67284fa0010e1e11e,"10/27/2022, 13:55:19"
2793,E_F_Jennifer_Saunders.png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5da21ef67284fa0010e1e11e,"10/27/2022, 13:55:19"
3637,E_F_Julie_Walters(20).png,E_M_Michael_McIntyr(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5da21ef67284fa0010e1e11e,"10/27/2022, 13:55:19"
1677,E_M_Michael_McIntyr(8).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5da21ef67284fa0010e1e11e,"10/27/2022, 13:55:19"
1894,E_F_Sarah_Millican(1).png,E_M_Jimmy_Carr(5).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5da21ef67284fa0010e1e11e,"10/27/2022, 13:55:19"
2346,E_F_Jennifer_Saunders.png,E_M_Peter_Kay(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5da21ef67284fa0010e1e11e,"10/27/2022, 13:55:19"
3992,E_F_Jennifer_Saunders.png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5da21ef67284fa0010e1e11e,"10/27/2022, 13:55:19"
1557,E_F_Julie_Walters(20).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5da21ef67284fa0010e1e11e,"10/27/2022, 13:55:19"
2070,P_F_nicola_sturge(10).png,P_F_Theresa_May(3).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,6,5da21ef67284fa0010e1e11e,"10/27/2022, 13:55:19"
2310,P_M_Gordon_Brown(19).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5da21ef67284fa0010e1e11e,"10/27/2022, 13:55:19"
2667,E_M_Simon_Pegg(8).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5da21ef67284fa0010e1e11e,"10/27/2022, 13:55:19"
2779,E_F_Dawn_Roma(4).png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5da21ef67284fa0010e1e11e,"10/27/2022, 13:55:19"
2244,E_M_Simon_Pegg(8).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5da21ef67284fa0010e1e11e,"10/27/2022, 13:55:19"
1630,E_F_Julie_Walters(20).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5da21ef67284fa0010e1e11e,"10/27/2022, 13:55:19"
4652,E_F_Sarah_Millican(1).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5da21ef67284fa0010e1e11e,"10/27/2022, 13:55:19"
2278,P_F_nicola_sturge(10).png,P_M_Michael_Gove(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5da21ef67284fa0010e1e11e,"10/27/2022, 13:55:19"
2054,E_M_Peter_Kay(3).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5da21ef67284fa0010e1e11e,"10/27/2022, 13:55:19"
4882,P_M_Michael_Gove(9).png,P_M_nigel_farage(5).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5da21ef67284fa0010e1e11e,"10/27/2022, 13:55:19"
3530,E_F_Sarah_Millican(1).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5da21ef67284fa0010e1e11e,"10/27/2022, 13:55:19"
3394,P_M_Michael_Gove(9).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5da21ef67284fa0010e1e11e,"10/27/2022, 13:55:19"
3276,E_M_Russell_Howard(10).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5da21ef67284fa0010e1e11e,"10/27/2022, 13:55:19"
4571,P_F_Theresa_May(3).png,P_M_Michael_Gove(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5da21ef67284fa0010e1e11e,"10/27/2022, 13:55:19"
2222,P_M_david_camer(14).png,P_M_Michael_Gove(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5da21ef67284fa0010e1e11e,"10/27/2022, 13:55:19"
