RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,617305abc8cde4cf0e08255b,"10/27/2022, 13:25:48"
9431,E_M_Russell_Howard(10).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,617305abc8cde4cf0e08255b,"10/27/2022, 13:25:48"
3247,E_M_Russell_Howard(10).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,617305abc8cde4cf0e08255b,"10/27/2022, 13:25:48"
6759,E_M_Simon_Pegg(8).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,617305abc8cde4cf0e08255b,"10/27/2022, 13:25:48"
4037,P_M_Michael_Gove(9).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,617305abc8cde4cf0e08255b,"10/27/2022, 13:25:48"
1560,E_M_Ewan_McGregor(3).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,617305abc8cde4cf0e08255b,"10/27/2022, 13:25:48"
1979,E_F_Julie_Walters(20).png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,617305abc8cde4cf0e08255b,"10/27/2022, 13:25:48"
1697,E_M_Jimmy_Carr(5).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,617305abc8cde4cf0e08255b,"10/27/2022, 13:25:48"
2900,E_M_Peter_Kay(3).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,617305abc8cde4cf0e08255b,"10/27/2022, 13:25:48"
3681,P_M_jeremy_corbyn(2).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,617305abc8cde4cf0e08255b,"10/27/2022, 13:25:48"
2494,E_M_Michael_McIntyr(8).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,617305abc8cde4cf0e08255b,"10/27/2022, 13:25:48"
2136,P_M_david_camer(14).png,P_M_Gordon_Brown(19).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,617305abc8cde4cf0e08255b,"10/27/2022, 13:25:48"
file,isFamiliar,617305abc8cde4cf0e08255b,"10/27/2022, 13:25:48"
P_M_nigel_farage(5).png,0,617305abc8cde4cf0e08255b,"10/27/2022, 13:25:48"
E_M_Russell_Howard(10).png,0,617305abc8cde4cf0e08255b,"10/27/2022, 13:25:48"
P_M_david_camer(14).png,0,617305abc8cde4cf0e08255b,"10/27/2022, 13:25:48"
P_F_Theresa_May(3).png,0,617305abc8cde4cf0e08255b,"10/27/2022, 13:25:48"
E_F_Jennifer_Saunders.png,1,617305abc8cde4cf0e08255b,"10/27/2022, 13:25:48"
E_M_Ewan_McGregor(3).png,1,617305abc8cde4cf0e08255b,"10/27/2022, 13:25:48"
P_M_Michael_Gove(9).png,0,617305abc8cde4cf0e08255b,"10/27/2022, 13:25:48"
E_M_Michael_McIntyr(8).png,0,617305abc8cde4cf0e08255b,"10/27/2022, 13:25:48"
E_M_Simon_Pegg(8).png,1,617305abc8cde4cf0e08255b,"10/27/2022, 13:25:48"
P_M_jeremy_corbyn(2).png,0,617305abc8cde4cf0e08255b,"10/27/2022, 13:25:48"
E_F_Dawn_Roma(4).png,0,617305abc8cde4cf0e08255b,"10/27/2022, 13:25:48"
P_M_Gordon_Brown(19).png,0,617305abc8cde4cf0e08255b,"10/27/2022, 13:25:48"
E_M_Jimmy_Carr(5).png,0,617305abc8cde4cf0e08255b,"10/27/2022, 13:25:48"
P_F_nicola_sturge(10).png,0,617305abc8cde4cf0e08255b,"10/27/2022, 13:25:48"
P_M_keir_starmer(6).png,1,617305abc8cde4cf0e08255b,"10/27/2022, 13:25:48"
P_M_Tony_Blair.png,1,617305abc8cde4cf0e08255b,"10/27/2022, 13:25:48"
E_F_Julie_Walters(20).png,0,617305abc8cde4cf0e08255b,"10/27/2022, 13:25:48"
P_M_Sajid_Javid(4).png,0,617305abc8cde4cf0e08255b,"10/27/2022, 13:25:48"
E_M_Peter_Kay(3).png,0,617305abc8cde4cf0e08255b,"10/27/2022, 13:25:48"
E_F_Sarah_Millican(1).png,0,617305abc8cde4cf0e08255b,"10/27/2022, 13:25:48"
age: 34,gender: Female,handedness: left,617305abc8cde4cf0e08255b,"10/27/2022, 13:25:48"
