RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,617305abc8cde4cf0e08255b,"10/27/2022, 13:25:48"
7282,E_M_Ewan_McGregor(3).png,E_M_Jimmy_Carr(5).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,617305abc8cde4cf0e08255b,"10/27/2022, 13:25:48"
1490,E_F_Julie_Walters(20).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,617305abc8cde4cf0e08255b,"10/27/2022, 13:25:48"
1494,E_M_Peter_Kay(3).png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,617305abc8cde4cf0e08255b,"10/27/2022, 13:25:48"
1735,E_F_Sarah_Millican(1).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,617305abc8cde4cf0e08255b,"10/27/2022, 13:25:48"
9704,E_M_Ewan_McGregor(3).png,E_M_Peter_Kay(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,617305abc8cde4cf0e08255b,"10/27/2022, 13:25:48"
3477,E_F_Dawn_Roma(4).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,617305abc8cde4cf0e08255b,"10/27/2022, 13:25:48"
4141,P_M_Gordon_Brown(19).png,P_M_nigel_farage(5).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,617305abc8cde4cf0e08255b,"10/27/2022, 13:25:48"
3145,P_M_Gordon_Brown(19).png,P_M_Michael_Gove(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,617305abc8cde4cf0e08255b,"10/27/2022, 13:25:48"
1761,E_F_Dawn_Roma(4).png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,617305abc8cde4cf0e08255b,"10/27/2022, 13:25:48"
3499,E_M_Russell_Howard(10).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,617305abc8cde4cf0e08255b,"10/27/2022, 13:25:48"
2461,E_F_Sarah_Millican(1).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,617305abc8cde4cf0e08255b,"10/27/2022, 13:25:48"
1597,E_F_Sarah_Millican(1).png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,617305abc8cde4cf0e08255b,"10/27/2022, 13:25:48"
1862,E_F_Sarah_Millican(1).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,617305abc8cde4cf0e08255b,"10/27/2022, 13:25:48"
