RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,61485d798b28686872fb9c7b,"10/27/2022, 14:19:50"
4057,E_M_Russell_Howard(10).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,61485d798b28686872fb9c7b,"10/27/2022, 14:19:50"
8023,E_M_Jimmy_Carr(5).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,61485d798b28686872fb9c7b,"10/27/2022, 14:19:50"
2073,P_M_keir_starmer(6).png,P_M_nigel_farage(5).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,61485d798b28686872fb9c7b,"10/27/2022, 14:19:50"
2584,E_M_Ewan_McGregor(3).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,61485d798b28686872fb9c7b,"10/27/2022, 14:19:50"
2616,P_F_nicola_sturge(10).png,P_M_david_camer(14).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,61485d798b28686872fb9c7b,"10/27/2022, 14:19:50"
7353,E_F_Julie_Walters(20).png,E_F_Sarah_Millican(1).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,61485d798b28686872fb9c7b,"10/27/2022, 14:19:50"
2892,E_F_Sarah_Millican(1).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,61485d798b28686872fb9c7b,"10/27/2022, 14:19:50"
2361,E_F_Dawn_Roma(4).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,61485d798b28686872fb9c7b,"10/27/2022, 14:19:50"
4362,E_F_Dawn_Roma(4).png,E_M_Peter_Kay(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,61485d798b28686872fb9c7b,"10/27/2022, 14:19:50"
3337,E_M_Russell_Howard(10).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,61485d798b28686872fb9c7b,"10/27/2022, 14:19:50"
7974,E_M_Jimmy_Carr(5).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,61485d798b28686872fb9c7b,"10/27/2022, 14:19:50"
