RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5ef5f63c7aa58727ac4f8588,"10/27/2022, 13:13:09"
1526,E_F_Jennifer_Saunders.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ef5f63c7aa58727ac4f8588,"10/27/2022, 13:13:09"
1826,P_M_keir_starmer(6).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5ef5f63c7aa58727ac4f8588,"10/27/2022, 13:13:09"
2211,E_F_Jennifer_Saunders.png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ef5f63c7aa58727ac4f8588,"10/27/2022, 13:13:09"
1899,E_F_Dawn_Roma(4).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5ef5f63c7aa58727ac4f8588,"10/27/2022, 13:13:09"
1819,E_M_Peter_Kay(3).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ef5f63c7aa58727ac4f8588,"10/27/2022, 13:13:09"
2507,E_M_Russell_Howard(10).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ef5f63c7aa58727ac4f8588,"10/27/2022, 13:13:09"
1653,E_F_Jennifer_Saunders.png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ef5f63c7aa58727ac4f8588,"10/27/2022, 13:13:09"
1206,E_M_Simon_Pegg(8).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ef5f63c7aa58727ac4f8588,"10/27/2022, 13:13:09"
1496,P_F_nicola_sturge(10).png,P_F_Theresa_May(3).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,6,5ef5f63c7aa58727ac4f8588,"10/27/2022, 13:13:09"
1254,E_M_Jimmy_Carr(5).png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5ef5f63c7aa58727ac4f8588,"10/27/2022, 13:13:09"
2275,E_F_Julie_Walters(20).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ef5f63c7aa58727ac4f8588,"10/27/2022, 13:13:09"
3090,E_F_Julie_Walters(20).png,E_M_Ewan_McGregor(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5ef5f63c7aa58727ac4f8588,"10/27/2022, 13:13:09"
2271,E_M_Jimmy_Carr(5).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ef5f63c7aa58727ac4f8588,"10/27/2022, 13:13:09"
1509,P_M_david_camer(14).png,P_M_jeremy_corbyn(2).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5ef5f63c7aa58727ac4f8588,"10/27/2022, 13:13:09"
2122,P_M_david_camer(14).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5ef5f63c7aa58727ac4f8588,"10/27/2022, 13:13:09"
1616,P_F_nicola_sturge(10).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5ef5f63c7aa58727ac4f8588,"10/27/2022, 13:13:09"
1398,E_F_Dawn_Roma(4).png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5ef5f63c7aa58727ac4f8588,"10/27/2022, 13:13:09"
1246,E_M_Simon_Pegg(8).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ef5f63c7aa58727ac4f8588,"10/27/2022, 13:13:09"
1229,E_M_Russell_Howard(10).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ef5f63c7aa58727ac4f8588,"10/27/2022, 13:13:09"
1727,E_M_Russell_Howard(10).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ef5f63c7aa58727ac4f8588,"10/27/2022, 13:13:09"
1836,P_F_nicola_sturge(10).png,P_M_nigel_farage(5).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5ef5f63c7aa58727ac4f8588,"10/27/2022, 13:13:09"
1766,E_M_Michael_McIntyr(8).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ef5f63c7aa58727ac4f8588,"10/27/2022, 13:13:09"
1647,E_M_Ewan_McGregor(3).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ef5f63c7aa58727ac4f8588,"10/27/2022, 13:13:09"
1645,E_M_Russell_Howard(10).png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5ef5f63c7aa58727ac4f8588,"10/27/2022, 13:13:09"
1384,P_F_nicola_sturge(10).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5ef5f63c7aa58727ac4f8588,"10/27/2022, 13:13:09"
1902,E_M_Jimmy_Carr(5).png,E_M_Michael_McIntyr(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5ef5f63c7aa58727ac4f8588,"10/27/2022, 13:13:09"
1844,E_F_Sarah_Millican(1).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ef5f63c7aa58727ac4f8588,"10/27/2022, 13:13:09"
1315,E_M_Ewan_McGregor(3).png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5ef5f63c7aa58727ac4f8588,"10/27/2022, 13:13:09"
3695,E_M_Ewan_McGregor(3).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ef5f63c7aa58727ac4f8588,"10/27/2022, 13:13:09"
1182,E_M_Russell_Howard(10).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ef5f63c7aa58727ac4f8588,"10/27/2022, 13:13:09"
2148,E_F_Jennifer_Saunders.png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5ef5f63c7aa58727ac4f8588,"10/27/2022, 13:13:09"
1048,E_F_Dawn_Roma(4).png,E_M_Jimmy_Carr(5).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5ef5f63c7aa58727ac4f8588,"10/27/2022, 13:13:09"
6935,E_F_Jennifer_Saunders.png,E_F_Julie_Walters(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5ef5f63c7aa58727ac4f8588,"10/27/2022, 13:13:09"
2171,E_F_Dawn_Roma(4).png,E_M_Ewan_McGregor(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5ef5f63c7aa58727ac4f8588,"10/27/2022, 13:13:09"
1655,E_F_Sarah_Millican(1).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5ef5f63c7aa58727ac4f8588,"10/27/2022, 13:13:09"
1543,E_F_Sarah_Millican(1).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ef5f63c7aa58727ac4f8588,"10/27/2022, 13:13:09"
1446,E_M_Peter_Kay(3).png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5ef5f63c7aa58727ac4f8588,"10/27/2022, 13:13:09"
1373,E_F_Jennifer_Saunders.png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5ef5f63c7aa58727ac4f8588,"10/27/2022, 13:13:09"
1318,E_F_Sarah_Millican(1).png,E_M_Peter_Kay(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5ef5f63c7aa58727ac4f8588,"10/27/2022, 13:13:09"
1617,E_M_Michael_McIntyr(8).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ef5f63c7aa58727ac4f8588,"10/27/2022, 13:13:09"
1256,E_F_Jennifer_Saunders.png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5ef5f63c7aa58727ac4f8588,"10/27/2022, 13:13:09"
1142,P_F_Theresa_May(3).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5ef5f63c7aa58727ac4f8588,"10/27/2022, 13:13:09"
file,isFamiliar,5ef5f63c7aa58727ac4f8588,"10/27/2022, 13:13:09"
E_M_Peter_Kay(3).png,0,5ef5f63c7aa58727ac4f8588,"10/27/2022, 13:13:09"
E_M_Michael_McIntyr(8).png,0,5ef5f63c7aa58727ac4f8588,"10/27/2022, 13:13:09"
P_F_nicola_sturge(10).png,0,5ef5f63c7aa58727ac4f8588,"10/27/2022, 13:13:09"
E_M_Ewan_McGregor(3).png,0,5ef5f63c7aa58727ac4f8588,"10/27/2022, 13:13:09"
P_M_Sajid_Javid(4).png,0,5ef5f63c7aa58727ac4f8588,"10/27/2022, 13:13:09"
E_F_Sarah_Millican(1).png,0,5ef5f63c7aa58727ac4f8588,"10/27/2022, 13:13:09"
E_F_Julie_Walters(20).png,0,5ef5f63c7aa58727ac4f8588,"10/27/2022, 13:13:09"
P_M_Gordon_Brown(19).png,0,5ef5f63c7aa58727ac4f8588,"10/27/2022, 13:13:09"
E_M_Russell_Howard(10).png,0,5ef5f63c7aa58727ac4f8588,"10/27/2022, 13:13:09"
P_M_keir_starmer(6).png,0,5ef5f63c7aa58727ac4f8588,"10/27/2022, 13:13:09"
P_F_Theresa_May(3).png,0,5ef5f63c7aa58727ac4f8588,"10/27/2022, 13:13:09"
E_M_Jimmy_Carr(5).png,0,5ef5f63c7aa58727ac4f8588,"10/27/2022, 13:13:09"
P_M_jeremy_corbyn(2).png,0,5ef5f63c7aa58727ac4f8588,"10/27/2022, 13:13:09"
E_F_Jennifer_Saunders.png,0,5ef5f63c7aa58727ac4f8588,"10/27/2022, 13:13:09"
P_M_Michael_Gove(9).png,0,5ef5f63c7aa58727ac4f8588,"10/27/2022, 13:13:09"
P_M_david_camer(14).png,0,5ef5f63c7aa58727ac4f8588,"10/27/2022, 13:13:09"
P_M_Tony_Blair.png,0,5ef5f63c7aa58727ac4f8588,"10/27/2022, 13:13:09"
P_M_nigel_farage(5).png,0,5ef5f63c7aa58727ac4f8588,"10/27/2022, 13:13:09"
E_F_Dawn_Roma(4).png,0,5ef5f63c7aa58727ac4f8588,"10/27/2022, 13:13:09"
E_M_Simon_Pegg(8).png,0,5ef5f63c7aa58727ac4f8588,"10/27/2022, 13:13:09"
age: 30,gender: Male,handedness: right,5ef5f63c7aa58727ac4f8588,"10/27/2022, 13:13:09"
