RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5b755869d5d7a80001b45a1e,"10/27/2022, 12:50:25"
2513,E_F_Sarah_Millican(1).png,E_M_Michael_McIntyr(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5b755869d5d7a80001b45a1e,"10/27/2022, 12:50:25"
2437,E_M_Jimmy_Carr(5).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5b755869d5d7a80001b45a1e,"10/27/2022, 12:50:25"
2157,E_M_Ewan_McGregor(3).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5b755869d5d7a80001b45a1e,"10/27/2022, 12:50:25"
4237,E_F_Jennifer_Saunders.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5b755869d5d7a80001b45a1e,"10/27/2022, 12:50:25"
2144,E_F_Julie_Walters(20).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5b755869d5d7a80001b45a1e,"10/27/2022, 12:50:25"
2902,E_M_Simon_Pegg(8).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5b755869d5d7a80001b45a1e,"10/27/2022, 12:50:25"
2235,P_M_Sajid_Javid(4).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5b755869d5d7a80001b45a1e,"10/27/2022, 12:50:25"
3530,E_F_Sarah_Millican(1).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5b755869d5d7a80001b45a1e,"10/27/2022, 12:50:25"
3048,P_M_jeremy_corbyn(2).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5b755869d5d7a80001b45a1e,"10/27/2022, 12:50:25"
2438,E_M_Jimmy_Carr(5).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5b755869d5d7a80001b45a1e,"10/27/2022, 12:50:25"
2376,E_M_Peter_Kay(3).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5b755869d5d7a80001b45a1e,"10/27/2022, 12:50:25"
3765,P_F_Theresa_May(3).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5b755869d5d7a80001b45a1e,"10/27/2022, 12:50:25"
