RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,6147c45e2fd30e98355c1e52,"10/27/2022, 13:09:02"
2073,E_M_Simon_Pegg(8).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,6147c45e2fd30e98355c1e52,"10/27/2022, 13:09:02"
1727,E_M_Peter_Kay(3).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,6147c45e2fd30e98355c1e52,"10/27/2022, 13:09:02"
4513,E_M_Michael_McIntyr(8).png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,6147c45e2fd30e98355c1e52,"10/27/2022, 13:09:02"
2317,E_M_Peter_Kay(3).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,6147c45e2fd30e98355c1e52,"10/27/2022, 13:09:02"
2665,E_M_Ewan_McGregor(3).png,E_M_Jimmy_Carr(5).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,6147c45e2fd30e98355c1e52,"10/27/2022, 13:09:02"
2181,P_M_Michael_Gove(9).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,6147c45e2fd30e98355c1e52,"10/27/2022, 13:09:02"
1447,E_F_Dawn_Roma(4).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6147c45e2fd30e98355c1e52,"10/27/2022, 13:09:02"
1981,E_M_Ewan_McGregor(3).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6147c45e2fd30e98355c1e52,"10/27/2022, 13:09:02"
2933,E_M_Russell_Howard(10).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,6147c45e2fd30e98355c1e52,"10/27/2022, 13:09:02"
1979,E_F_Sarah_Millican(1).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,6147c45e2fd30e98355c1e52,"10/27/2022, 13:09:02"
1713,P_M_Gordon_Brown(19).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,6147c45e2fd30e98355c1e52,"10/27/2022, 13:09:02"
1887,E_M_Ewan_McGregor(3).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6147c45e2fd30e98355c1e52,"10/27/2022, 13:09:02"
1707,E_F_Julie_Walters(20).png,E_M_Jimmy_Carr(5).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,6147c45e2fd30e98355c1e52,"10/27/2022, 13:09:02"
1907,P_M_david_camer(14).png,P_M_Gordon_Brown(19).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,6147c45e2fd30e98355c1e52,"10/27/2022, 13:09:02"
1707,E_F_Sarah_Millican(1).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6147c45e2fd30e98355c1e52,"10/27/2022, 13:09:02"
1943,P_M_jeremy_corbyn(2).png,P_M_keir_starmer(6).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,6147c45e2fd30e98355c1e52,"10/27/2022, 13:09:02"
1603,E_M_Ewan_McGregor(3).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,6147c45e2fd30e98355c1e52,"10/27/2022, 13:09:02"
2523,E_F_Jennifer_Saunders.png,E_F_Sarah_Millican(1).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,6147c45e2fd30e98355c1e52,"10/27/2022, 13:09:02"
1459,P_F_Theresa_May(3).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,6147c45e2fd30e98355c1e52,"10/27/2022, 13:09:02"
1493,E_F_Dawn_Roma(4).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6147c45e2fd30e98355c1e52,"10/27/2022, 13:09:02"
1474,E_M_Ewan_McGregor(3).png,E_M_Peter_Kay(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,6147c45e2fd30e98355c1e52,"10/27/2022, 13:09:02"
1969,P_M_nigel_farage(5).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,6147c45e2fd30e98355c1e52,"10/27/2022, 13:09:02"
1381,E_F_Sarah_Millican(1).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6147c45e2fd30e98355c1e52,"10/27/2022, 13:09:02"
2171,E_M_Russell_Howard(10).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6147c45e2fd30e98355c1e52,"10/27/2022, 13:09:02"
1662,E_F_Sarah_Millican(1).png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,6147c45e2fd30e98355c1e52,"10/27/2022, 13:09:02"
2237,P_F_nicola_sturge(10).png,P_M_david_camer(14).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,6147c45e2fd30e98355c1e52,"10/27/2022, 13:09:02"
2935,E_M_Michael_McIntyr(8).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,6147c45e2fd30e98355c1e52,"10/27/2022, 13:09:02"
4355,P_M_keir_starmer(6).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,6147c45e2fd30e98355c1e52,"10/27/2022, 13:09:02"
6491,E_F_Julie_Walters(20).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6147c45e2fd30e98355c1e52,"10/27/2022, 13:09:02"
1759,E_M_Russell_Howard(10).png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,6147c45e2fd30e98355c1e52,"10/27/2022, 13:09:02"
1831,E_M_Russell_Howard(10).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,6147c45e2fd30e98355c1e52,"10/27/2022, 13:09:02"
3331,E_M_Michael_McIntyr(8).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6147c45e2fd30e98355c1e52,"10/27/2022, 13:09:02"
3193,P_M_david_camer(14).png,P_M_keir_starmer(6).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,6147c45e2fd30e98355c1e52,"10/27/2022, 13:09:02"
2659,P_F_nicola_sturge(10).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,6147c45e2fd30e98355c1e52,"10/27/2022, 13:09:02"
3207,E_M_Michael_McIntyr(8).png,E_M_Peter_Kay(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,6147c45e2fd30e98355c1e52,"10/27/2022, 13:09:02"
1492,E_M_Jimmy_Carr(5).png,E_M_Peter_Kay(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,6147c45e2fd30e98355c1e52,"10/27/2022, 13:09:02"
1615,P_M_david_camer(14).png,P_M_nigel_farage(5).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,6147c45e2fd30e98355c1e52,"10/27/2022, 13:09:02"
1751,E_F_Dawn_Roma(4).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,6147c45e2fd30e98355c1e52,"10/27/2022, 13:09:02"
2506,E_M_Peter_Kay(3).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,6147c45e2fd30e98355c1e52,"10/27/2022, 13:09:02"
1899,E_M_Jimmy_Carr(5).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,6147c45e2fd30e98355c1e52,"10/27/2022, 13:09:02"
2705,E_F_Dawn_Roma(4).png,E_M_Ewan_McGregor(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,6147c45e2fd30e98355c1e52,"10/27/2022, 13:09:02"
2404,E_M_Ewan_McGregor(3).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6147c45e2fd30e98355c1e52,"10/27/2022, 13:09:02"
1488,E_M_Simon_Pegg(8).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6147c45e2fd30e98355c1e52,"10/27/2022, 13:09:02"
2025,P_M_Gordon_Brown(19).png,P_M_Michael_Gove(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,6147c45e2fd30e98355c1e52,"10/27/2022, 13:09:02"
1583,E_F_Dawn_Roma(4).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6147c45e2fd30e98355c1e52,"10/27/2022, 13:09:02"
1489,E_M_Jimmy_Carr(5).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,6147c45e2fd30e98355c1e52,"10/27/2022, 13:09:02"
1789,E_F_Julie_Walters(20).png,E_M_Peter_Kay(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,6147c45e2fd30e98355c1e52,"10/27/2022, 13:09:02"
1421,E_M_Simon_Pegg(8).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6147c45e2fd30e98355c1e52,"10/27/2022, 13:09:02"
2220,E_F_Dawn_Roma(4).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6147c45e2fd30e98355c1e52,"10/27/2022, 13:09:02"
2625,E_M_Jimmy_Carr(5).png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,6147c45e2fd30e98355c1e52,"10/27/2022, 13:09:02"
1637,E_M_Ewan_McGregor(3).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6147c45e2fd30e98355c1e52,"10/27/2022, 13:09:02"
