RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5e42da6c4a5ec517392ee0a1,"10/27/2022, 13:20:18"
6145,E_M_Jimmy_Carr(5).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e42da6c4a5ec517392ee0a1,"10/27/2022, 13:20:18"
2855,P_M_david_camer(14).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5e42da6c4a5ec517392ee0a1,"10/27/2022, 13:20:18"
1946,E_F_Dawn_Roma(4).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e42da6c4a5ec517392ee0a1,"10/27/2022, 13:20:18"
2925,P_M_david_camer(14).png,P_M_nigel_farage(5).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5e42da6c4a5ec517392ee0a1,"10/27/2022, 13:20:18"
3847,E_F_Julie_Walters(20).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e42da6c4a5ec517392ee0a1,"10/27/2022, 13:20:18"
4745,E_M_Michael_McIntyr(8).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e42da6c4a5ec517392ee0a1,"10/27/2022, 13:20:18"
3520,E_F_Jennifer_Saunders.png,E_M_Jimmy_Carr(5).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5e42da6c4a5ec517392ee0a1,"10/27/2022, 13:20:18"
4658,E_F_Julie_Walters(20).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e42da6c4a5ec517392ee0a1,"10/27/2022, 13:20:18"
2354,E_M_Michael_McIntyr(8).png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5e42da6c4a5ec517392ee0a1,"10/27/2022, 13:20:18"
1965,P_F_Theresa_May(3).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5e42da6c4a5ec517392ee0a1,"10/27/2022, 13:20:18"
19030,E_M_Ewan_McGregor(3).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e42da6c4a5ec517392ee0a1,"10/27/2022, 13:20:18"
12155,E_F_Jennifer_Saunders.png,E_M_Ewan_McGregor(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5e42da6c4a5ec517392ee0a1,"10/27/2022, 13:20:18"
10461,P_F_Theresa_May(3).png,P_M_david_camer(14).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5e42da6c4a5ec517392ee0a1,"10/27/2022, 13:20:18"
13883,E_F_Dawn_Roma(4).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e42da6c4a5ec517392ee0a1,"10/27/2022, 13:20:18"
12725,E_M_Jimmy_Carr(5).png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5e42da6c4a5ec517392ee0a1,"10/27/2022, 13:20:18"
