RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,60990c861b856e3f6988306e,"10/27/2022, 13:16:31"
2947,E_M_Michael_McIntyr(8).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,60990c861b856e3f6988306e,"10/27/2022, 13:16:31"
7290,E_F_Dawn_Roma(4).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60990c861b856e3f6988306e,"10/27/2022, 13:16:31"
2212,E_M_Ewan_McGregor(3).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,60990c861b856e3f6988306e,"10/27/2022, 13:16:31"
2003,E_M_Jimmy_Carr(5).png,E_M_Peter_Kay(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,60990c861b856e3f6988306e,"10/27/2022, 13:16:31"
1587,E_M_Russell_Howard(10).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60990c861b856e3f6988306e,"10/27/2022, 13:16:31"
1990,E_F_Dawn_Roma(4).png,E_M_Michael_McIntyr(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,60990c861b856e3f6988306e,"10/27/2022, 13:16:31"
1578,P_M_keir_starmer(6).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,60990c861b856e3f6988306e,"10/27/2022, 13:16:31"
2148,E_F_Julie_Walters(20).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60990c861b856e3f6988306e,"10/27/2022, 13:16:31"
1848,E_M_Jimmy_Carr(5).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60990c861b856e3f6988306e,"10/27/2022, 13:16:31"
2772,E_M_Jimmy_Carr(5).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,60990c861b856e3f6988306e,"10/27/2022, 13:16:31"
3944,E_F_Jennifer_Saunders.png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60990c861b856e3f6988306e,"10/27/2022, 13:16:31"
3614,P_M_david_camer(14).png,P_M_keir_starmer(6).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,60990c861b856e3f6988306e,"10/27/2022, 13:16:31"
2563,E_M_Peter_Kay(3).png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,60990c861b856e3f6988306e,"10/27/2022, 13:16:31"
2227,E_F_Jennifer_Saunders.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60990c861b856e3f6988306e,"10/27/2022, 13:16:31"
1627,E_M_Peter_Kay(3).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60990c861b856e3f6988306e,"10/27/2022, 13:16:31"
1822,E_M_Simon_Pegg(8).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,60990c861b856e3f6988306e,"10/27/2022, 13:16:31"
1359,E_F_Julie_Walters(20).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60990c861b856e3f6988306e,"10/27/2022, 13:16:31"
1886,E_F_Sarah_Millican(1).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60990c861b856e3f6988306e,"10/27/2022, 13:16:31"
1827,E_F_Dawn_Roma(4).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60990c861b856e3f6988306e,"10/27/2022, 13:16:31"
3574,E_F_Julie_Walters(20).png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,60990c861b856e3f6988306e,"10/27/2022, 13:16:31"
2680,E_M_Michael_McIntyr(8).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60990c861b856e3f6988306e,"10/27/2022, 13:16:31"
2763,E_F_Julie_Walters(20).png,E_M_Jimmy_Carr(5).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,60990c861b856e3f6988306e,"10/27/2022, 13:16:31"
1634,E_M_Peter_Kay(3).png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,60990c861b856e3f6988306e,"10/27/2022, 13:16:31"
3232,E_M_Ewan_McGregor(3).png,E_M_Jimmy_Carr(5).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,60990c861b856e3f6988306e,"10/27/2022, 13:16:31"
2372,E_F_Jennifer_Saunders.png,E_M_Jimmy_Carr(5).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,60990c861b856e3f6988306e,"10/27/2022, 13:16:31"
1488,P_F_Theresa_May(3).png,P_M_nigel_farage(5).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,60990c861b856e3f6988306e,"10/27/2022, 13:16:31"
2108,E_F_Sarah_Millican(1).png,E_M_Jimmy_Carr(5).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,60990c861b856e3f6988306e,"10/27/2022, 13:16:31"
1984,P_M_Michael_Gove(9).png,P_M_nigel_farage(5).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,60990c861b856e3f6988306e,"10/27/2022, 13:16:31"
3716,E_F_Jennifer_Saunders.png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,60990c861b856e3f6988306e,"10/27/2022, 13:16:31"
1371,P_M_david_camer(14).png,P_M_jeremy_corbyn(2).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,60990c861b856e3f6988306e,"10/27/2022, 13:16:31"
1690,E_M_Michael_McIntyr(8).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60990c861b856e3f6988306e,"10/27/2022, 13:16:31"
