RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5eaa9250557519012c296463,"10/27/2022, 13:27:56"
8055,E_F_Dawn_Roma(4).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5eaa9250557519012c296463,"10/27/2022, 13:27:56"
8012,E_F_Sarah_Millican(1).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5eaa9250557519012c296463,"10/27/2022, 13:27:56"
3237,E_F_Julie_Walters(20).png,E_M_Michael_McIntyr(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5eaa9250557519012c296463,"10/27/2022, 13:27:56"
3754,P_M_david_camer(14).png,P_M_nigel_farage(5).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5eaa9250557519012c296463,"10/27/2022, 13:27:56"
3338,E_F_Dawn_Roma(4).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5eaa9250557519012c296463,"10/27/2022, 13:27:56"
8045,P_F_Theresa_May(3).png,P_M_keir_starmer(6).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5eaa9250557519012c296463,"10/27/2022, 13:27:56"
5615,E_M_Jimmy_Carr(5).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5eaa9250557519012c296463,"10/27/2022, 13:27:56"
3456,E_F_Jennifer_Saunders.png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5eaa9250557519012c296463,"10/27/2022, 13:27:56"
4407,E_F_Dawn_Roma(4).png,E_M_Jimmy_Carr(5).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5eaa9250557519012c296463,"10/27/2022, 13:27:56"
5982,E_M_Russell_Howard(10).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5eaa9250557519012c296463,"10/27/2022, 13:27:56"
5618,E_M_Ewan_McGregor(3).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5eaa9250557519012c296463,"10/27/2022, 13:27:56"
6986,P_M_jeremy_corbyn(2).png,P_M_keir_starmer(6).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5eaa9250557519012c296463,"10/27/2022, 13:27:56"
3816,E_M_Peter_Kay(3).png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5eaa9250557519012c296463,"10/27/2022, 13:27:56"
3277,E_M_Michael_McIntyr(8).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5eaa9250557519012c296463,"10/27/2022, 13:27:56"
2855,E_F_Jennifer_Saunders.png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5eaa9250557519012c296463,"10/27/2022, 13:27:56"
5982,E_M_Peter_Kay(3).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5eaa9250557519012c296463,"10/27/2022, 13:27:56"
4594,E_M_Jimmy_Carr(5).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5eaa9250557519012c296463,"10/27/2022, 13:27:56"
6723,E_M_Jimmy_Carr(5).png,E_M_Peter_Kay(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5eaa9250557519012c296463,"10/27/2022, 13:27:56"
8816,E_F_Dawn_Roma(4).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5eaa9250557519012c296463,"10/27/2022, 13:27:56"
5796,E_F_Sarah_Millican(1).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5eaa9250557519012c296463,"10/27/2022, 13:27:56"
5287,P_M_david_camer(14).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5eaa9250557519012c296463,"10/27/2022, 13:27:56"
7248,E_F_Jennifer_Saunders.png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5eaa9250557519012c296463,"10/27/2022, 13:27:56"
3234,P_M_Sajid_Javid(4).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5eaa9250557519012c296463,"10/27/2022, 13:27:56"
5106,E_F_Sarah_Millican(1).png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5eaa9250557519012c296463,"10/27/2022, 13:27:56"
3535,P_M_Michael_Gove(9).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5eaa9250557519012c296463,"10/27/2022, 13:27:56"
3004,P_F_Theresa_May(3).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5eaa9250557519012c296463,"10/27/2022, 13:27:56"
2393,P_F_Theresa_May(3).png,P_M_david_camer(14).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5eaa9250557519012c296463,"10/27/2022, 13:27:56"
2807,P_M_jeremy_corbyn(2).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5eaa9250557519012c296463,"10/27/2022, 13:27:56"
2509,E_F_Sarah_Millican(1).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5eaa9250557519012c296463,"10/27/2022, 13:27:56"
4905,E_F_Jennifer_Saunders.png,E_F_Sarah_Millican(1).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5eaa9250557519012c296463,"10/27/2022, 13:27:56"
6654,E_M_Jimmy_Carr(5).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,5eaa9250557519012c296463,"10/27/2022, 13:27:56"
7978,P_M_Gordon_Brown(19).png,P_M_keir_starmer(6).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5eaa9250557519012c296463,"10/27/2022, 13:27:56"
3482,E_F_Julie_Walters(20).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5eaa9250557519012c296463,"10/27/2022, 13:27:56"
4596,E_F_Julie_Walters(20).png,E_F_Sarah_Millican(1).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5eaa9250557519012c296463,"10/27/2022, 13:27:56"
6446,P_M_david_camer(14).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5eaa9250557519012c296463,"10/27/2022, 13:27:56"
6637,P_F_nicola_sturge(10).png,P_M_keir_starmer(6).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5eaa9250557519012c296463,"10/27/2022, 13:27:56"
2287,E_M_Russell_Howard(10).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5eaa9250557519012c296463,"10/27/2022, 13:27:56"
2266,E_M_Michael_McIntyr(8).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5eaa9250557519012c296463,"10/27/2022, 13:27:56"
4381,E_M_Ewan_McGregor(3).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5eaa9250557519012c296463,"10/27/2022, 13:27:56"
3155,E_M_Michael_McIntyr(8).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5eaa9250557519012c296463,"10/27/2022, 13:27:56"
9724,E_F_Julie_Walters(20).png,E_M_Ewan_McGregor(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5eaa9250557519012c296463,"10/27/2022, 13:27:56"
3079,E_F_Dawn_Roma(4).png,E_M_Peter_Kay(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5eaa9250557519012c296463,"10/27/2022, 13:27:56"
5467,E_M_Jimmy_Carr(5).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5eaa9250557519012c296463,"10/27/2022, 13:27:56"
