RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5f731eeb424c7804f2ff2936,"10/27/2022, 13:12:36"
2944,E_M_Simon_Pegg(8).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5f731eeb424c7804f2ff2936,"10/27/2022, 13:12:36"
3179,P_M_Michael_Gove(9).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5f731eeb424c7804f2ff2936,"10/27/2022, 13:12:36"
4363,E_M_Jimmy_Carr(5).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5f731eeb424c7804f2ff2936,"10/27/2022, 13:12:36"
3418,E_M_Simon_Pegg(8).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,5f731eeb424c7804f2ff2936,"10/27/2022, 13:12:36"
3219,P_F_nicola_sturge(10).png,P_M_keir_starmer(6).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5f731eeb424c7804f2ff2936,"10/27/2022, 13:12:36"
2967,P_M_Gordon_Brown(19).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5f731eeb424c7804f2ff2936,"10/27/2022, 13:12:36"
3207,E_F_Sarah_Millican(1).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5f731eeb424c7804f2ff2936,"10/27/2022, 13:12:36"
6205,E_M_Michael_McIntyr(8).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f731eeb424c7804f2ff2936,"10/27/2022, 13:12:36"
2987,P_F_Theresa_May(3).png,P_M_nigel_farage(5).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5f731eeb424c7804f2ff2936,"10/27/2022, 13:12:36"
2443,P_F_nicola_sturge(10).png,P_F_Theresa_May(3).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,4,5f731eeb424c7804f2ff2936,"10/27/2022, 13:12:36"
3463,E_F_Julie_Walters(20).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f731eeb424c7804f2ff2936,"10/27/2022, 13:12:36"
2815,P_F_nicola_sturge(10).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5f731eeb424c7804f2ff2936,"10/27/2022, 13:12:36"
2371,E_M_Peter_Kay(3).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5f731eeb424c7804f2ff2936,"10/27/2022, 13:12:36"
4030,E_F_Sarah_Millican(1).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5f731eeb424c7804f2ff2936,"10/27/2022, 13:12:36"
4279,E_M_Michael_McIntyr(8).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f731eeb424c7804f2ff2936,"10/27/2022, 13:12:36"
7688,E_F_Sarah_Millican(1).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5f731eeb424c7804f2ff2936,"10/27/2022, 13:12:36"
2543,E_F_Sarah_Millican(1).png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5f731eeb424c7804f2ff2936,"10/27/2022, 13:12:36"
2863,E_F_Julie_Walters(20).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5f731eeb424c7804f2ff2936,"10/27/2022, 13:12:36"
3947,E_M_Michael_McIntyr(8).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5f731eeb424c7804f2ff2936,"10/27/2022, 13:12:36"
3087,P_M_Sajid_Javid(4).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5f731eeb424c7804f2ff2936,"10/27/2022, 13:12:36"
3635,E_F_Jennifer_Saunders.png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5f731eeb424c7804f2ff2936,"10/27/2022, 13:12:36"
3479,E_F_Dawn_Roma(4).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5f731eeb424c7804f2ff2936,"10/27/2022, 13:12:36"
3298,E_F_Dawn_Roma(4).png,E_M_Peter_Kay(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5f731eeb424c7804f2ff2936,"10/27/2022, 13:12:36"
3198,E_F_Julie_Walters(20).png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5f731eeb424c7804f2ff2936,"10/27/2022, 13:12:36"
3902,E_M_Russell_Howard(10).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,2,5f731eeb424c7804f2ff2936,"10/27/2022, 13:12:36"
4183,E_F_Julie_Walters(20).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,5f731eeb424c7804f2ff2936,"10/27/2022, 13:12:36"
2727,E_F_Sarah_Millican(1).png,E_M_Jimmy_Carr(5).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5f731eeb424c7804f2ff2936,"10/27/2022, 13:12:36"
2419,E_F_Dawn_Roma(4).png,E_F_Jennifer_Saunders.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5f731eeb424c7804f2ff2936,"10/27/2022, 13:12:36"
3151,E_M_Simon_Pegg(8).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f731eeb424c7804f2ff2936,"10/27/2022, 13:12:36"
4103,E_M_Michael_McIntyr(8).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5f731eeb424c7804f2ff2936,"10/27/2022, 13:12:36"
3519,E_F_Dawn_Roma(4).png,E_M_Ewan_McGregor(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5f731eeb424c7804f2ff2936,"10/27/2022, 13:12:36"
3111,E_M_Simon_Pegg(8).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f731eeb424c7804f2ff2936,"10/27/2022, 13:12:36"
3134,E_M_Jimmy_Carr(5).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f731eeb424c7804f2ff2936,"10/27/2022, 13:12:36"
3599,E_F_Dawn_Roma(4).png,E_F_Sarah_Millican(1).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5f731eeb424c7804f2ff2936,"10/27/2022, 13:12:36"
6299,E_M_Jimmy_Carr(5).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5f731eeb424c7804f2ff2936,"10/27/2022, 13:12:36"
3183,E_M_Ewan_McGregor(3).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f731eeb424c7804f2ff2936,"10/27/2022, 13:12:36"
2927,E_M_Michael_McIntyr(8).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f731eeb424c7804f2ff2936,"10/27/2022, 13:12:36"
2715,P_F_nicola_sturge(10).png,P_M_david_camer(14).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5f731eeb424c7804f2ff2936,"10/27/2022, 13:12:36"
2865,E_F_Julie_Walters(20).png,E_F_Sarah_Millican(1).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5f731eeb424c7804f2ff2936,"10/27/2022, 13:12:36"
2447,E_M_Ewan_McGregor(3).png,E_M_Jimmy_Carr(5).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5f731eeb424c7804f2ff2936,"10/27/2022, 13:12:36"
