RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5da306a22e89480012ef4176,"10/27/2022, 13:35:36"
3480,P_M_david_camer(14).png,P_M_Gordon_Brown(19).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5da306a22e89480012ef4176,"10/27/2022, 13:35:36"
4824,E_M_Jimmy_Carr(5).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5da306a22e89480012ef4176,"10/27/2022, 13:35:36"
3848,E_M_Peter_Kay(3).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5da306a22e89480012ef4176,"10/27/2022, 13:35:36"
3352,E_F_Julie_Walters(20).png,E_M_Peter_Kay(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5da306a22e89480012ef4176,"10/27/2022, 13:35:36"
2892,E_M_Jimmy_Carr(5).png,E_M_Michael_McIntyr(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5da306a22e89480012ef4176,"10/27/2022, 13:35:36"
3129,E_F_Julie_Walters(20).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5da306a22e89480012ef4176,"10/27/2022, 13:35:36"
3331,E_M_Michael_McIntyr(8).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5da306a22e89480012ef4176,"10/27/2022, 13:35:36"
2901,E_M_Russell_Howard(10).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5da306a22e89480012ef4176,"10/27/2022, 13:35:36"
21172,E_M_Simon_Pegg(8).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5da306a22e89480012ef4176,"10/27/2022, 13:35:36"
4268,E_F_Julie_Walters(20).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5da306a22e89480012ef4176,"10/27/2022, 13:35:36"
3848,E_F_Julie_Walters(20).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5da306a22e89480012ef4176,"10/27/2022, 13:35:36"
1914,E_F_Jennifer_Saunders.png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5da306a22e89480012ef4176,"10/27/2022, 13:35:36"
4011,P_M_Gordon_Brown(19).png,P_M_nigel_farage(5).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5da306a22e89480012ef4176,"10/27/2022, 13:35:36"
2849,E_F_Sarah_Millican(1).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5da306a22e89480012ef4176,"10/27/2022, 13:35:36"
3098,P_F_nicola_sturge(10).png,P_F_Theresa_May(3).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,3,5da306a22e89480012ef4176,"10/27/2022, 13:35:36"
2983,E_F_Jennifer_Saunders.png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5da306a22e89480012ef4176,"10/27/2022, 13:35:36"
2508,E_M_Simon_Pegg(8).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5da306a22e89480012ef4176,"10/27/2022, 13:35:36"
2888,E_M_Ewan_McGregor(3).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5da306a22e89480012ef4176,"10/27/2022, 13:35:36"
3445,E_F_Sarah_Millican(1).png,E_M_Peter_Kay(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5da306a22e89480012ef4176,"10/27/2022, 13:35:36"
2494,E_F_Dawn_Roma(4).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5da306a22e89480012ef4176,"10/27/2022, 13:35:36"
3878,P_M_david_camer(14).png,P_M_keir_starmer(6).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5da306a22e89480012ef4176,"10/27/2022, 13:35:36"
2741,E_M_Peter_Kay(3).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5da306a22e89480012ef4176,"10/27/2022, 13:35:36"
2330,E_M_Peter_Kay(3).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5da306a22e89480012ef4176,"10/27/2022, 13:35:36"
3335,E_M_Ewan_McGregor(3).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5da306a22e89480012ef4176,"10/27/2022, 13:35:36"
4239,E_M_Russell_Howard(10).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5da306a22e89480012ef4176,"10/27/2022, 13:35:36"
2734,E_M_Simon_Pegg(8).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5da306a22e89480012ef4176,"10/27/2022, 13:35:36"
3520,E_F_Sarah_Millican(1).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5da306a22e89480012ef4176,"10/27/2022, 13:35:36"
3213,E_F_Julie_Walters(20).png,E_M_Michael_McIntyr(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5da306a22e89480012ef4176,"10/27/2022, 13:35:36"
3561,P_M_david_camer(14).png,P_M_Michael_Gove(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5da306a22e89480012ef4176,"10/27/2022, 13:35:36"
2773,E_M_Jimmy_Carr(5).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5da306a22e89480012ef4176,"10/27/2022, 13:35:36"
2395,E_M_Michael_McIntyr(8).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5da306a22e89480012ef4176,"10/27/2022, 13:35:36"
2239,E_M_Jimmy_Carr(5).png,E_M_Peter_Kay(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5da306a22e89480012ef4176,"10/27/2022, 13:35:36"
2629,E_M_Jimmy_Carr(5).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5da306a22e89480012ef4176,"10/27/2022, 13:35:36"
2108,P_F_nicola_sturge(10).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5da306a22e89480012ef4176,"10/27/2022, 13:35:36"
2469,E_M_Ewan_McGregor(3).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5da306a22e89480012ef4176,"10/27/2022, 13:35:36"
2675,E_M_Simon_Pegg(8).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5da306a22e89480012ef4176,"10/27/2022, 13:35:36"
