RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,60d06a76e9c3333904d90ffc,"10/27/2022, 14:27:48"
5275,E_F_Jennifer_Saunders.png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60d06a76e9c3333904d90ffc,"10/27/2022, 14:27:48"
3604,E_M_Jimmy_Carr(5).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,60d06a76e9c3333904d90ffc,"10/27/2022, 14:27:48"
2345,P_F_nicola_sturge(10).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,60d06a76e9c3333904d90ffc,"10/27/2022, 14:27:48"
2423,P_M_jeremy_corbyn(2).png,P_M_Michael_Gove(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,60d06a76e9c3333904d90ffc,"10/27/2022, 14:27:48"
3159,E_F_Dawn_Roma(4).png,E_M_Ewan_McGregor(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,60d06a76e9c3333904d90ffc,"10/27/2022, 14:27:48"
937,E_F_Jennifer_Saunders.png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,60d06a76e9c3333904d90ffc,"10/27/2022, 14:27:48"
2724,E_F_Dawn_Roma(4).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60d06a76e9c3333904d90ffc,"10/27/2022, 14:27:48"
1888,E_F_Julie_Walters(20).png,E_M_Ewan_McGregor(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,60d06a76e9c3333904d90ffc,"10/27/2022, 14:27:48"
1564,E_F_Jennifer_Saunders.png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,60d06a76e9c3333904d90ffc,"10/27/2022, 14:27:48"
2107,E_F_Dawn_Roma(4).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,60d06a76e9c3333904d90ffc,"10/27/2022, 14:27:48"
1498,P_M_Michael_Gove(9).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,60d06a76e9c3333904d90ffc,"10/27/2022, 14:27:48"
1531,E_F_Julie_Walters(20).png,E_M_Jimmy_Carr(5).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,60d06a76e9c3333904d90ffc,"10/27/2022, 14:27:48"
1362,E_F_Dawn_Roma(4).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,60d06a76e9c3333904d90ffc,"10/27/2022, 14:27:48"
2198,E_M_Russell_Howard(10).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,60d06a76e9c3333904d90ffc,"10/27/2022, 14:27:48"
1843,E_F_Julie_Walters(20).png,E_F_Sarah_Millican(1).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,60d06a76e9c3333904d90ffc,"10/27/2022, 14:27:48"
1362,E_M_Jimmy_Carr(5).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,60d06a76e9c3333904d90ffc,"10/27/2022, 14:27:48"
797,E_M_Michael_McIntyr(8).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60d06a76e9c3333904d90ffc,"10/27/2022, 14:27:48"
790,E_F_Sarah_Millican(1).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,60d06a76e9c3333904d90ffc,"10/27/2022, 14:27:48"
1338,E_F_Julie_Walters(20).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,60d06a76e9c3333904d90ffc,"10/27/2022, 14:27:48"
790,E_M_Peter_Kay(3).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60d06a76e9c3333904d90ffc,"10/27/2022, 14:27:48"
680,E_M_Simon_Pegg(8).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,60d06a76e9c3333904d90ffc,"10/27/2022, 14:27:48"
