RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,60fd1072c41257e1b62d43ef,"10/27/2022, 13:14:38"
1855,E_F_Sarah_Millican(1).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,60fd1072c41257e1b62d43ef,"10/27/2022, 13:14:38"
1943,E_M_Simon_Pegg(8).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60fd1072c41257e1b62d43ef,"10/27/2022, 13:14:38"
2382,E_M_Jimmy_Carr(5).png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,60fd1072c41257e1b62d43ef,"10/27/2022, 13:14:38"
1598,E_F_Sarah_Millican(1).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60fd1072c41257e1b62d43ef,"10/27/2022, 13:14:38"
2663,E_F_Jennifer_Saunders.png,E_F_Sarah_Millican(1).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,60fd1072c41257e1b62d43ef,"10/27/2022, 13:14:38"
1575,E_F_Sarah_Millican(1).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60fd1072c41257e1b62d43ef,"10/27/2022, 13:14:38"
2999,P_M_Michael_Gove(9).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,60fd1072c41257e1b62d43ef,"10/27/2022, 13:14:38"
1886,E_F_Dawn_Roma(4).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60fd1072c41257e1b62d43ef,"10/27/2022, 13:14:38"
1686,E_F_Dawn_Roma(4).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60fd1072c41257e1b62d43ef,"10/27/2022, 13:14:38"
4774,E_M_Russell_Howard(10).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,60fd1072c41257e1b62d43ef,"10/27/2022, 13:14:38"
1878,P_F_nicola_sturge(10).png,P_M_jeremy_corbyn(2).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,60fd1072c41257e1b62d43ef,"10/27/2022, 13:14:38"
2927,E_M_Simon_Pegg(8).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60fd1072c41257e1b62d43ef,"10/27/2022, 13:14:38"
1550,E_F_Sarah_Millican(1).png,E_M_Jimmy_Carr(5).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,60fd1072c41257e1b62d43ef,"10/27/2022, 13:14:38"
4006,E_F_Jennifer_Saunders.png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,60fd1072c41257e1b62d43ef,"10/27/2022, 13:14:38"
4758,P_F_nicola_sturge(10).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,60fd1072c41257e1b62d43ef,"10/27/2022, 13:14:38"
1511,E_M_Simon_Pegg(8).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60fd1072c41257e1b62d43ef,"10/27/2022, 13:14:38"
2054,P_F_Theresa_May(3).png,P_M_Michael_Gove(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,60fd1072c41257e1b62d43ef,"10/27/2022, 13:14:38"
4582,P_F_nicola_sturge(10).png,P_F_Theresa_May(3).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,3,60fd1072c41257e1b62d43ef,"10/27/2022, 13:14:38"
2590,E_F_Julie_Walters(20).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,60fd1072c41257e1b62d43ef,"10/27/2022, 13:14:38"
2463,P_M_jeremy_corbyn(2).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,60fd1072c41257e1b62d43ef,"10/27/2022, 13:14:38"
1983,E_M_Michael_McIntyr(8).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,60fd1072c41257e1b62d43ef,"10/27/2022, 13:14:38"
1598,E_M_Peter_Kay(3).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,60fd1072c41257e1b62d43ef,"10/27/2022, 13:14:38"
1398,E_M_Simon_Pegg(8).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60fd1072c41257e1b62d43ef,"10/27/2022, 13:14:38"
2366,E_M_Jimmy_Carr(5).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60fd1072c41257e1b62d43ef,"10/27/2022, 13:14:38"
2694,E_F_Dawn_Roma(4).png,E_F_Jennifer_Saunders.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,60fd1072c41257e1b62d43ef,"10/27/2022, 13:14:38"
1702,E_F_Jennifer_Saunders.png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60fd1072c41257e1b62d43ef,"10/27/2022, 13:14:38"
2405,E_F_Julie_Walters(20).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,60fd1072c41257e1b62d43ef,"10/27/2022, 13:14:38"
4670,E_M_Russell_Howard(10).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60fd1072c41257e1b62d43ef,"10/27/2022, 13:14:38"
1439,E_F_Sarah_Millican(1).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60fd1072c41257e1b62d43ef,"10/27/2022, 13:14:38"
2317,P_M_jeremy_corbyn(2).png,P_M_keir_starmer(6).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,60fd1072c41257e1b62d43ef,"10/27/2022, 13:14:38"
1838,E_M_Simon_Pegg(8).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60fd1072c41257e1b62d43ef,"10/27/2022, 13:14:38"
2870,E_M_Ewan_McGregor(3).png,E_M_Michael_McIntyr(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,60fd1072c41257e1b62d43ef,"10/27/2022, 13:14:38"
1838,E_M_Peter_Kay(3).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60fd1072c41257e1b62d43ef,"10/27/2022, 13:14:38"
1670,E_M_Russell_Howard(10).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60fd1072c41257e1b62d43ef,"10/27/2022, 13:14:38"
1854,E_M_Peter_Kay(3).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,60fd1072c41257e1b62d43ef,"10/27/2022, 13:14:38"
2006,E_M_Ewan_McGregor(3).png,E_M_Peter_Kay(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,60fd1072c41257e1b62d43ef,"10/27/2022, 13:14:38"
2831,E_F_Jennifer_Saunders.png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,60fd1072c41257e1b62d43ef,"10/27/2022, 13:14:38"
2543,E_F_Dawn_Roma(4).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60fd1072c41257e1b62d43ef,"10/27/2022, 13:14:38"
2839,E_M_Michael_McIntyr(8).png,E_M_Peter_Kay(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,60fd1072c41257e1b62d43ef,"10/27/2022, 13:14:38"
2541,E_F_Jennifer_Saunders.png,E_M_Jimmy_Carr(5).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,60fd1072c41257e1b62d43ef,"10/27/2022, 13:14:38"
1534,P_M_keir_starmer(6).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,60fd1072c41257e1b62d43ef,"10/27/2022, 13:14:38"
3879,E_M_Peter_Kay(3).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60fd1072c41257e1b62d43ef,"10/27/2022, 13:14:38"
2143,E_F_Julie_Walters(20).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,60fd1072c41257e1b62d43ef,"10/27/2022, 13:14:38"
5559,P_F_Theresa_May(3).png,P_M_keir_starmer(6).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,60fd1072c41257e1b62d43ef,"10/27/2022, 13:14:38"
5566,E_M_Simon_Pegg(8).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,60fd1072c41257e1b62d43ef,"10/27/2022, 13:14:38"
3358,E_M_Michael_McIntyr(8).png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,60fd1072c41257e1b62d43ef,"10/27/2022, 13:14:38"
1918,E_F_Jennifer_Saunders.png,E_M_Peter_Kay(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,60fd1072c41257e1b62d43ef,"10/27/2022, 13:14:38"
2598,E_M_Ewan_McGregor(3).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60fd1072c41257e1b62d43ef,"10/27/2022, 13:14:38"
2550,P_M_keir_starmer(6).png,P_M_nigel_farage(5).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,60fd1072c41257e1b62d43ef,"10/27/2022, 13:14:38"
1806,E_M_Russell_Howard(10).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60fd1072c41257e1b62d43ef,"10/27/2022, 13:14:38"
2271,E_F_Sarah_Millican(1).png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,60fd1072c41257e1b62d43ef,"10/27/2022, 13:14:38"
2566,E_M_Michael_McIntyr(8).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60fd1072c41257e1b62d43ef,"10/27/2022, 13:14:38"
3710,E_F_Sarah_Millican(1).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,60fd1072c41257e1b62d43ef,"10/27/2022, 13:14:38"
2063,E_M_Russell_Howard(10).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60fd1072c41257e1b62d43ef,"10/27/2022, 13:14:38"
5430,E_F_Jennifer_Saunders.png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,60fd1072c41257e1b62d43ef,"10/27/2022, 13:14:38"
5335,P_M_keir_starmer(6).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,60fd1072c41257e1b62d43ef,"10/27/2022, 13:14:38"
file,isFamiliar,60fd1072c41257e1b62d43ef,"10/27/2022, 13:14:38"
P_M_Michael_Gove(9).png,0,60fd1072c41257e1b62d43ef,"10/27/2022, 13:14:38"
P_M_jeremy_corbyn(2).png,0,60fd1072c41257e1b62d43ef,"10/27/2022, 13:14:38"
E_F_Dawn_Roma(4).png,0,60fd1072c41257e1b62d43ef,"10/27/2022, 13:14:38"
E_F_Sarah_Millican(1).png,0,60fd1072c41257e1b62d43ef,"10/27/2022, 13:14:38"
E_M_Jimmy_Carr(5).png,0,60fd1072c41257e1b62d43ef,"10/27/2022, 13:14:38"
P_M_david_camer(14).png,0,60fd1072c41257e1b62d43ef,"10/27/2022, 13:14:38"
E_M_Michael_McIntyr(8).png,0,60fd1072c41257e1b62d43ef,"10/27/2022, 13:14:38"
P_M_Gordon_Brown(19).png,0,60fd1072c41257e1b62d43ef,"10/27/2022, 13:14:38"
E_M_Simon_Pegg(8).png,1,60fd1072c41257e1b62d43ef,"10/27/2022, 13:14:38"
P_M_keir_starmer(6).png,0,60fd1072c41257e1b62d43ef,"10/27/2022, 13:14:38"
E_M_Ewan_McGregor(3).png,0,60fd1072c41257e1b62d43ef,"10/27/2022, 13:14:38"
P_M_Sajid_Javid(4).png,0,60fd1072c41257e1b62d43ef,"10/27/2022, 13:14:38"
P_M_nigel_farage(5).png,0,60fd1072c41257e1b62d43ef,"10/27/2022, 13:14:38"
E_M_Russell_Howard(10).png,0,60fd1072c41257e1b62d43ef,"10/27/2022, 13:14:38"
P_F_Theresa_May(3).png,1,60fd1072c41257e1b62d43ef,"10/27/2022, 13:14:38"
E_M_Peter_Kay(3).png,0,60fd1072c41257e1b62d43ef,"10/27/2022, 13:14:38"
E_F_Julie_Walters(20).png,0,60fd1072c41257e1b62d43ef,"10/27/2022, 13:14:38"
P_F_nicola_sturge(10).png,0,60fd1072c41257e1b62d43ef,"10/27/2022, 13:14:38"
P_M_Tony_Blair.png,1,60fd1072c41257e1b62d43ef,"10/27/2022, 13:14:38"
E_F_Jennifer_Saunders.png,0,60fd1072c41257e1b62d43ef,"10/27/2022, 13:14:38"
age: 29,gender: Male,handedness: right,60fd1072c41257e1b62d43ef,"10/27/2022, 13:14:38"
