RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,60fd1072c41257e1b62d43ef,"10/27/2022, 13:14:38"
2439,E_F_Dawn_Roma(4).png,E_M_Peter_Kay(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,60fd1072c41257e1b62d43ef,"10/27/2022, 13:14:38"
2519,E_F_Julie_Walters(20).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60fd1072c41257e1b62d43ef,"10/27/2022, 13:14:38"
4318,P_M_jeremy_corbyn(2).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,60fd1072c41257e1b62d43ef,"10/27/2022, 13:14:38"
2390,E_M_Peter_Kay(3).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,60fd1072c41257e1b62d43ef,"10/27/2022, 13:14:38"
2422,E_M_Ewan_McGregor(3).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60fd1072c41257e1b62d43ef,"10/27/2022, 13:14:38"
3520,E_M_Simon_Pegg(8).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,60fd1072c41257e1b62d43ef,"10/27/2022, 13:14:38"
2078,E_M_Ewan_McGregor(3).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60fd1072c41257e1b62d43ef,"10/27/2022, 13:14:38"
3278,P_M_nigel_farage(5).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,60fd1072c41257e1b62d43ef,"10/27/2022, 13:14:38"
2374,E_F_Dawn_Roma(4).png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,60fd1072c41257e1b62d43ef,"10/27/2022, 13:14:38"
2806,P_M_Gordon_Brown(19).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,60fd1072c41257e1b62d43ef,"10/27/2022, 13:14:38"
1806,E_M_Russell_Howard(10).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60fd1072c41257e1b62d43ef,"10/27/2022, 13:14:38"
5366,E_F_Jennifer_Saunders.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,60fd1072c41257e1b62d43ef,"10/27/2022, 13:14:38"
1694,E_F_Julie_Walters(20).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,60fd1072c41257e1b62d43ef,"10/27/2022, 13:14:38"
4958,E_M_Russell_Howard(10).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60fd1072c41257e1b62d43ef,"10/27/2022, 13:14:38"
1846,E_F_Sarah_Millican(1).png,E_M_Michael_McIntyr(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,60fd1072c41257e1b62d43ef,"10/27/2022, 13:14:38"
3917,E_F_Jennifer_Saunders.png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,60fd1072c41257e1b62d43ef,"10/27/2022, 13:14:38"
3422,E_M_Simon_Pegg(8).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60fd1072c41257e1b62d43ef,"10/27/2022, 13:14:38"
1726,E_F_Sarah_Millican(1).png,E_M_Peter_Kay(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,60fd1072c41257e1b62d43ef,"10/27/2022, 13:14:38"
2926,E_M_Simon_Pegg(8).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,60fd1072c41257e1b62d43ef,"10/27/2022, 13:14:38"
2296,E_F_Dawn_Roma(4).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,60fd1072c41257e1b62d43ef,"10/27/2022, 13:14:38"
1885,P_M_nigel_farage(5).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,60fd1072c41257e1b62d43ef,"10/27/2022, 13:14:38"
