RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
4302,P_F_Theresa_May(3).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
6268,P_F_Theresa_May(3).png,P_M_david_camer(14).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
6408,P_M_david_camer(14).png,P_M_jeremy_corbyn(2).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
17928,P_M_david_camer(14).png,P_M_Gordon_Brown(19).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
36306,P_M_nigel_farage(5).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
5634,E_M_Ewan_McGregor(3).png,E_M_Michael_McIntyr(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
4866,E_M_Peter_Kay(3).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
3005,E_M_Simon_Pegg(8).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
4656,P_M_Michael_Gove(9).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
3077,E_M_Michael_McIntyr(8).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
2479,E_M_Russell_Howard(10).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
3698,E_M_Jimmy_Carr(5).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
4474,E_M_Peter_Kay(3).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
5217,E_M_Russell_Howard(10).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
5838,P_M_david_camer(14).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
25095,E_M_Michael_McIntyr(8).png,E_M_Peter_Kay(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
