RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,608abd514dc55c9ffb6ede08,"10/27/2022, 13:32:46"
5948,E_F_Julie_Walters(20).png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,608abd514dc55c9ffb6ede08,"10/27/2022, 13:32:46"
4005,E_M_Jimmy_Carr(5).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,608abd514dc55c9ffb6ede08,"10/27/2022, 13:32:46"
4753,E_F_Dawn_Roma(4).png,E_M_Jimmy_Carr(5).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,608abd514dc55c9ffb6ede08,"10/27/2022, 13:32:46"
2874,E_F_Dawn_Roma(4).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,608abd514dc55c9ffb6ede08,"10/27/2022, 13:32:46"
2352,E_M_Russell_Howard(10).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,1,608abd514dc55c9ffb6ede08,"10/27/2022, 13:32:46"
2583,P_F_Theresa_May(3).png,P_M_Gordon_Brown(19).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,608abd514dc55c9ffb6ede08,"10/27/2022, 13:32:46"
2633,E_F_Jennifer_Saunders.png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,608abd514dc55c9ffb6ede08,"10/27/2022, 13:32:46"
2378,P_F_nicola_sturge(10).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,608abd514dc55c9ffb6ede08,"10/27/2022, 13:32:46"
2729,E_M_Russell_Howard(10).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,2,608abd514dc55c9ffb6ede08,"10/27/2022, 13:32:46"
2765,E_F_Dawn_Roma(4).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,608abd514dc55c9ffb6ede08,"10/27/2022, 13:32:46"
4571,P_M_keir_starmer(6).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,608abd514dc55c9ffb6ede08,"10/27/2022, 13:32:46"
3264,E_F_Jennifer_Saunders.png,E_M_Michael_McIntyr(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,608abd514dc55c9ffb6ede08,"10/27/2022, 13:32:46"
3052,E_M_Ewan_McGregor(3).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,608abd514dc55c9ffb6ede08,"10/27/2022, 13:32:46"
9830,P_F_Theresa_May(3).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,608abd514dc55c9ffb6ede08,"10/27/2022, 13:32:46"
2462,P_M_Michael_Gove(9).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,608abd514dc55c9ffb6ede08,"10/27/2022, 13:32:46"
3087,E_F_Julie_Walters(20).png,E_M_Peter_Kay(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,608abd514dc55c9ffb6ede08,"10/27/2022, 13:32:46"
25552,E_M_Jimmy_Carr(5).png,E_M_Peter_Kay(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,608abd514dc55c9ffb6ede08,"10/27/2022, 13:32:46"
