RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5a9ebcc11eda410001368d0c,"06/30/2022, 14:47:21"
2458,P_F_nicola_sturge.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5a9ebcc11eda410001368d0c,"06/30/2022, 14:47:21"
2604,P_F_Theresa_May.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5a9ebcc11eda410001368d0c,"06/30/2022, 14:47:21"
2652,E_F_Julie_Walters.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5a9ebcc11eda410001368d0c,"06/30/2022, 14:47:21"
2490,E_F_Jennifer_Saunders.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5a9ebcc11eda410001368d0c,"06/30/2022, 14:47:21"
2183,E_M_Jimmy_Carr.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5a9ebcc11eda410001368d0c,"06/30/2022, 14:47:21"
2900,E_M_Ewan_McGregor.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5a9ebcc11eda410001368d0c,"06/30/2022, 14:47:21"
1866,E_M_Jimmy_Carr.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5a9ebcc11eda410001368d0c,"06/30/2022, 14:47:21"
1757,E_M_Jimmy_Carr.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5a9ebcc11eda410001368d0c,"06/30/2022, 14:47:21"
3305,P_M_Sajid_Javid.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5a9ebcc11eda410001368d0c,"06/30/2022, 14:47:21"
2310,P_M_david_camer.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5a9ebcc11eda410001368d0c,"06/30/2022, 14:47:21"
2221,E_F_Jennifer_Saunders.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5a9ebcc11eda410001368d0c,"06/30/2022, 14:47:21"
2324,E_M_Russell_Howard.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5a9ebcc11eda410001368d0c,"06/30/2022, 14:47:21"
2676,P_M_nigel_farage.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5a9ebcc11eda410001368d0c,"06/30/2022, 14:47:21"
3222,E_M_Jimmy_Carr.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5a9ebcc11eda410001368d0c,"06/30/2022, 14:47:21"
2362,E_F_Julie_Walters.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5a9ebcc11eda410001368d0c,"06/30/2022, 14:47:21"
1861,E_F_Dawn_Roma_French.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5a9ebcc11eda410001368d0c,"06/30/2022, 14:47:21"
1836,E_M_Peter_Kay.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5a9ebcc11eda410001368d0c,"06/30/2022, 14:47:21"
3172,E_F_Sarah_Millican.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5a9ebcc11eda410001368d0c,"06/30/2022, 14:47:21"
