RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,60f00a1b3de9eb7951c66b53,"06/30/2022, 14:55:54"
2594,P_F_nicola_sturge.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,60f00a1b3de9eb7951c66b53,"06/30/2022, 14:55:54"
4844,E_F_Dawn_Roma_French.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,60f00a1b3de9eb7951c66b53,"06/30/2022, 14:55:54"
1662,E_M_Peter_Kay.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,60f00a1b3de9eb7951c66b53,"06/30/2022, 14:55:54"
4433,P_M_david_camer.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,60f00a1b3de9eb7951c66b53,"06/30/2022, 14:55:54"
2728,E_F_Dawn_Roma_French.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,60f00a1b3de9eb7951c66b53,"06/30/2022, 14:55:54"
2052,E_M_Peter_Kay.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,60f00a1b3de9eb7951c66b53,"06/30/2022, 14:55:54"
6862,E_F_Jennifer_Saunders.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,60f00a1b3de9eb7951c66b53,"06/30/2022, 14:55:54"
2929,P_M_david_camer.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,60f00a1b3de9eb7951c66b53,"06/30/2022, 14:55:54"
1782,E_M_Jimmy_Carr.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,60f00a1b3de9eb7951c66b53,"06/30/2022, 14:55:54"
1968,E_F_Dawn_Roma_French.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,60f00a1b3de9eb7951c66b53,"06/30/2022, 14:55:54"
2468,E_M_Jimmy_Carr.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,60f00a1b3de9eb7951c66b53,"06/30/2022, 14:55:54"
8845,E_M_Peter_Kay.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,60f00a1b3de9eb7951c66b53,"06/30/2022, 14:55:54"
2452,E_F_Julie_Walters.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,60f00a1b3de9eb7951c66b53,"06/30/2022, 14:55:54"
2011,E_F_Sarah_Millican.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,60f00a1b3de9eb7951c66b53,"06/30/2022, 14:55:54"
