RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5f4bd540586c807baf3f17d3,"06/30/2022, 14:54:37"
2010,P_M_keir_starmer.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5f4bd540586c807baf3f17d3,"06/30/2022, 14:54:37"
2017,P_F_nicola_sturge.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5f4bd540586c807baf3f17d3,"06/30/2022, 14:54:37"
4895,E_F_Dawn_Roma_French.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5f4bd540586c807baf3f17d3,"06/30/2022, 14:54:37"
2384,E_M_Peter_Kay.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5f4bd540586c807baf3f17d3,"06/30/2022, 14:54:37"
1811,E_F_Jennifer_Saunders.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5f4bd540586c807baf3f17d3,"06/30/2022, 14:54:37"
3182,E_F_Dawn_Roma_French.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5f4bd540586c807baf3f17d3,"06/30/2022, 14:54:37"
3838,E_F_Dawn_Roma_French.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5f4bd540586c807baf3f17d3,"06/30/2022, 14:54:37"
1520,E_F_Sarah_Millican.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f4bd540586c807baf3f17d3,"06/30/2022, 14:54:37"
2052,P_M_Sajid_Javid.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5f4bd540586c807baf3f17d3,"06/30/2022, 14:54:37"
2805,E_M_Simon_Pegg.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f4bd540586c807baf3f17d3,"06/30/2022, 14:54:37"
2303,E_F_Jennifer_Saunders.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5f4bd540586c807baf3f17d3,"06/30/2022, 14:54:37"
4391,E_M_Ewan_McGregor.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5f4bd540586c807baf3f17d3,"06/30/2022, 14:54:37"
4384,P_M_david_camer.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5f4bd540586c807baf3f17d3,"06/30/2022, 14:54:37"
1966,P_M_jeremy_corbyn.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5f4bd540586c807baf3f17d3,"06/30/2022, 14:54:37"
2613,E_M_Simon_Pegg.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f4bd540586c807baf3f17d3,"06/30/2022, 14:54:37"
2483,E_F_Dawn_Roma_French.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,5f4bd540586c807baf3f17d3,"06/30/2022, 14:54:37"
1652,P_M_jeremy_corbyn.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5f4bd540586c807baf3f17d3,"06/30/2022, 14:54:37"
1841,E_M_Russell_Howard.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f4bd540586c807baf3f17d3,"06/30/2022, 14:54:37"
