RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,6095cb4f3d06266bed0cd913,"06/30/2022, 14:49:37"
3896,E_F_Julie_Walters.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,6095cb4f3d06266bed0cd913,"06/30/2022, 14:49:37"
2987,E_M_Jimmy_Carr.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,6095cb4f3d06266bed0cd913,"06/30/2022, 14:49:37"
2093,E_M_Russell_Howard.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6095cb4f3d06266bed0cd913,"06/30/2022, 14:49:37"
2723,P_F_nicola_sturge.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,6095cb4f3d06266bed0cd913,"06/30/2022, 14:49:37"
4524,E_F_Dawn_Roma_French.png,E_F_Jennifer_Saunders.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,6095cb4f3d06266bed0cd913,"06/30/2022, 14:49:37"
2313,E_M_Russell_Howard.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,6095cb4f3d06266bed0cd913,"06/30/2022, 14:49:37"
2350,E_F_Dawn_Roma_French.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6095cb4f3d06266bed0cd913,"06/30/2022, 14:49:37"
2198,E_F_Dawn_Roma_French.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,6095cb4f3d06266bed0cd913,"06/30/2022, 14:49:37"
2100,E_F_Dawn_Roma_French.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,6095cb4f3d06266bed0cd913,"06/30/2022, 14:49:37"
2585,P_M_Gordon_Brown.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,6095cb4f3d06266bed0cd913,"06/30/2022, 14:49:37"
1947,P_F_Theresa_May.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,6095cb4f3d06266bed0cd913,"06/30/2022, 14:49:37"
2667,E_M_Michael_McIntyr.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,6095cb4f3d06266bed0cd913,"06/30/2022, 14:49:37"
2941,E_M_Russell_Howard.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,6095cb4f3d06266bed0cd913,"06/30/2022, 14:49:37"
2311,P_M_keir_starmer.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,6095cb4f3d06266bed0cd913,"06/30/2022, 14:49:37"
2287,P_M_jeremy_corbyn.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,6095cb4f3d06266bed0cd913,"06/30/2022, 14:49:37"
3696,E_M_Russell_Howard.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,6095cb4f3d06266bed0cd913,"06/30/2022, 14:49:37"
2860,P_F_nicola_sturge.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,6095cb4f3d06266bed0cd913,"06/30/2022, 14:49:37"
2488,E_F_Sarah_Millican.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,6095cb4f3d06266bed0cd913,"06/30/2022, 14:49:37"
2523,E_M_Ewan_McGregor.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,6095cb4f3d06266bed0cd913,"06/30/2022, 14:49:37"
2088,E_F_Dawn_Roma_French.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6095cb4f3d06266bed0cd913,"06/30/2022, 14:49:37"
2582,E_M_Peter_Kay.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,6095cb4f3d06266bed0cd913,"06/30/2022, 14:49:37"
1724,E_M_Michael_McIntyr.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6095cb4f3d06266bed0cd913,"06/30/2022, 14:49:37"
2756,E_M_Jimmy_Carr.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,6095cb4f3d06266bed0cd913,"06/30/2022, 14:49:37"
2611,E_F_Jennifer_Saunders.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,6095cb4f3d06266bed0cd913,"06/30/2022, 14:49:37"
1972,E_F_Sarah_Millican.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6095cb4f3d06266bed0cd913,"06/30/2022, 14:49:37"
2471,E_F_Jennifer_Saunders.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,6095cb4f3d06266bed0cd913,"06/30/2022, 14:49:37"
2085,E_F_Julie_Walters.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,6095cb4f3d06266bed0cd913,"06/30/2022, 14:49:37"
1737,E_M_Michael_McIntyr.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,6095cb4f3d06266bed0cd913,"06/30/2022, 14:49:37"
2489,E_M_Michael_McIntyr.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,6095cb4f3d06266bed0cd913,"06/30/2022, 14:49:37"
2302,E_M_Peter_Kay.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,6095cb4f3d06266bed0cd913,"06/30/2022, 14:49:37"
3659,P_M_david_camer.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,6095cb4f3d06266bed0cd913,"06/30/2022, 14:49:37"
4542,P_M_david_camer.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,6095cb4f3d06266bed0cd913,"06/30/2022, 14:49:37"
