RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
2967,P_M_david_camer.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
2024,E_M_Russell_Howard.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
2133,E_M_Michael_McIntyr.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
2066,E_F_Dawn_Roma_French.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
2469,P_F_nicola_sturge.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
5319,E_M_Ewan_McGregor.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
4458,E_M_Russell_Howard.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
1809,P_F_nicola_sturge.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
1737,E_F_Dawn_Roma_French.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
2013,E_F_Julie_Walters.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
3139,E_F_Jennifer_Saunders.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
2492,P_M_jeremy_corbyn.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
