RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,616066e4be6f0194d2a451a3,"06/30/2022, 14:06:30"
17860,E_M_Jimmy_Carr.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,616066e4be6f0194d2a451a3,"06/30/2022, 14:06:30"
4913,E_M_Ewan_McGregor.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,616066e4be6f0194d2a451a3,"06/30/2022, 14:06:30"
2381,P_M_Gordon_Brown.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,616066e4be6f0194d2a451a3,"06/30/2022, 14:06:30"
3037,E_F_Dawn_Roma_French.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,616066e4be6f0194d2a451a3,"06/30/2022, 14:06:30"
5043,E_F_Jennifer_Saunders.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,616066e4be6f0194d2a451a3,"06/30/2022, 14:06:30"
3382,E_M_Jimmy_Carr.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,616066e4be6f0194d2a451a3,"06/30/2022, 14:06:30"
3135,E_F_Sarah_Millican.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,616066e4be6f0194d2a451a3,"06/30/2022, 14:06:30"
2848,E_F_Jennifer_Saunders.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,616066e4be6f0194d2a451a3,"06/30/2022, 14:06:30"
4037,P_M_david_camer.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,616066e4be6f0194d2a451a3,"06/30/2022, 14:06:30"
2896,E_F_Sarah_Millican.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,616066e4be6f0194d2a451a3,"06/30/2022, 14:06:30"
3683,E_F_Jennifer_Saunders.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,616066e4be6f0194d2a451a3,"06/30/2022, 14:06:30"
