RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5cae3d6b6f6415001d3ac9a6,"06/30/2022, 15:15:23"
6625,E_M_Ewan_McGregor.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5cae3d6b6f6415001d3ac9a6,"06/30/2022, 15:15:23"
7032,E_M_Jimmy_Carr.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5cae3d6b6f6415001d3ac9a6,"06/30/2022, 15:15:23"
8212,E_F_Julie_Walters.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5cae3d6b6f6415001d3ac9a6,"06/30/2022, 15:15:23"
18444,E_F_Sarah_Millican.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5cae3d6b6f6415001d3ac9a6,"06/30/2022, 15:15:23"
8508,E_F_Sarah_Millican.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5cae3d6b6f6415001d3ac9a6,"06/30/2022, 15:15:23"
6319,E_F_Sarah_Millican.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5cae3d6b6f6415001d3ac9a6,"06/30/2022, 15:15:23"
13888,E_F_Jennifer_Saunders.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5cae3d6b6f6415001d3ac9a6,"06/30/2022, 15:15:23"
10309,E_M_Russell_Howard.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5cae3d6b6f6415001d3ac9a6,"06/30/2022, 15:15:23"
10498,E_F_Jennifer_Saunders.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5cae3d6b6f6415001d3ac9a6,"06/30/2022, 15:15:23"
15745,E_F_Dawn_Roma_French.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5cae3d6b6f6415001d3ac9a6,"06/30/2022, 15:15:23"
8459,E_F_Dawn_Roma_French.png,E_F_Julie_Walters.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5cae3d6b6f6415001d3ac9a6,"06/30/2022, 15:15:23"
13678,E_M_Peter_Kay.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5cae3d6b6f6415001d3ac9a6,"06/30/2022, 15:15:23"
16540,E_M_Jimmy_Carr.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5cae3d6b6f6415001d3ac9a6,"06/30/2022, 15:15:23"
3369,E_F_Sarah_Millican.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5cae3d6b6f6415001d3ac9a6,"06/30/2022, 15:15:23"
17330,P_F_Theresa_May.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5cae3d6b6f6415001d3ac9a6,"06/30/2022, 15:15:23"
7866,P_F_nicola_sturge.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5cae3d6b6f6415001d3ac9a6,"06/30/2022, 15:15:23"
9243,P_M_Michael_Gove.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5cae3d6b6f6415001d3ac9a6,"06/30/2022, 15:15:23"
11561,P_F_nicola_sturge.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5cae3d6b6f6415001d3ac9a6,"06/30/2022, 15:15:23"
7894,E_F_Dawn_Roma_French.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5cae3d6b6f6415001d3ac9a6,"06/30/2022, 15:15:23"
11176,E_F_Jennifer_Saunders.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5cae3d6b6f6415001d3ac9a6,"06/30/2022, 15:15:23"
3350,E_M_Russell_Howard.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5cae3d6b6f6415001d3ac9a6,"06/30/2022, 15:15:23"
6160,P_M_nigel_farage.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5cae3d6b6f6415001d3ac9a6,"06/30/2022, 15:15:23"
8724,E_M_Simon_Pegg.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5cae3d6b6f6415001d3ac9a6,"06/30/2022, 15:15:23"
3803,E_F_Dawn_Roma_French.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5cae3d6b6f6415001d3ac9a6,"06/30/2022, 15:15:23"
4800,E_M_Russell_Howard.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5cae3d6b6f6415001d3ac9a6,"06/30/2022, 15:15:23"
