RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5b76febccee87f0001f989ac,"06/30/2022, 14:51:59"
1954,E_M_Michael_McIntyr.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5b76febccee87f0001f989ac,"06/30/2022, 14:51:59"
2315,E_F_Jennifer_Saunders.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5b76febccee87f0001f989ac,"06/30/2022, 14:51:59"
2147,P_F_nicola_sturge.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5b76febccee87f0001f989ac,"06/30/2022, 14:51:59"
1744,E_F_Julie_Walters.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5b76febccee87f0001f989ac,"06/30/2022, 14:51:59"
1992,E_F_Jennifer_Saunders.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5b76febccee87f0001f989ac,"06/30/2022, 14:51:59"
1939,E_M_Ewan_McGregor.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5b76febccee87f0001f989ac,"06/30/2022, 14:51:59"
2492,E_M_Peter_Kay.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5b76febccee87f0001f989ac,"06/30/2022, 14:51:59"
3870,P_M_Michael_Gove.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5b76febccee87f0001f989ac,"06/30/2022, 14:51:59"
2712,E_M_Russell_Howard.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5b76febccee87f0001f989ac,"06/30/2022, 14:51:59"
2273,E_M_Michael_McIntyr.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5b76febccee87f0001f989ac,"06/30/2022, 14:51:59"
2484,E_F_Dawn_Roma_French.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5b76febccee87f0001f989ac,"06/30/2022, 14:51:59"
