RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,608ef46bbc5de958af2d6183,"06/30/2022, 15:10:03"
3205,P_M_keir_starmer.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,608ef46bbc5de958af2d6183,"06/30/2022, 15:10:03"
3335,P_M_david_camer.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,608ef46bbc5de958af2d6183,"06/30/2022, 15:10:03"
73254,P_F_Theresa_May.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,608ef46bbc5de958af2d6183,"06/30/2022, 15:10:03"
3786,E_M_Peter_Kay.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,608ef46bbc5de958af2d6183,"06/30/2022, 15:10:03"
2473,P_M_keir_starmer.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,608ef46bbc5de958af2d6183,"06/30/2022, 15:10:03"
2124,E_F_Jennifer_Saunders.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,608ef46bbc5de958af2d6183,"06/30/2022, 15:10:03"
3326,E_M_Peter_Kay.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,608ef46bbc5de958af2d6183,"06/30/2022, 15:10:03"
2980,E_M_Russell_Howard.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,608ef46bbc5de958af2d6183,"06/30/2022, 15:10:03"
2639,E_M_Michael_McIntyr.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,608ef46bbc5de958af2d6183,"06/30/2022, 15:10:03"
19155,E_F_Julie_Walters.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,608ef46bbc5de958af2d6183,"06/30/2022, 15:10:03"
4626,E_F_Dawn_Roma_French.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,608ef46bbc5de958af2d6183,"06/30/2022, 15:10:03"
2551,E_F_Jennifer_Saunders.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,608ef46bbc5de958af2d6183,"06/30/2022, 15:10:03"
2661,E_F_Dawn_Roma_French.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,608ef46bbc5de958af2d6183,"06/30/2022, 15:10:03"
2849,E_M_Russell_Howard.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,608ef46bbc5de958af2d6183,"06/30/2022, 15:10:03"
2682,E_F_Dawn_Roma_French.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,608ef46bbc5de958af2d6183,"06/30/2022, 15:10:03"
2495,E_M_Ewan_McGregor.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,608ef46bbc5de958af2d6183,"06/30/2022, 15:10:03"
2662,P_M_nigel_farage.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,608ef46bbc5de958af2d6183,"06/30/2022, 15:10:03"
2559,E_F_Julie_Walters.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,608ef46bbc5de958af2d6183,"06/30/2022, 15:10:03"
3575,E_F_Sarah_Millican.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,608ef46bbc5de958af2d6183,"06/30/2022, 15:10:03"
3532,E_M_Ewan_McGregor.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,608ef46bbc5de958af2d6183,"06/30/2022, 15:10:03"
438711,E_M_Simon_Pegg.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,608ef46bbc5de958af2d6183,"06/30/2022, 15:10:03"
3336,E_M_Simon_Pegg.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,608ef46bbc5de958af2d6183,"06/30/2022, 15:10:03"
2813,P_M_Gordon_Brown.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,608ef46bbc5de958af2d6183,"06/30/2022, 15:10:03"
2052,E_M_Michael_McIntyr.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,608ef46bbc5de958af2d6183,"06/30/2022, 15:10:03"
2066,E_F_Sarah_Millican.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,608ef46bbc5de958af2d6183,"06/30/2022, 15:10:03"
2610,P_M_david_camer.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,608ef46bbc5de958af2d6183,"06/30/2022, 15:10:03"
4672,E_M_Peter_Kay.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,608ef46bbc5de958af2d6183,"06/30/2022, 15:10:03"
3923,E_F_Sarah_Millican.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,608ef46bbc5de958af2d6183,"06/30/2022, 15:10:03"
2527,E_M_Russell_Howard.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,608ef46bbc5de958af2d6183,"06/30/2022, 15:10:03"
1950,E_M_Jimmy_Carr.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,608ef46bbc5de958af2d6183,"06/30/2022, 15:10:03"
1899,P_F_nicola_sturge.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,608ef46bbc5de958af2d6183,"06/30/2022, 15:10:03"
3510,E_F_Jennifer_Saunders.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,608ef46bbc5de958af2d6183,"06/30/2022, 15:10:03"
3191,E_M_Michael_McIntyr.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,608ef46bbc5de958af2d6183,"06/30/2022, 15:10:03"
3451,P_M_jeremy_corbyn.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,608ef46bbc5de958af2d6183,"06/30/2022, 15:10:03"
3764,E_M_Jimmy_Carr.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,608ef46bbc5de958af2d6183,"06/30/2022, 15:10:03"
2225,E_M_Michael_McIntyr.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,608ef46bbc5de958af2d6183,"06/30/2022, 15:10:03"
2299,E_F_Sarah_Millican.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,608ef46bbc5de958af2d6183,"06/30/2022, 15:10:03"
2711,E_F_Jennifer_Saunders.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,608ef46bbc5de958af2d6183,"06/30/2022, 15:10:03"
2866,P_F_nicola_sturge.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,608ef46bbc5de958af2d6183,"06/30/2022, 15:10:03"
3466,E_M_Jimmy_Carr.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,608ef46bbc5de958af2d6183,"06/30/2022, 15:10:03"
2567,E_F_Jennifer_Saunders.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,608ef46bbc5de958af2d6183,"06/30/2022, 15:10:03"
3328,E_F_Dawn_Roma_French.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,608ef46bbc5de958af2d6183,"06/30/2022, 15:10:03"
3067,E_M_Michael_McIntyr.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,608ef46bbc5de958af2d6183,"06/30/2022, 15:10:03"
2785,E_M_Jimmy_Carr.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,608ef46bbc5de958af2d6183,"06/30/2022, 15:10:03"
187609,E_M_Michael_McIntyr.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,608ef46bbc5de958af2d6183,"06/30/2022, 15:10:03"
67294,E_M_Jimmy_Carr.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,608ef46bbc5de958af2d6183,"06/30/2022, 15:10:03"
10106,E_M_Simon_Pegg.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,608ef46bbc5de958af2d6183,"06/30/2022, 15:10:03"
