RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,55d24bb75bc5bc0005d9050d,"06/30/2022, 15:08:20"
5179,E_M_Jimmy_Carr.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,55d24bb75bc5bc0005d9050d,"06/30/2022, 15:08:20"
2458,E_M_Peter_Kay.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,55d24bb75bc5bc0005d9050d,"06/30/2022, 15:08:20"
3880,E_F_Julie_Walters.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,55d24bb75bc5bc0005d9050d,"06/30/2022, 15:08:20"
4411,E_M_Michael_McIntyr.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,55d24bb75bc5bc0005d9050d,"06/30/2022, 15:08:20"
4072,P_M_jeremy_corbyn.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,55d24bb75bc5bc0005d9050d,"06/30/2022, 15:08:20"
3037,E_F_Dawn_Roma_French.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,55d24bb75bc5bc0005d9050d,"06/30/2022, 15:08:20"
4708,E_F_Jennifer_Saunders.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,55d24bb75bc5bc0005d9050d,"06/30/2022, 15:08:20"
2319,E_M_Russell_Howard.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,55d24bb75bc5bc0005d9050d,"06/30/2022, 15:08:20"
2693,E_F_Dawn_Roma_French.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,55d24bb75bc5bc0005d9050d,"06/30/2022, 15:08:20"
2670,P_M_david_camer.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,55d24bb75bc5bc0005d9050d,"06/30/2022, 15:08:20"
