RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,55ef58d4b9401300137f42a1,"06/30/2022, 14:58:44"
7610,E_M_Ewan_McGregor.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,55ef58d4b9401300137f42a1,"06/30/2022, 14:58:44"
5040,P_M_Gordon_Brown.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,55ef58d4b9401300137f42a1,"06/30/2022, 14:58:44"
17073,E_M_Jimmy_Carr.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,55ef58d4b9401300137f42a1,"06/30/2022, 14:58:44"
4223,E_M_Russell_Howard.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,55ef58d4b9401300137f42a1,"06/30/2022, 14:58:44"
5491,E_M_Ewan_McGregor.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,55ef58d4b9401300137f42a1,"06/30/2022, 14:58:44"
7939,E_M_Peter_Kay.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,55ef58d4b9401300137f42a1,"06/30/2022, 14:58:44"
7339,E_M_Ewan_McGregor.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,55ef58d4b9401300137f42a1,"06/30/2022, 14:58:44"
3490,E_M_Jimmy_Carr.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,55ef58d4b9401300137f42a1,"06/30/2022, 14:58:44"
2938,P_M_david_camer.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,55ef58d4b9401300137f42a1,"06/30/2022, 14:58:44"
3542,E_F_Sarah_Millican.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,55ef58d4b9401300137f42a1,"06/30/2022, 14:58:44"
3341,E_F_Julie_Walters.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,55ef58d4b9401300137f42a1,"06/30/2022, 14:58:44"
5525,E_F_Dawn_Roma_French.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,55ef58d4b9401300137f42a1,"06/30/2022, 14:58:44"
4421,E_F_Sarah_Millican.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,55ef58d4b9401300137f42a1,"06/30/2022, 14:58:44"
3588,E_F_Julie_Walters.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,55ef58d4b9401300137f42a1,"06/30/2022, 14:58:44"
3580,E_F_Dawn_Roma_French.png,E_F_Julie_Walters.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,55ef58d4b9401300137f42a1,"06/30/2022, 14:58:44"
4208,P_F_Theresa_May.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,55ef58d4b9401300137f42a1,"06/30/2022, 14:58:44"
3088,E_F_Jennifer_Saunders.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,55ef58d4b9401300137f42a1,"06/30/2022, 14:58:44"
3536,E_F_Julie_Walters.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,55ef58d4b9401300137f42a1,"06/30/2022, 14:58:44"
4656,P_F_Theresa_May.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,55ef58d4b9401300137f42a1,"06/30/2022, 14:58:44"
2987,E_M_Simon_Pegg.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,55ef58d4b9401300137f42a1,"06/30/2022, 14:58:44"
3142,P_F_Theresa_May.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,55ef58d4b9401300137f42a1,"06/30/2022, 14:58:44"
3507,P_F_nicola_sturge.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,55ef58d4b9401300137f42a1,"06/30/2022, 14:58:44"
4943,E_F_Dawn_Roma_French.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,55ef58d4b9401300137f42a1,"06/30/2022, 14:58:44"
3537,E_M_Michael_McIntyr.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,55ef58d4b9401300137f42a1,"06/30/2022, 14:58:44"
3706,P_F_Theresa_May.png,P_M_david_camer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,55ef58d4b9401300137f42a1,"06/30/2022, 14:58:44"
5588,E_M_Russell_Howard.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,55ef58d4b9401300137f42a1,"06/30/2022, 14:58:44"
4922,E_M_Jimmy_Carr.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,55ef58d4b9401300137f42a1,"06/30/2022, 14:58:44"
3994,E_M_Russell_Howard.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,55ef58d4b9401300137f42a1,"06/30/2022, 14:58:44"
4203,E_M_Michael_McIntyr.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,55ef58d4b9401300137f42a1,"06/30/2022, 14:58:44"
3690,E_M_Ewan_McGregor.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,55ef58d4b9401300137f42a1,"06/30/2022, 14:58:44"
4038,P_M_david_camer.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,55ef58d4b9401300137f42a1,"06/30/2022, 14:58:44"
8558,E_F_Sarah_Millican.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,55ef58d4b9401300137f42a1,"06/30/2022, 14:58:44"
5973,P_F_Theresa_May.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,55ef58d4b9401300137f42a1,"06/30/2022, 14:58:44"
15321,E_M_Ewan_McGregor.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,55ef58d4b9401300137f42a1,"06/30/2022, 14:58:44"
5088,E_M_Ewan_McGregor.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,55ef58d4b9401300137f42a1,"06/30/2022, 14:58:44"
3588,E_F_Dawn_Roma_French.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,55ef58d4b9401300137f42a1,"06/30/2022, 14:58:44"
4137,E_M_Peter_Kay.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,55ef58d4b9401300137f42a1,"06/30/2022, 14:58:44"
20166,E_M_Michael_McIntyr.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,55ef58d4b9401300137f42a1,"06/30/2022, 14:58:44"
8429,E_F_Dawn_Roma_French.png,E_F_Jennifer_Saunders.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,55ef58d4b9401300137f42a1,"06/30/2022, 14:58:44"
6333,E_M_Michael_McIntyr.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,2,55ef58d4b9401300137f42a1,"06/30/2022, 14:58:44"
3231,E_F_Julie_Walters.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,55ef58d4b9401300137f42a1,"06/30/2022, 14:58:44"
3548,P_M_Michael_Gove.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,55ef58d4b9401300137f42a1,"06/30/2022, 14:58:44"
