RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5b5d6507ba7ec90001fe85ff,"06/30/2022, 14:57:16"
2736,P_M_nigel_farage.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5b5d6507ba7ec90001fe85ff,"06/30/2022, 14:57:16"
2960,E_M_Peter_Kay.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5b5d6507ba7ec90001fe85ff,"06/30/2022, 14:57:16"
2984,E_F_Julie_Walters.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5b5d6507ba7ec90001fe85ff,"06/30/2022, 14:57:16"
2951,E_M_Ewan_McGregor.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5b5d6507ba7ec90001fe85ff,"06/30/2022, 14:57:16"
3936,E_F_Jennifer_Saunders.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,5b5d6507ba7ec90001fe85ff,"06/30/2022, 14:57:16"
3016,E_M_Michael_McIntyr.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5b5d6507ba7ec90001fe85ff,"06/30/2022, 14:57:16"
2500,E_M_Peter_Kay.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5b5d6507ba7ec90001fe85ff,"06/30/2022, 14:57:16"
6187,E_F_Julie_Walters.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,5b5d6507ba7ec90001fe85ff,"06/30/2022, 14:57:16"
2430,E_F_Dawn_Roma_French.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5b5d6507ba7ec90001fe85ff,"06/30/2022, 14:57:16"
2647,E_M_Simon_Pegg.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5b5d6507ba7ec90001fe85ff,"06/30/2022, 14:57:16"
6214,E_M_Peter_Kay.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5b5d6507ba7ec90001fe85ff,"06/30/2022, 14:57:16"
4302,E_M_Michael_McIntyr.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5b5d6507ba7ec90001fe85ff,"06/30/2022, 14:57:16"
2489,P_M_david_camer.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5b5d6507ba7ec90001fe85ff,"06/30/2022, 14:57:16"
