RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5e80b109ca1800791e1ca40c,"06/30/2022, 15:04:43"
8269,E_F_Jennifer_Saunders.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5e80b109ca1800791e1ca40c,"06/30/2022, 15:04:43"
12534,E_F_Sarah_Millican.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5e80b109ca1800791e1ca40c,"06/30/2022, 15:04:43"
4967,E_M_Simon_Pegg.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5e80b109ca1800791e1ca40c,"06/30/2022, 15:04:43"
4187,P_M_david_camer.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5e80b109ca1800791e1ca40c,"06/30/2022, 15:04:43"
8273,E_M_Ewan_McGregor.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5e80b109ca1800791e1ca40c,"06/30/2022, 15:04:43"
4242,E_M_Michael_McIntyr.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5e80b109ca1800791e1ca40c,"06/30/2022, 15:04:43"
5349,E_M_Peter_Kay.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5e80b109ca1800791e1ca40c,"06/30/2022, 15:04:43"
3593,E_F_Dawn_Roma_French.png,E_F_Julie_Walters.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5e80b109ca1800791e1ca40c,"06/30/2022, 15:04:43"
7398,E_M_Russell_Howard.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5e80b109ca1800791e1ca40c,"06/30/2022, 15:04:43"
8802,E_F_Jennifer_Saunders.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5e80b109ca1800791e1ca40c,"06/30/2022, 15:04:43"
8183,E_F_Julie_Walters.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5e80b109ca1800791e1ca40c,"06/30/2022, 15:04:43"
4409,E_M_Simon_Pegg.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5e80b109ca1800791e1ca40c,"06/30/2022, 15:04:43"
7166,P_M_keir_starmer.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5e80b109ca1800791e1ca40c,"06/30/2022, 15:04:43"
file,isFamiliar,5e80b109ca1800791e1ca40c,"06/30/2022, 15:04:43"
P_M_Tony_Blair.png,1,5e80b109ca1800791e1ca40c,"06/30/2022, 15:04:43"
E_M_Simon_Pegg.png,1,5e80b109ca1800791e1ca40c,"06/30/2022, 15:04:43"
E_M_Ewan_McGregor.png,0,5e80b109ca1800791e1ca40c,"06/30/2022, 15:04:43"
P_M_Gordon_Brown.png,0,5e80b109ca1800791e1ca40c,"06/30/2022, 15:04:43"
P_M_nigel_farage.png,1,5e80b109ca1800791e1ca40c,"06/30/2022, 15:04:43"
E_M_Peter_Kay.png,1,5e80b109ca1800791e1ca40c,"06/30/2022, 15:04:43"
P_F_nicola_sturge.png,1,5e80b109ca1800791e1ca40c,"06/30/2022, 15:04:43"
P_M_keir_starmer.png,1,5e80b109ca1800791e1ca40c,"06/30/2022, 15:04:43"
E_F_Sarah_Millican.png,1,5e80b109ca1800791e1ca40c,"06/30/2022, 15:04:43"
E_M_Jimmy_Carr.png,1,5e80b109ca1800791e1ca40c,"06/30/2022, 15:04:43"
E_F_Julie_Walters.png,1,5e80b109ca1800791e1ca40c,"06/30/2022, 15:04:43"
E_F_Dawn_Roma_French.png,1,5e80b109ca1800791e1ca40c,"06/30/2022, 15:04:43"
E_M_Michael_McIntyr.png,1,5e80b109ca1800791e1ca40c,"06/30/2022, 15:04:43"
P_M_Sajid_Javid.png,1,5e80b109ca1800791e1ca40c,"06/30/2022, 15:04:43"
E_M_Russell_Howard.png,0,5e80b109ca1800791e1ca40c,"06/30/2022, 15:04:43"
P_M_jeremy_corbyn.png,1,5e80b109ca1800791e1ca40c,"06/30/2022, 15:04:43"
P_F_Theresa_May.png,1,5e80b109ca1800791e1ca40c,"06/30/2022, 15:04:43"
P_M_Michael_Gove.png,1,5e80b109ca1800791e1ca40c,"06/30/2022, 15:04:43"
P_M_david_camer.png,1,5e80b109ca1800791e1ca40c,"06/30/2022, 15:04:43"
E_F_Jennifer_Saunders.png,1,5e80b109ca1800791e1ca40c,"06/30/2022, 15:04:43"
age: 25,gender: Female,handedness: right,5e80b109ca1800791e1ca40c,"06/30/2022, 15:04:43"
