RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5b99844206635100010e9b34,"06/30/2022, 14:49:52"
2248,E_M_Ewan_McGregor.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5b99844206635100010e9b34,"06/30/2022, 14:49:52"
2439,E_F_Dawn_Roma_French.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5b99844206635100010e9b34,"06/30/2022, 14:49:52"
2768,E_F_Dawn_Roma_French.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5b99844206635100010e9b34,"06/30/2022, 14:49:52"
2144,E_M_Ewan_McGregor.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5b99844206635100010e9b34,"06/30/2022, 14:49:52"
1785,E_M_Simon_Pegg.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5b99844206635100010e9b34,"06/30/2022, 14:49:52"
2267,E_M_Russell_Howard.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5b99844206635100010e9b34,"06/30/2022, 14:49:52"
3264,E_M_Michael_McIntyr.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5b99844206635100010e9b34,"06/30/2022, 14:49:52"
2062,E_M_Simon_Pegg.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5b99844206635100010e9b34,"06/30/2022, 14:49:52"
4030,P_M_Gordon_Brown.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5b99844206635100010e9b34,"06/30/2022, 14:49:52"
3599,E_M_Ewan_McGregor.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5b99844206635100010e9b34,"06/30/2022, 14:49:52"
2224,E_M_Jimmy_Carr.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5b99844206635100010e9b34,"06/30/2022, 14:49:52"
2002,E_M_Simon_Pegg.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5b99844206635100010e9b34,"06/30/2022, 14:49:52"
2398,E_M_Jimmy_Carr.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5b99844206635100010e9b34,"06/30/2022, 14:49:52"
1756,E_F_Dawn_Roma_French.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5b99844206635100010e9b34,"06/30/2022, 14:49:52"
