RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
1996,P_F_nicola_sturge.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
3896,E_F_Dawn_Roma_French.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
2446,E_M_Michael_McIntyr.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
2692,E_F_Dawn_Roma_French.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
2220,E_M_Russell_Howard.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
1973,P_F_Theresa_May.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
2213,P_M_keir_starmer.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
1847,E_M_Ewan_McGregor.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
2217,E_M_Ewan_McGregor.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
2081,E_M_Michael_McIntyr.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
3042,E_F_Jennifer_Saunders.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
3984,E_M_Michael_McIntyr.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
1756,P_M_nigel_farage.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
1641,E_M_Simon_Pegg.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
3357,E_F_Sarah_Millican.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
1612,E_M_Michael_McIntyr.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
1731,E_M_Ewan_McGregor.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
2443,E_F_Dawn_Roma_French.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
1933,E_F_Julie_Walters.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
1717,E_M_Russell_Howard.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
7668,E_F_Julie_Walters.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
1961,P_M_david_camer.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
1876,E_F_Julie_Walters.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
2022,E_F_Dawn_Roma_French.png,E_F_Julie_Walters.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
2437,E_F_Julie_Walters.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
1593,E_M_Jimmy_Carr.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
3427,E_M_Jimmy_Carr.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
2055,P_F_nicola_sturge.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
1873,E_F_Sarah_Millican.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
2343,E_M_Russell_Howard.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
2162,E_F_Dawn_Roma_French.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
2180,E_M_Russell_Howard.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
2408,E_M_Jimmy_Carr.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
3310,E_M_Ewan_McGregor.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
2301,E_F_Dawn_Roma_French.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
1884,P_F_Theresa_May.png,P_M_david_camer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
2939,P_F_Theresa_May.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
3543,E_F_Sarah_Millican.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
1805,E_M_Russell_Howard.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
2247,E_F_Dawn_Roma_French.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
1883,E_M_Russell_Howard.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
2094,E_M_Jimmy_Carr.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
2793,E_M_Ewan_McGregor.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
17023,E_F_Sarah_Millican.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
1632,P_M_jeremy_corbyn.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
1803,E_F_Julie_Walters.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
2547,E_M_Michael_McIntyr.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
3243,P_M_jeremy_corbyn.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
2750,E_F_Julie_Walters.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
1786,E_M_Russell_Howard.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
1884,E_M_Jimmy_Carr.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
1638,E_F_Dawn_Roma_French.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
1758,E_M_Michael_McIntyr.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
2924,E_M_Jimmy_Carr.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
2016,E_M_Michael_McIntyr.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
1776,E_M_Michael_McIntyr.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
file,isFamiliar,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
E_M_Peter_Kay.png,1,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
P_F_Theresa_May.png,1,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
P_M_keir_starmer.png,1,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
P_M_Sajid_Javid.png,1,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
E_F_Dawn_Roma_French.png,1,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
P_M_Gordon_Brown.png,1,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
E_F_Sarah_Millican.png,1,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
E_M_Ewan_McGregor.png,1,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
E_F_Jennifer_Saunders.png,1,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
E_M_Michael_McIntyr.png,1,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
P_M_jeremy_corbyn.png,1,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
E_F_Julie_Walters.png,1,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
P_M_david_camer.png,1,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
P_F_nicola_sturge.png,1,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
E_M_Russell_Howard.png,1,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
E_M_Jimmy_Carr.png,1,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
E_M_Simon_Pegg.png,1,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
P_M_Tony_Blair.png,1,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
P_M_Michael_Gove.png,1,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
P_M_nigel_farage.png,1,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
age: 28,gender: Male,handedness: right,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
