RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
4829,E_F_Jennifer_Saunders.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
2275,E_F_Jennifer_Saunders.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
1953,P_F_nicola_sturge.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
1764,P_M_Gordon_Brown.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
1961,E_M_Jimmy_Carr.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
1941,P_M_keir_starmer.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
2261,E_M_Ewan_McGregor.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
2583,E_M_Jimmy_Carr.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
2682,P_M_jeremy_corbyn.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
4593,E_F_Sarah_Millican.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
9114,E_F_Dawn_Roma_French.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
2842,E_M_Russell_Howard.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
2921,P_M_jeremy_corbyn.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
3200,E_M_Ewan_McGregor.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
7256,E_M_Michael_McIntyr.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
3294,P_M_Gordon_Brown.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
4913,P_F_nicola_sturge.png,P_F_Theresa_May.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,5,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
6733,E_M_Jimmy_Carr.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
11064,E_M_Michael_McIntyr.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
2485,P_F_nicola_sturge.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
2487,E_F_Jennifer_Saunders.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
2583,E_F_Jennifer_Saunders.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
3062,E_M_Russell_Howard.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
5624,E_M_Ewan_McGregor.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
3455,E_F_Dawn_Roma_French.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
2759,E_M_Michael_McIntyr.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
4530,E_F_Julie_Walters.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
2779,E_F_Sarah_Millican.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
5345,E_M_Russell_Howard.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
4088,E_F_Julie_Walters.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
5057,E_F_Sarah_Millican.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
4207,P_F_nicola_sturge.png,P_M_david_camer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
3310,P_M_david_camer.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
6359,P_F_Theresa_May.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
3167,P_M_keir_starmer.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
2108,E_F_Dawn_Roma_French.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
5649,P_M_Michael_Gove.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
2378,E_F_Sarah_Millican.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
7167,E_F_Jennifer_Saunders.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
1993,E_F_Julie_Walters.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
1830,E_M_Ewan_McGregor.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
1824,E_F_Jennifer_Saunders.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
6969,E_F_Jennifer_Saunders.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
4498,E_F_Dawn_Roma_French.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
