RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5c4602713d08e80001369876,"06/30/2022, 14:57:52"
4191,E_F_Dawn_Roma_French.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c4602713d08e80001369876,"06/30/2022, 14:57:52"
4815,E_M_Jimmy_Carr.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c4602713d08e80001369876,"06/30/2022, 14:57:52"
4638,E_M_Ewan_McGregor.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5c4602713d08e80001369876,"06/30/2022, 14:57:52"
3641,E_M_Jimmy_Carr.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5c4602713d08e80001369876,"06/30/2022, 14:57:52"
4622,E_M_Michael_McIntyr.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c4602713d08e80001369876,"06/30/2022, 14:57:52"
3514,P_M_david_camer.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5c4602713d08e80001369876,"06/30/2022, 14:57:52"
3502,E_M_Michael_McIntyr.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c4602713d08e80001369876,"06/30/2022, 14:57:52"
3387,E_F_Dawn_Roma_French.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5c4602713d08e80001369876,"06/30/2022, 14:57:52"
3015,P_F_nicola_sturge.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5c4602713d08e80001369876,"06/30/2022, 14:57:52"
4402,E_M_Michael_McIntyr.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5c4602713d08e80001369876,"06/30/2022, 14:57:52"
3553,E_M_Michael_McIntyr.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c4602713d08e80001369876,"06/30/2022, 14:57:52"
4636,P_M_jeremy_corbyn.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5c4602713d08e80001369876,"06/30/2022, 14:57:52"
3268,E_F_Julie_Walters.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5c4602713d08e80001369876,"06/30/2022, 14:57:52"
2577,E_F_Julie_Walters.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5c4602713d08e80001369876,"06/30/2022, 14:57:52"
5797,P_M_Gordon_Brown.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5c4602713d08e80001369876,"06/30/2022, 14:57:52"
2944,E_F_Julie_Walters.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5c4602713d08e80001369876,"06/30/2022, 14:57:52"
4122,P_M_david_camer.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5c4602713d08e80001369876,"06/30/2022, 14:57:52"
2922,E_M_Peter_Kay.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5c4602713d08e80001369876,"06/30/2022, 14:57:52"
2347,E_F_Jennifer_Saunders.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c4602713d08e80001369876,"06/30/2022, 14:57:52"
3237,P_M_Gordon_Brown.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5c4602713d08e80001369876,"06/30/2022, 14:57:52"
3319,E_M_Michael_McIntyr.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c4602713d08e80001369876,"06/30/2022, 14:57:52"
2930,E_M_Russell_Howard.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5c4602713d08e80001369876,"06/30/2022, 14:57:52"
2041,E_F_Jennifer_Saunders.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c4602713d08e80001369876,"06/30/2022, 14:57:52"
2760,E_M_Ewan_McGregor.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c4602713d08e80001369876,"06/30/2022, 14:57:52"
4410,P_M_jeremy_corbyn.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5c4602713d08e80001369876,"06/30/2022, 14:57:52"
3633,E_M_Ewan_McGregor.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5c4602713d08e80001369876,"06/30/2022, 14:57:52"
2306,E_M_Michael_McIntyr.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5c4602713d08e80001369876,"06/30/2022, 14:57:52"
2616,P_M_jeremy_corbyn.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5c4602713d08e80001369876,"06/30/2022, 14:57:52"
2900,E_M_Simon_Pegg.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c4602713d08e80001369876,"06/30/2022, 14:57:52"
3730,E_F_Dawn_Roma_French.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c4602713d08e80001369876,"06/30/2022, 14:57:52"
8829,E_F_Jennifer_Saunders.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c4602713d08e80001369876,"06/30/2022, 14:57:52"
3758,E_F_Jennifer_Saunders.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5c4602713d08e80001369876,"06/30/2022, 14:57:52"
3195,E_F_Sarah_Millican.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5c4602713d08e80001369876,"06/30/2022, 14:57:52"
4965,P_M_jeremy_corbyn.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5c4602713d08e80001369876,"06/30/2022, 14:57:52"
4212,E_M_Jimmy_Carr.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5c4602713d08e80001369876,"06/30/2022, 14:57:52"
2489,E_F_Julie_Walters.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c4602713d08e80001369876,"06/30/2022, 14:57:52"
3405,E_M_Russell_Howard.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5c4602713d08e80001369876,"06/30/2022, 14:57:52"
3116,E_F_Jennifer_Saunders.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5c4602713d08e80001369876,"06/30/2022, 14:57:52"
3655,E_M_Ewan_McGregor.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5c4602713d08e80001369876,"06/30/2022, 14:57:52"
5444,E_M_Russell_Howard.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5c4602713d08e80001369876,"06/30/2022, 14:57:52"
2612,E_F_Jennifer_Saunders.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5c4602713d08e80001369876,"06/30/2022, 14:57:52"
3353,P_F_Theresa_May.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5c4602713d08e80001369876,"06/30/2022, 14:57:52"
2218,E_F_Julie_Walters.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c4602713d08e80001369876,"06/30/2022, 14:57:52"
3339,E_F_Jennifer_Saunders.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5c4602713d08e80001369876,"06/30/2022, 14:57:52"
2202,P_F_Theresa_May.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5c4602713d08e80001369876,"06/30/2022, 14:57:52"
3077,P_M_Gordon_Brown.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5c4602713d08e80001369876,"06/30/2022, 14:57:52"
2695,P_F_Theresa_May.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5c4602713d08e80001369876,"06/30/2022, 14:57:52"
2014,E_M_Ewan_McGregor.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c4602713d08e80001369876,"06/30/2022, 14:57:52"
2934,E_F_Sarah_Millican.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c4602713d08e80001369876,"06/30/2022, 14:57:52"
