RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,6234784ec2f848d32be1fe78,"04/26/2022, 14:00:17"
1888,E_F_keira_knightley.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,6234784ec2f848d32be1fe78,"04/26/2022, 14:00:17"
2903,E_M_Hugh_Grant.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,6234784ec2f848d32be1fe78,"04/26/2022, 14:00:17"
1754,P_F_hillary_clinton.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,6234784ec2f848d32be1fe78,"04/26/2022, 14:00:17"
1539,P_F_nicola_sturgeon.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,6234784ec2f848d32be1fe78,"04/26/2022, 14:00:17"
10183,E_M_robert_de_niro.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6234784ec2f848d32be1fe78,"04/26/2022, 14:00:17"
1725,P_F_tehresy_may.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,6234784ec2f848d32be1fe78,"04/26/2022, 14:00:17"
1429,E_F_Kate_Winslet.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6234784ec2f848d32be1fe78,"04/26/2022, 14:00:17"
1299,E_F_jennifer_aniston.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6234784ec2f848d32be1fe78,"04/26/2022, 14:00:17"
1628,P_F_hillary_clinton.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,6234784ec2f848d32be1fe78,"04/26/2022, 14:00:17"
4103,E_M_tom_hankes.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,6234784ec2f848d32be1fe78,"04/26/2022, 14:00:17"
2547,E_M_michael_caine.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,6234784ec2f848d32be1fe78,"04/26/2022, 14:00:17"
10585,E_M_nicolas_cage.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,6234784ec2f848d32be1fe78,"04/26/2022, 14:00:17"
3288,E_F_Judi_Dench.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6234784ec2f848d32be1fe78,"04/26/2022, 14:00:17"
7126,E_F_Kate_Winslet.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6234784ec2f848d32be1fe78,"04/26/2022, 14:00:17"
3513,E_M_tom_hankes.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,6234784ec2f848d32be1fe78,"04/26/2022, 14:00:17"
1798,E_F_jennifer_aniston.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,6234784ec2f848d32be1fe78,"04/26/2022, 14:00:17"
3551,E_M_michael_caine.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,6234784ec2f848d32be1fe78,"04/26/2022, 14:00:17"
4149,E_F_jennifer_aniston.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,6234784ec2f848d32be1fe78,"04/26/2022, 14:00:17"
2470,E_F_Kate_Winslet.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,6234784ec2f848d32be1fe78,"04/26/2022, 14:00:17"
