RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
2261,E_F_jennifer_aniston.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
2898,E_M_michael_caine.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
2482,E_F_jennifer_aniston.jpg,E_F_Judi_Dench.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
3519,P_M_david_cameron.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
3262,P_F_hillary_clinton.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
2859,E_F_jennifer_aniston.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
4427,P_F_tehresy_may.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
2620,E_F_Judi_Dench.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
3772,E_F_sandra_bullock.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
2132,E_F_Judi_Dench.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
