RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5b6994d2a263aa0001c556a9,"04/26/2022, 13:54:04"
2602,E_F_Kate_Winslet.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5b6994d2a263aa0001c556a9,"04/26/2022, 13:54:04"
3220,E_F_Judi_Dench.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5b6994d2a263aa0001c556a9,"04/26/2022, 13:54:04"
2958,P_M_donald_trump.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5b6994d2a263aa0001c556a9,"04/26/2022, 13:54:04"
2325,E_M_Hugh_Grant.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,5b6994d2a263aa0001c556a9,"04/26/2022, 13:54:04"
1638,P_M_boris_johnson.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5b6994d2a263aa0001c556a9,"04/26/2022, 13:54:04"
5124,E_F_jennifer_aniston.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5b6994d2a263aa0001c556a9,"04/26/2022, 13:54:04"
9169,E_F_Judi_Dench.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5b6994d2a263aa0001c556a9,"04/26/2022, 13:54:04"
6597,E_M_tom_hankes.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5b6994d2a263aa0001c556a9,"04/26/2022, 13:54:04"
3704,E_M_robert_de_niro.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5b6994d2a263aa0001c556a9,"04/26/2022, 13:54:04"
1843,E_F_Judi_Dench.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5b6994d2a263aa0001c556a9,"04/26/2022, 13:54:04"
2025,E_F_sandra_bullock.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5b6994d2a263aa0001c556a9,"04/26/2022, 13:54:04"
2818,E_M_robert_de_niro.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5b6994d2a263aa0001c556a9,"04/26/2022, 13:54:04"
1823,E_F_Kate_Winslet.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5b6994d2a263aa0001c556a9,"04/26/2022, 13:54:04"
1920,E_F_Judi_Dench.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5b6994d2a263aa0001c556a9,"04/26/2022, 13:54:04"
2329,E_F_keira_knightley.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5b6994d2a263aa0001c556a9,"04/26/2022, 13:54:04"
