RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,61561f25dc3e4e3f0077afc6,"04/26/2022, 13:52:01"
1623,E_M_michael_caine.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,61561f25dc3e4e3f0077afc6,"04/26/2022, 13:52:01"
1654,E_F_jennifer_aniston.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,61561f25dc3e4e3f0077afc6,"04/26/2022, 13:52:01"
1714,E_F_Judi_Dench.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,61561f25dc3e4e3f0077afc6,"04/26/2022, 13:52:01"
1815,P_M_david_cameron.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,61561f25dc3e4e3f0077afc6,"04/26/2022, 13:52:01"
1567,E_F_sandra_bullock.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,61561f25dc3e4e3f0077afc6,"04/26/2022, 13:52:01"
1539,E_F_Kate_Winslet.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,61561f25dc3e4e3f0077afc6,"04/26/2022, 13:52:01"
2233,E_F_jennifer_aniston.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,61561f25dc3e4e3f0077afc6,"04/26/2022, 13:52:01"
2113,E_M_tom_hankes.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,61561f25dc3e4e3f0077afc6,"04/26/2022, 13:52:01"
2734,E_M_nicolas_cage.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,61561f25dc3e4e3f0077afc6,"04/26/2022, 13:52:01"
1601,E_F_sandra_bullock.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,61561f25dc3e4e3f0077afc6,"04/26/2022, 13:52:01"
1574,E_F_keira_knightley.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,61561f25dc3e4e3f0077afc6,"04/26/2022, 13:52:01"
1393,E_M_Hugh_Grant.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,61561f25dc3e4e3f0077afc6,"04/26/2022, 13:52:01"
