RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,6147654b52de484c128c2e0f,"04/26/2022, 13:42:36"
5293,E_F_Kate_Winslet.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,6147654b52de484c128c2e0f,"04/26/2022, 13:42:36"
3175,P_F_nicola_sturgeon.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,6147654b52de484c128c2e0f,"04/26/2022, 13:42:36"
3108,E_F_Kate_Winslet.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,6147654b52de484c128c2e0f,"04/26/2022, 13:42:36"
5242,E_F_Judi_Dench.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,6147654b52de484c128c2e0f,"04/26/2022, 13:42:36"
3221,E_F_angelina_jolie.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6147654b52de484c128c2e0f,"04/26/2022, 13:42:36"
3620,P_M_bill_clinton.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,6147654b52de484c128c2e0f,"04/26/2022, 13:42:36"
3178,E_F_Kate_Winslet.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,6147654b52de484c128c2e0f,"04/26/2022, 13:42:36"
4491,E_F_Kate_Winslet.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,6147654b52de484c128c2e0f,"04/26/2022, 13:42:36"
3221,E_F_Kate_Winslet.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,6147654b52de484c128c2e0f,"04/26/2022, 13:42:36"
2476,E_M_michael_caine.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,6147654b52de484c128c2e0f,"04/26/2022, 13:42:36"
4106,E_M_Hugh_Grant.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,6147654b52de484c128c2e0f,"04/26/2022, 13:42:36"
2664,E_M_Hugh_Grant.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,6147654b52de484c128c2e0f,"04/26/2022, 13:42:36"
2632,P_F_tehresy_may.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,6147654b52de484c128c2e0f,"04/26/2022, 13:42:36"
2838,E_M_nicolas_cage.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6147654b52de484c128c2e0f,"04/26/2022, 13:42:36"
4948,E_F_sandra_bullock.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,6147654b52de484c128c2e0f,"04/26/2022, 13:42:36"
1455,E_M_michael_caine.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6147654b52de484c128c2e0f,"04/26/2022, 13:42:36"
1613,E_F_Judi_Dench.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,6147654b52de484c128c2e0f,"04/26/2022, 13:42:36"
1385,P_F_hillary_clinton.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,6147654b52de484c128c2e0f,"04/26/2022, 13:42:36"
2363,P_M_bill_clinton.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,6147654b52de484c128c2e0f,"04/26/2022, 13:42:36"
2572,E_M_michael_caine.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,6147654b52de484c128c2e0f,"04/26/2022, 13:42:36"
1363,E_M_Hugh_Grant.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,6147654b52de484c128c2e0f,"04/26/2022, 13:42:36"
1595,E_M_robert_de_niro.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,6147654b52de484c128c2e0f,"04/26/2022, 13:42:36"
