RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,6147c5874b61952e42e9b2bd,"04/26/2022, 14:00:57"
2629,P_F_hillary_clinton.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,6147c5874b61952e42e9b2bd,"04/26/2022, 14:00:57"
5625,E_M_michael_caine.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,6147c5874b61952e42e9b2bd,"04/26/2022, 14:00:57"
1840,P_F_hillary_clinton.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,6147c5874b61952e42e9b2bd,"04/26/2022, 14:00:57"
2314,E_M_tom_hankes.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,6147c5874b61952e42e9b2bd,"04/26/2022, 14:00:57"
2598,E_M_robert_de_niro.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,6147c5874b61952e42e9b2bd,"04/26/2022, 14:00:57"
2773,P_F_tehresy_may.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,6147c5874b61952e42e9b2bd,"04/26/2022, 14:00:57"
1607,P_M_donald_trump.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,6147c5874b61952e42e9b2bd,"04/26/2022, 14:00:57"
2324,P_F_nicola_sturgeon.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,6147c5874b61952e42e9b2bd,"04/26/2022, 14:00:57"
2936,P_M_donald_trump.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,6147c5874b61952e42e9b2bd,"04/26/2022, 14:00:57"
2623,E_F_angelina_jolie.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,6147c5874b61952e42e9b2bd,"04/26/2022, 14:00:57"
6232,E_F_Kate_Winslet.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,6147c5874b61952e42e9b2bd,"04/26/2022, 14:00:57"
2138,E_F_angelina_jolie.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,6147c5874b61952e42e9b2bd,"04/26/2022, 14:00:57"
15082,P_M_david_cameron.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,6147c5874b61952e42e9b2bd,"04/26/2022, 14:00:57"
