RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5d73e916515c8b001bed0c5d,"04/26/2022, 14:04:44"
7283,P_F_hillary_clinton.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5d73e916515c8b001bed0c5d,"04/26/2022, 14:04:44"
10423,E_F_Kate_Winslet.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5d73e916515c8b001bed0c5d,"04/26/2022, 14:04:44"
11376,E_M_michael_caine.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5d73e916515c8b001bed0c5d,"04/26/2022, 14:04:44"
5065,E_F_jennifer_aniston.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5d73e916515c8b001bed0c5d,"04/26/2022, 14:04:44"
4961,E_F_sandra_bullock.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5d73e916515c8b001bed0c5d,"04/26/2022, 14:04:44"
4070,E_F_Judi_Dench.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5d73e916515c8b001bed0c5d,"04/26/2022, 14:04:44"
5752,E_F_angelina_jolie.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5d73e916515c8b001bed0c5d,"04/26/2022, 14:04:44"
5986,E_F_jennifer_aniston.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5d73e916515c8b001bed0c5d,"04/26/2022, 14:04:44"
4824,P_F_tehresy_may.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5d73e916515c8b001bed0c5d,"04/26/2022, 14:04:44"
6312,E_F_angelina_jolie.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d73e916515c8b001bed0c5d,"04/26/2022, 14:04:44"
5283,E_F_keira_knightley.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5d73e916515c8b001bed0c5d,"04/26/2022, 14:04:44"
