RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,608d74791c7dbdfe879575d9,"04/26/2022, 13:53:37"
4307,E_F_sandra_bullock.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,608d74791c7dbdfe879575d9,"04/26/2022, 13:53:37"
3403,E_M_tom_hankes.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,608d74791c7dbdfe879575d9,"04/26/2022, 13:53:37"
4279,E_F_jennifer_aniston.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,608d74791c7dbdfe879575d9,"04/26/2022, 13:53:37"
2279,P_M_boris_johnson.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,608d74791c7dbdfe879575d9,"04/26/2022, 13:53:37"
2219,E_F_Kate_Winslet.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,608d74791c7dbdfe879575d9,"04/26/2022, 13:53:37"
2218,E_F_Kate_Winslet.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,608d74791c7dbdfe879575d9,"04/26/2022, 13:53:37"
2686,E_M_nicolas_cage.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,608d74791c7dbdfe879575d9,"04/26/2022, 13:53:37"
4306,E_F_Judi_Dench.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,608d74791c7dbdfe879575d9,"04/26/2022, 13:53:37"
2982,E_F_keira_knightley.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,608d74791c7dbdfe879575d9,"04/26/2022, 13:53:37"
4575,E_M_Hugh_Grant.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,608d74791c7dbdfe879575d9,"04/26/2022, 13:53:37"
2139,P_F_hillary_clinton.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,608d74791c7dbdfe879575d9,"04/26/2022, 13:53:37"
2087,P_M_boris_johnson.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,608d74791c7dbdfe879575d9,"04/26/2022, 13:53:37"
2523,P_M_bill_clinton.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,608d74791c7dbdfe879575d9,"04/26/2022, 13:53:37"
3115,E_M_nicolas_cage.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,608d74791c7dbdfe879575d9,"04/26/2022, 13:53:37"
4619,E_M_tom_hankes.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,608d74791c7dbdfe879575d9,"04/26/2022, 13:53:37"
1803,E_M_michael_caine.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,608d74791c7dbdfe879575d9,"04/26/2022, 13:53:37"
2671,E_F_Kate_Winslet.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,608d74791c7dbdfe879575d9,"04/26/2022, 13:53:37"
3546,E_M_michael_caine.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,608d74791c7dbdfe879575d9,"04/26/2022, 13:53:37"
3671,E_F_Judi_Dench.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,608d74791c7dbdfe879575d9,"04/26/2022, 13:53:37"
9255,E_M_Hugh_Grant.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,608d74791c7dbdfe879575d9,"04/26/2022, 13:53:37"
5855,P_M_david_cameron.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,608d74791c7dbdfe879575d9,"04/26/2022, 13:53:37"
2539,P_F_hillary_clinton.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,608d74791c7dbdfe879575d9,"04/26/2022, 13:53:37"
2246,E_F_jennifer_aniston.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,608d74791c7dbdfe879575d9,"04/26/2022, 13:53:37"
3083,P_M_boris_johnson.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,608d74791c7dbdfe879575d9,"04/26/2022, 13:53:37"
3822,E_M_robert_de_niro.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,608d74791c7dbdfe879575d9,"04/26/2022, 13:53:37"
1710,E_F_Judi_Dench.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,608d74791c7dbdfe879575d9,"04/26/2022, 13:53:37"
3135,E_M_Hugh_Grant.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,608d74791c7dbdfe879575d9,"04/26/2022, 13:53:37"
