RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,59bd1b8b3a9ab60001119adb,"04/26/2022, 14:06:12"
12070,E_F_jennifer_aniston.jpg,E_F_Judi_Dench.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,59bd1b8b3a9ab60001119adb,"04/26/2022, 14:06:12"
6688,E_F_Judi_Dench.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,59bd1b8b3a9ab60001119adb,"04/26/2022, 14:06:12"
6720,E_M_tom_hankes.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,59bd1b8b3a9ab60001119adb,"04/26/2022, 14:06:12"
6801,E_F_jennifer_aniston.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,59bd1b8b3a9ab60001119adb,"04/26/2022, 14:06:12"
11778,E_M_robert_de_niro.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,59bd1b8b3a9ab60001119adb,"04/26/2022, 14:06:12"
8240,E_M_Hugh_Grant.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,59bd1b8b3a9ab60001119adb,"04/26/2022, 14:06:12"
7649,E_F_Judi_Dench.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,59bd1b8b3a9ab60001119adb,"04/26/2022, 14:06:12"
7345,P_M_donald_trump.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,59bd1b8b3a9ab60001119adb,"04/26/2022, 14:06:12"
8776,E_F_Judi_Dench.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,59bd1b8b3a9ab60001119adb,"04/26/2022, 14:06:12"
6258,E_M_nicolas_cage.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,59bd1b8b3a9ab60001119adb,"04/26/2022, 14:06:12"
6256,E_M_Hugh_Grant.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,59bd1b8b3a9ab60001119adb,"04/26/2022, 14:06:12"
7891,E_F_angelina_jolie.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,59bd1b8b3a9ab60001119adb,"04/26/2022, 14:06:12"
5644,E_F_sandra_bullock.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,59bd1b8b3a9ab60001119adb,"04/26/2022, 14:06:12"
8979,E_M_michael_caine.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,59bd1b8b3a9ab60001119adb,"04/26/2022, 14:06:12"
6259,E_F_angelina_jolie.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,59bd1b8b3a9ab60001119adb,"04/26/2022, 14:06:12"
