RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,6079d5594e04ae457e6646c6,"04/26/2022, 14:05:24"
3388,E_F_angelina_jolie.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,6079d5594e04ae457e6646c6,"04/26/2022, 14:05:24"
3592,E_F_Kate_Winslet.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,6079d5594e04ae457e6646c6,"04/26/2022, 14:05:24"
9161,P_F_hillary_clinton.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,6079d5594e04ae457e6646c6,"04/26/2022, 14:05:24"
4174,E_M_Hugh_Grant.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,6079d5594e04ae457e6646c6,"04/26/2022, 14:05:24"
file,isFamiliar,6079d5594e04ae457e6646c6,"04/26/2022, 14:05:24"
E_M_michael_caine.jpg,1,6079d5594e04ae457e6646c6,"04/26/2022, 14:05:24"
E_M_Hugh_Grant.jpg,1,6079d5594e04ae457e6646c6,"04/26/2022, 14:05:24"
P_M_Tony_Blair.jpg,1,6079d5594e04ae457e6646c6,"04/26/2022, 14:05:24"
P_M_george_Wbush.jpg,1,6079d5594e04ae457e6646c6,"04/26/2022, 14:05:24"
P_F_hillary_clinton.jpg,1,6079d5594e04ae457e6646c6,"04/26/2022, 14:05:24"
E_F_sandra_bullock.jpg,1,6079d5594e04ae457e6646c6,"04/26/2022, 14:05:24"
E_M_nicolas_cage.jpg,1,6079d5594e04ae457e6646c6,"04/26/2022, 14:05:24"
E_F_keira_knightley.jpg,1,6079d5594e04ae457e6646c6,"04/26/2022, 14:05:24"
E_F_angelina_jolie.jpg,1,6079d5594e04ae457e6646c6,"04/26/2022, 14:05:24"
P_F_nicola_sturgeon.jpg,1,6079d5594e04ae457e6646c6,"04/26/2022, 14:05:24"
P_M_donald_trump.jpg,1,6079d5594e04ae457e6646c6,"04/26/2022, 14:05:24"
E_F_Judi_Dench.jpg,1,6079d5594e04ae457e6646c6,"04/26/2022, 14:05:24"
E_M_tom_hankes.jpg,1,6079d5594e04ae457e6646c6,"04/26/2022, 14:05:24"
P_M_david_cameron.jpg,1,6079d5594e04ae457e6646c6,"04/26/2022, 14:05:24"
P_M_boris_johnson.jpg,1,6079d5594e04ae457e6646c6,"04/26/2022, 14:05:24"
P_M_bill_clinton.jpg,1,6079d5594e04ae457e6646c6,"04/26/2022, 14:05:24"
E_M_robert_de_niro.jpg,1,6079d5594e04ae457e6646c6,"04/26/2022, 14:05:24"
E_F_Kate_Winslet.jpg,1,6079d5594e04ae457e6646c6,"04/26/2022, 14:05:24"
E_F_jennifer_aniston.jpg,1,6079d5594e04ae457e6646c6,"04/26/2022, 14:05:24"
P_F_tehresy_may.jpg,1,6079d5594e04ae457e6646c6,"04/26/2022, 14:05:24"
age: 30,gender: Female,handedness: right,6079d5594e04ae457e6646c6,"04/26/2022, 14:05:24"
