RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5eeb58ec4c86582a76ff55ec,"04/26/2022, 13:52:41"
2418,P_F_nicola_sturgeon.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5eeb58ec4c86582a76ff55ec,"04/26/2022, 13:52:41"
2257,E_M_michael_caine.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5eeb58ec4c86582a76ff55ec,"04/26/2022, 13:52:41"
1958,P_F_nicola_sturgeon.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5eeb58ec4c86582a76ff55ec,"04/26/2022, 13:52:41"
2829,E_F_keira_knightley.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5eeb58ec4c86582a76ff55ec,"04/26/2022, 13:52:41"
2328,E_F_sandra_bullock.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5eeb58ec4c86582a76ff55ec,"04/26/2022, 13:52:41"
1846,E_F_keira_knightley.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5eeb58ec4c86582a76ff55ec,"04/26/2022, 13:52:41"
2257,P_F_tehresy_may.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5eeb58ec4c86582a76ff55ec,"04/26/2022, 13:52:41"
2192,E_F_jennifer_aniston.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5eeb58ec4c86582a76ff55ec,"04/26/2022, 13:52:41"
2185,E_F_sandra_bullock.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5eeb58ec4c86582a76ff55ec,"04/26/2022, 13:52:41"
3233,P_M_boris_johnson.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5eeb58ec4c86582a76ff55ec,"04/26/2022, 13:52:41"
