RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5f0ebcdf13efbf091b37c4b4,"04/26/2022, 14:00:15"
6193,E_F_Kate_Winslet.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f0ebcdf13efbf091b37c4b4,"04/26/2022, 14:00:15"
3676,E_M_tom_hankes.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f0ebcdf13efbf091b37c4b4,"04/26/2022, 14:00:15"
3308,P_F_tehresy_may.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,5f0ebcdf13efbf091b37c4b4,"04/26/2022, 14:00:15"
3086,E_F_angelina_jolie.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f0ebcdf13efbf091b37c4b4,"04/26/2022, 14:00:15"
13945,E_M_michael_caine.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5f0ebcdf13efbf091b37c4b4,"04/26/2022, 14:00:15"
2954,E_F_Kate_Winslet.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5f0ebcdf13efbf091b37c4b4,"04/26/2022, 14:00:15"
4065,E_M_robert_de_niro.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f0ebcdf13efbf091b37c4b4,"04/26/2022, 14:00:15"
5577,E_F_Judi_Dench.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5f0ebcdf13efbf091b37c4b4,"04/26/2022, 14:00:15"
3355,E_F_Judi_Dench.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f0ebcdf13efbf091b37c4b4,"04/26/2022, 14:00:15"
6411,E_F_jennifer_aniston.jpg,E_F_Kate_Winslet.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,5f0ebcdf13efbf091b37c4b4,"04/26/2022, 14:00:15"
4663,P_F_tehresy_may.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5f0ebcdf13efbf091b37c4b4,"04/26/2022, 14:00:15"
