RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5b1a88970ada0a0001e0f483,"04/26/2022, 13:50:52"
4078,E_F_jennifer_aniston.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5b1a88970ada0a0001e0f483,"04/26/2022, 13:50:52"
5648,E_F_Judi_Dench.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5b1a88970ada0a0001e0f483,"04/26/2022, 13:50:52"
4236,P_M_david_cameron.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5b1a88970ada0a0001e0f483,"04/26/2022, 13:50:52"
5542,E_F_angelina_jolie.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5b1a88970ada0a0001e0f483,"04/26/2022, 13:50:52"
3148,E_F_keira_knightley.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5b1a88970ada0a0001e0f483,"04/26/2022, 13:50:52"
3009,E_M_michael_caine.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5b1a88970ada0a0001e0f483,"04/26/2022, 13:50:52"
8200,P_F_hillary_clinton.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5b1a88970ada0a0001e0f483,"04/26/2022, 13:50:52"
10286,E_F_Kate_Winslet.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5b1a88970ada0a0001e0f483,"04/26/2022, 13:50:52"
3529,E_F_Kate_Winslet.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5b1a88970ada0a0001e0f483,"04/26/2022, 13:50:52"
2690,E_F_jennifer_aniston.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5b1a88970ada0a0001e0f483,"04/26/2022, 13:50:52"
