RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5bef213956a3210001067bc2,"04/26/2022, 13:51:09"
2942,E_F_keira_knightley.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5bef213956a3210001067bc2,"04/26/2022, 13:51:09"
2320,P_M_donald_trump.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5bef213956a3210001067bc2,"04/26/2022, 13:51:09"
1979,E_M_michael_caine.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5bef213956a3210001067bc2,"04/26/2022, 13:51:09"
4699,P_M_boris_johnson.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5bef213956a3210001067bc2,"04/26/2022, 13:51:09"
2722,P_F_hillary_clinton.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5bef213956a3210001067bc2,"04/26/2022, 13:51:09"
2496,E_F_Kate_Winslet.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5bef213956a3210001067bc2,"04/26/2022, 13:51:09"
4641,E_F_jennifer_aniston.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5bef213956a3210001067bc2,"04/26/2022, 13:51:09"
2310,P_M_bill_clinton.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5bef213956a3210001067bc2,"04/26/2022, 13:51:09"
3138,E_F_Judi_Dench.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5bef213956a3210001067bc2,"04/26/2022, 13:51:09"
2086,E_F_jennifer_aniston.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5bef213956a3210001067bc2,"04/26/2022, 13:51:09"
4126,E_F_angelina_jolie.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5bef213956a3210001067bc2,"04/26/2022, 13:51:09"
2573,E_F_keira_knightley.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5bef213956a3210001067bc2,"04/26/2022, 13:51:09"
2606,P_M_bill_clinton.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5bef213956a3210001067bc2,"04/26/2022, 13:51:09"
3042,E_M_robert_de_niro.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5bef213956a3210001067bc2,"04/26/2022, 13:51:09"
2280,E_F_jennifer_aniston.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5bef213956a3210001067bc2,"04/26/2022, 13:51:09"
2990,E_F_Judi_Dench.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5bef213956a3210001067bc2,"04/26/2022, 13:51:09"
2528,E_F_jennifer_aniston.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5bef213956a3210001067bc2,"04/26/2022, 13:51:09"
4153,E_M_Hugh_Grant.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5bef213956a3210001067bc2,"04/26/2022, 13:51:09"
2177,E_M_tom_hankes.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5bef213956a3210001067bc2,"04/26/2022, 13:51:09"
3560,E_M_nicolas_cage.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5bef213956a3210001067bc2,"04/26/2022, 13:51:09"
5117,E_M_michael_caine.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5bef213956a3210001067bc2,"04/26/2022, 13:51:09"
3054,P_M_david_cameron.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5bef213956a3210001067bc2,"04/26/2022, 13:51:09"
4166,P_F_tehresy_may.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5bef213956a3210001067bc2,"04/26/2022, 13:51:09"
2674,P_F_tehresy_may.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5bef213956a3210001067bc2,"04/26/2022, 13:51:09"
3692,P_F_hillary_clinton.jpg,P_F_tehresy_may.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,2,5bef213956a3210001067bc2,"04/26/2022, 13:51:09"
3447,E_M_Hugh_Grant.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5bef213956a3210001067bc2,"04/26/2022, 13:51:09"
2525,E_F_sandra_bullock.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5bef213956a3210001067bc2,"04/26/2022, 13:51:09"
4300,E_M_Hugh_Grant.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5bef213956a3210001067bc2,"04/26/2022, 13:51:09"
2764,P_F_hillary_clinton.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5bef213956a3210001067bc2,"04/26/2022, 13:51:09"
2201,E_M_Hugh_Grant.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5bef213956a3210001067bc2,"04/26/2022, 13:51:09"
4761,E_F_jennifer_aniston.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5bef213956a3210001067bc2,"04/26/2022, 13:51:09"
2212,E_F_Judi_Dench.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5bef213956a3210001067bc2,"04/26/2022, 13:51:09"
4041,E_F_sandra_bullock.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5bef213956a3210001067bc2,"04/26/2022, 13:51:09"
2958,E_M_nicolas_cage.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5bef213956a3210001067bc2,"04/26/2022, 13:51:09"
3004,E_M_tom_hankes.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5bef213956a3210001067bc2,"04/26/2022, 13:51:09"
1920,E_M_Hugh_Grant.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5bef213956a3210001067bc2,"04/26/2022, 13:51:09"
2178,E_F_Judi_Dench.jpg,E_F_Kate_Winslet.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5bef213956a3210001067bc2,"04/26/2022, 13:51:09"
3203,E_F_angelina_jolie.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,5bef213956a3210001067bc2,"04/26/2022, 13:51:09"
2534,E_F_sandra_bullock.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5bef213956a3210001067bc2,"04/26/2022, 13:51:09"
3990,E_M_robert_de_niro.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5bef213956a3210001067bc2,"04/26/2022, 13:51:09"
2158,E_M_nicolas_cage.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5bef213956a3210001067bc2,"04/26/2022, 13:51:09"
3129,E_M_michael_caine.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5bef213956a3210001067bc2,"04/26/2022, 13:51:09"
3063,E_F_Kate_Winslet.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5bef213956a3210001067bc2,"04/26/2022, 13:51:09"
3431,P_M_boris_johnson.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5bef213956a3210001067bc2,"04/26/2022, 13:51:09"
3612,E_M_Hugh_Grant.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5bef213956a3210001067bc2,"04/26/2022, 13:51:09"
2490,E_F_Kate_Winslet.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5bef213956a3210001067bc2,"04/26/2022, 13:51:09"
2180,E_F_jennifer_aniston.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5bef213956a3210001067bc2,"04/26/2022, 13:51:09"
3008,E_F_angelina_jolie.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5bef213956a3210001067bc2,"04/26/2022, 13:51:09"
2539,P_M_david_cameron.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5bef213956a3210001067bc2,"04/26/2022, 13:51:09"
3840,E_M_nicolas_cage.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5bef213956a3210001067bc2,"04/26/2022, 13:51:09"
2912,E_F_Judi_Dench.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5bef213956a3210001067bc2,"04/26/2022, 13:51:09"
2579,E_F_jennifer_aniston.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5bef213956a3210001067bc2,"04/26/2022, 13:51:09"
2841,E_F_angelina_jolie.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5bef213956a3210001067bc2,"04/26/2022, 13:51:09"
2380,E_M_Hugh_Grant.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5bef213956a3210001067bc2,"04/26/2022, 13:51:09"
2512,E_F_keira_knightley.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5bef213956a3210001067bc2,"04/26/2022, 13:51:09"
2512,P_M_boris_johnson.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5bef213956a3210001067bc2,"04/26/2022, 13:51:09"
3381,E_F_jennifer_aniston.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5bef213956a3210001067bc2,"04/26/2022, 13:51:09"
3293,E_F_keira_knightley.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5bef213956a3210001067bc2,"04/26/2022, 13:51:09"
2610,P_M_bill_clinton.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5bef213956a3210001067bc2,"04/26/2022, 13:51:09"
3438,E_M_robert_de_niro.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5bef213956a3210001067bc2,"04/26/2022, 13:51:09"
2640,E_F_jennifer_aniston.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5bef213956a3210001067bc2,"04/26/2022, 13:51:09"
2835,E_F_Judi_Dench.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5bef213956a3210001067bc2,"04/26/2022, 13:51:09"
2585,P_F_tehresy_may.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5bef213956a3210001067bc2,"04/26/2022, 13:51:09"
2977,P_M_boris_johnson.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5bef213956a3210001067bc2,"04/26/2022, 13:51:09"
2742,E_F_sandra_bullock.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5bef213956a3210001067bc2,"04/26/2022, 13:51:09"
2938,E_F_Judi_Dench.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5bef213956a3210001067bc2,"04/26/2022, 13:51:09"
2291,E_F_angelina_jolie.jpg,E_F_Judi_Dench.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5bef213956a3210001067bc2,"04/26/2022, 13:51:09"
1906,E_F_Judi_Dench.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5bef213956a3210001067bc2,"04/26/2022, 13:51:09"
2397,E_F_Kate_Winslet.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5bef213956a3210001067bc2,"04/26/2022, 13:51:09"
2438,E_F_angelina_jolie.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5bef213956a3210001067bc2,"04/26/2022, 13:51:09"
2109,P_F_nicola_sturgeon.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5bef213956a3210001067bc2,"04/26/2022, 13:51:09"
1872,E_F_Kate_Winslet.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5bef213956a3210001067bc2,"04/26/2022, 13:51:09"
3820,E_F_angelina_jolie.jpg,E_F_Kate_Winslet.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,5bef213956a3210001067bc2,"04/26/2022, 13:51:09"
2824,E_F_Judi_Dench.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5bef213956a3210001067bc2,"04/26/2022, 13:51:09"
3453,E_M_nicolas_cage.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5bef213956a3210001067bc2,"04/26/2022, 13:51:09"
2689,E_F_sandra_bullock.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5bef213956a3210001067bc2,"04/26/2022, 13:51:09"
2606,E_M_robert_de_niro.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5bef213956a3210001067bc2,"04/26/2022, 13:51:09"
4074,P_F_nicola_sturgeon.jpg,P_F_tehresy_may.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,4,5bef213956a3210001067bc2,"04/26/2022, 13:51:09"
2719,E_F_jennifer_aniston.jpg,E_F_Judi_Dench.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5bef213956a3210001067bc2,"04/26/2022, 13:51:09"
2845,E_F_sandra_bullock.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5bef213956a3210001067bc2,"04/26/2022, 13:51:09"
2431,E_F_sandra_bullock.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5bef213956a3210001067bc2,"04/26/2022, 13:51:09"
3148,E_F_jennifer_aniston.jpg,E_F_Kate_Winslet.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,5bef213956a3210001067bc2,"04/26/2022, 13:51:09"
2368,E_F_keira_knightley.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5bef213956a3210001067bc2,"04/26/2022, 13:51:09"
3131,E_F_Kate_Winslet.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5bef213956a3210001067bc2,"04/26/2022, 13:51:09"
2479,E_F_keira_knightley.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5bef213956a3210001067bc2,"04/26/2022, 13:51:09"
2656,E_M_nicolas_cage.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5bef213956a3210001067bc2,"04/26/2022, 13:51:09"
2065,E_F_Kate_Winslet.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5bef213956a3210001067bc2,"04/26/2022, 13:51:09"
2241,P_M_donald_trump.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5bef213956a3210001067bc2,"04/26/2022, 13:51:09"
5289,E_M_michael_caine.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5bef213956a3210001067bc2,"04/26/2022, 13:51:09"
2963,E_F_jennifer_aniston.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5bef213956a3210001067bc2,"04/26/2022, 13:51:09"
2627,E_F_jennifer_aniston.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5bef213956a3210001067bc2,"04/26/2022, 13:51:09"
1943,P_F_hillary_clinton.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5bef213956a3210001067bc2,"04/26/2022, 13:51:09"
4512,E_F_Kate_Winslet.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5bef213956a3210001067bc2,"04/26/2022, 13:51:09"
2090,E_M_robert_de_niro.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5bef213956a3210001067bc2,"04/26/2022, 13:51:09"
2907,E_M_Hugh_Grant.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5bef213956a3210001067bc2,"04/26/2022, 13:51:09"
2824,E_F_jennifer_aniston.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,5bef213956a3210001067bc2,"04/26/2022, 13:51:09"
2131,E_F_keira_knightley.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5bef213956a3210001067bc2,"04/26/2022, 13:51:09"
2345,E_F_Kate_Winslet.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5bef213956a3210001067bc2,"04/26/2022, 13:51:09"
1612,E_F_Judi_Dench.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5bef213956a3210001067bc2,"04/26/2022, 13:51:09"
2921,E_F_Kate_Winslet.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5bef213956a3210001067bc2,"04/26/2022, 13:51:09"
2699,E_F_sandra_bullock.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5bef213956a3210001067bc2,"04/26/2022, 13:51:09"
1665,E_F_Judi_Dench.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5bef213956a3210001067bc2,"04/26/2022, 13:51:09"
3547,P_F_hillary_clinton.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5bef213956a3210001067bc2,"04/26/2022, 13:51:09"
3502,E_M_robert_de_niro.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5bef213956a3210001067bc2,"04/26/2022, 13:51:09"
2769,E_F_angelina_jolie.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5bef213956a3210001067bc2,"04/26/2022, 13:51:09"
5658,P_M_bill_clinton.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5bef213956a3210001067bc2,"04/26/2022, 13:51:09"
4365,E_F_jennifer_aniston.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5bef213956a3210001067bc2,"04/26/2022, 13:51:09"
3162,P_M_george_Wbush.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5bef213956a3210001067bc2,"04/26/2022, 13:51:09"
2747,E_F_sandra_bullock.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5bef213956a3210001067bc2,"04/26/2022, 13:51:09"
4046,E_M_Hugh_Grant.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5bef213956a3210001067bc2,"04/26/2022, 13:51:09"
1915,E_F_Judi_Dench.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5bef213956a3210001067bc2,"04/26/2022, 13:51:09"
2761,E_F_Judi_Dench.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,1,5bef213956a3210001067bc2,"04/26/2022, 13:51:09"
2355,E_M_robert_de_niro.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5bef213956a3210001067bc2,"04/26/2022, 13:51:09"
1929,E_M_Hugh_Grant.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5bef213956a3210001067bc2,"04/26/2022, 13:51:09"
3870,E_F_Judi_Dench.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5bef213956a3210001067bc2,"04/26/2022, 13:51:09"
3010,E_F_angelina_jolie.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5bef213956a3210001067bc2,"04/26/2022, 13:51:09"
1752,E_F_Judi_Dench.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5bef213956a3210001067bc2,"04/26/2022, 13:51:09"
1872,E_F_Judi_Dench.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5bef213956a3210001067bc2,"04/26/2022, 13:51:09"
2407,E_M_nicolas_cage.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5bef213956a3210001067bc2,"04/26/2022, 13:51:09"
2911,P_F_tehresy_may.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5bef213956a3210001067bc2,"04/26/2022, 13:51:09"
2751,E_F_angelina_jolie.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5bef213956a3210001067bc2,"04/26/2022, 13:51:09"
1977,E_F_keira_knightley.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5bef213956a3210001067bc2,"04/26/2022, 13:51:09"
2883,E_M_robert_de_niro.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,1,5bef213956a3210001067bc2,"04/26/2022, 13:51:09"
1994,E_M_tom_hankes.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5bef213956a3210001067bc2,"04/26/2022, 13:51:09"
2210,P_F_nicola_sturgeon.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5bef213956a3210001067bc2,"04/26/2022, 13:51:09"
4427,P_F_hillary_clinton.jpg,P_F_nicola_sturgeon.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,2,5bef213956a3210001067bc2,"04/26/2022, 13:51:09"
