RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5bef213956a3210001067bc2,"04/26/2022, 13:51:09"
6765,E_F_keira_knightley.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5bef213956a3210001067bc2,"04/26/2022, 13:51:09"
2953,E_F_Kate_Winslet.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5bef213956a3210001067bc2,"04/26/2022, 13:51:09"
5883,E_M_tom_hankes.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5bef213956a3210001067bc2,"04/26/2022, 13:51:09"
2901,E_F_Kate_Winslet.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5bef213956a3210001067bc2,"04/26/2022, 13:51:09"
2505,E_M_tom_hankes.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5bef213956a3210001067bc2,"04/26/2022, 13:51:09"
3069,E_F_angelina_jolie.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5bef213956a3210001067bc2,"04/26/2022, 13:51:09"
2532,E_M_michael_caine.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5bef213956a3210001067bc2,"04/26/2022, 13:51:09"
3156,E_M_michael_caine.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5bef213956a3210001067bc2,"04/26/2022, 13:51:09"
2363,E_F_jennifer_aniston.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5bef213956a3210001067bc2,"04/26/2022, 13:51:09"
2637,E_F_sandra_bullock.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5bef213956a3210001067bc2,"04/26/2022, 13:51:09"
4860,E_F_keira_knightley.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5bef213956a3210001067bc2,"04/26/2022, 13:51:09"
4168,E_F_angelina_jolie.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5bef213956a3210001067bc2,"04/26/2022, 13:51:09"
3208,E_M_michael_caine.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5bef213956a3210001067bc2,"04/26/2022, 13:51:09"
2867,E_F_sandra_bullock.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5bef213956a3210001067bc2,"04/26/2022, 13:51:09"
2687,E_M_tom_hankes.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5bef213956a3210001067bc2,"04/26/2022, 13:51:09"
2953,E_M_nicolas_cage.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5bef213956a3210001067bc2,"04/26/2022, 13:51:09"
