RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,60b9c3e861a7d399a18606c9,"04/26/2022, 14:09:29"
6529,E_M_robert_de_niro.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,60b9c3e861a7d399a18606c9,"04/26/2022, 14:09:29"
5089,E_F_Kate_Winslet.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60b9c3e861a7d399a18606c9,"04/26/2022, 14:09:29"
3641,E_M_robert_de_niro.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,60b9c3e861a7d399a18606c9,"04/26/2022, 14:09:29"
2394,P_F_nicola_sturgeon.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,60b9c3e861a7d399a18606c9,"04/26/2022, 14:09:29"
4868,E_F_jennifer_aniston.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,60b9c3e861a7d399a18606c9,"04/26/2022, 14:09:29"
3950,E_F_Kate_Winslet.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,60b9c3e861a7d399a18606c9,"04/26/2022, 14:09:29"
3645,E_M_nicolas_cage.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,60b9c3e861a7d399a18606c9,"04/26/2022, 14:09:29"
5768,E_M_robert_de_niro.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60b9c3e861a7d399a18606c9,"04/26/2022, 14:09:29"
3276,E_F_sandra_bullock.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60b9c3e861a7d399a18606c9,"04/26/2022, 14:09:29"
2780,E_F_angelina_jolie.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60b9c3e861a7d399a18606c9,"04/26/2022, 14:09:29"
4155,E_F_keira_knightley.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,60b9c3e861a7d399a18606c9,"04/26/2022, 14:09:29"
3268,E_F_keira_knightley.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60b9c3e861a7d399a18606c9,"04/26/2022, 14:09:29"
3707,E_M_michael_caine.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60b9c3e861a7d399a18606c9,"04/26/2022, 14:09:29"
2445,E_F_jennifer_aniston.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60b9c3e861a7d399a18606c9,"04/26/2022, 14:09:29"
4660,E_F_sandra_bullock.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,60b9c3e861a7d399a18606c9,"04/26/2022, 14:09:29"
13979,E_M_robert_de_niro.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60b9c3e861a7d399a18606c9,"04/26/2022, 14:09:29"
4240,P_F_hillary_clinton.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,60b9c3e861a7d399a18606c9,"04/26/2022, 14:09:29"
3791,E_F_angelina_jolie.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60b9c3e861a7d399a18606c9,"04/26/2022, 14:09:29"
2423,E_M_Hugh_Grant.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60b9c3e861a7d399a18606c9,"04/26/2022, 14:09:29"
24594,E_M_nicolas_cage.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60b9c3e861a7d399a18606c9,"04/26/2022, 14:09:29"
14243,E_F_Judi_Dench.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,60b9c3e861a7d399a18606c9,"04/26/2022, 14:09:29"
2731,E_M_nicolas_cage.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60b9c3e861a7d399a18606c9,"04/26/2022, 14:09:29"
6717,E_F_angelina_jolie.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,60b9c3e861a7d399a18606c9,"04/26/2022, 14:09:29"
6760,E_F_jennifer_aniston.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,60b9c3e861a7d399a18606c9,"04/26/2022, 14:09:29"
12202,E_M_tom_hankes.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,60b9c3e861a7d399a18606c9,"04/26/2022, 14:09:29"
11929,E_F_Judi_Dench.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60b9c3e861a7d399a18606c9,"04/26/2022, 14:09:29"
4522,E_F_Judi_Dench.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,60b9c3e861a7d399a18606c9,"04/26/2022, 14:09:29"
7803,E_F_keira_knightley.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60b9c3e861a7d399a18606c9,"04/26/2022, 14:09:29"
3324,E_M_michael_caine.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60b9c3e861a7d399a18606c9,"04/26/2022, 14:09:29"
3291,E_M_Hugh_Grant.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60b9c3e861a7d399a18606c9,"04/26/2022, 14:09:29"
4444,E_M_Hugh_Grant.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60b9c3e861a7d399a18606c9,"04/26/2022, 14:09:29"
7646,E_F_Kate_Winslet.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,60b9c3e861a7d399a18606c9,"04/26/2022, 14:09:29"
4707,E_F_Kate_Winslet.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,60b9c3e861a7d399a18606c9,"04/26/2022, 14:09:29"
4569,P_M_bill_clinton.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,60b9c3e861a7d399a18606c9,"04/26/2022, 14:09:29"
3113,P_M_bill_clinton.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,60b9c3e861a7d399a18606c9,"04/26/2022, 14:09:29"
8471,E_F_angelina_jolie.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,60b9c3e861a7d399a18606c9,"04/26/2022, 14:09:29"
11001,E_F_jennifer_aniston.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60b9c3e861a7d399a18606c9,"04/26/2022, 14:09:29"
3130,E_F_jennifer_aniston.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,60b9c3e861a7d399a18606c9,"04/26/2022, 14:09:29"
5767,E_M_nicolas_cage.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60b9c3e861a7d399a18606c9,"04/26/2022, 14:09:29"
7246,P_F_hillary_clinton.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,60b9c3e861a7d399a18606c9,"04/26/2022, 14:09:29"
2281,E_F_Judi_Dench.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,60b9c3e861a7d399a18606c9,"04/26/2022, 14:09:29"
8860,E_M_nicolas_cage.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,60b9c3e861a7d399a18606c9,"04/26/2022, 14:09:29"
4113,E_F_angelina_jolie.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,60b9c3e861a7d399a18606c9,"04/26/2022, 14:09:29"
16597,E_F_sandra_bullock.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,60b9c3e861a7d399a18606c9,"04/26/2022, 14:09:29"
2627,E_F_jennifer_aniston.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60b9c3e861a7d399a18606c9,"04/26/2022, 14:09:29"
