RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,6054b31bb0b1a5d777767e47,"04/26/2022, 13:56:08"
4827,P_M_boris_johnson.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,6054b31bb0b1a5d777767e47,"04/26/2022, 13:56:08"
5187,E_M_robert_de_niro.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,6054b31bb0b1a5d777767e47,"04/26/2022, 13:56:08"
3835,E_F_jennifer_aniston.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,6054b31bb0b1a5d777767e47,"04/26/2022, 13:56:08"
3426,E_F_angelina_jolie.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,6054b31bb0b1a5d777767e47,"04/26/2022, 13:56:08"
4990,E_F_angelina_jolie.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,6054b31bb0b1a5d777767e47,"04/26/2022, 13:56:08"
3067,E_M_Hugh_Grant.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,6054b31bb0b1a5d777767e47,"04/26/2022, 13:56:08"
5439,E_F_keira_knightley.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,6054b31bb0b1a5d777767e47,"04/26/2022, 13:56:08"
3552,P_F_tehresy_may.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,6054b31bb0b1a5d777767e47,"04/26/2022, 13:56:08"
2623,E_F_keira_knightley.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,6054b31bb0b1a5d777767e47,"04/26/2022, 13:56:08"
5387,E_F_keira_knightley.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,6054b31bb0b1a5d777767e47,"04/26/2022, 13:56:08"
5074,E_F_Kate_Winslet.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,6054b31bb0b1a5d777767e47,"04/26/2022, 13:56:08"
5910,E_M_michael_caine.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,6054b31bb0b1a5d777767e47,"04/26/2022, 13:56:08"
3257,E_F_keira_knightley.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,6054b31bb0b1a5d777767e47,"04/26/2022, 13:56:08"
9156,E_M_Hugh_Grant.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,6054b31bb0b1a5d777767e47,"04/26/2022, 13:56:08"
2793,P_M_bill_clinton.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,6054b31bb0b1a5d777767e47,"04/26/2022, 13:56:08"
2148,E_F_sandra_bullock.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,6054b31bb0b1a5d777767e47,"04/26/2022, 13:56:08"
2476,E_F_angelina_jolie.jpg,E_F_Judi_Dench.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,6054b31bb0b1a5d777767e47,"04/26/2022, 13:56:08"
3515,P_F_hillary_clinton.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,6054b31bb0b1a5d777767e47,"04/26/2022, 13:56:08"
3957,E_M_tom_hankes.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,6054b31bb0b1a5d777767e47,"04/26/2022, 13:56:08"
3320,E_F_sandra_bullock.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,6054b31bb0b1a5d777767e47,"04/26/2022, 13:56:08"
2700,E_M_michael_caine.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,6054b31bb0b1a5d777767e47,"04/26/2022, 13:56:08"
3077,E_F_angelina_jolie.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,6054b31bb0b1a5d777767e47,"04/26/2022, 13:56:08"
4443,P_M_david_cameron.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,6054b31bb0b1a5d777767e47,"04/26/2022, 13:56:08"
2402,E_M_tom_hankes.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,6054b31bb0b1a5d777767e47,"04/26/2022, 13:56:08"
