RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,60394fde95a5a03dcc668c4b,"04/26/2022, 14:20:25"
7609,P_F_hillary_clinton.jpg,P_F_nicola_sturgeon.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,5,60394fde95a5a03dcc668c4b,"04/26/2022, 14:20:25"
4308,E_F_Kate_Winslet.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,60394fde95a5a03dcc668c4b,"04/26/2022, 14:20:25"
37827,E_F_keira_knightley.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,60394fde95a5a03dcc668c4b,"04/26/2022, 14:20:25"
13495,E_F_Judi_Dench.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,60394fde95a5a03dcc668c4b,"04/26/2022, 14:20:25"
13886,E_F_angelina_jolie.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,60394fde95a5a03dcc668c4b,"04/26/2022, 14:20:25"
17049,E_M_tom_hankes.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60394fde95a5a03dcc668c4b,"04/26/2022, 14:20:25"
4458,E_F_Kate_Winslet.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,60394fde95a5a03dcc668c4b,"04/26/2022, 14:20:25"
17016,E_F_Judi_Dench.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,60394fde95a5a03dcc668c4b,"04/26/2022, 14:20:25"
13147,E_F_Kate_Winslet.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,60394fde95a5a03dcc668c4b,"04/26/2022, 14:20:25"
4327,E_M_robert_de_niro.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,60394fde95a5a03dcc668c4b,"04/26/2022, 14:20:25"
11623,E_M_nicolas_cage.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,60394fde95a5a03dcc668c4b,"04/26/2022, 14:20:25"
5021,P_F_hillary_clinton.jpg,P_F_tehresy_may.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,4,60394fde95a5a03dcc668c4b,"04/26/2022, 14:20:25"
4237,E_F_sandra_bullock.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,60394fde95a5a03dcc668c4b,"04/26/2022, 14:20:25"
8171,P_F_nicola_sturgeon.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,60394fde95a5a03dcc668c4b,"04/26/2022, 14:20:25"
6630,E_M_michael_caine.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,60394fde95a5a03dcc668c4b,"04/26/2022, 14:20:25"
6354,E_M_michael_caine.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,60394fde95a5a03dcc668c4b,"04/26/2022, 14:20:25"
3666,E_F_jennifer_aniston.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60394fde95a5a03dcc668c4b,"04/26/2022, 14:20:25"
3567,E_F_keira_knightley.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,60394fde95a5a03dcc668c4b,"04/26/2022, 14:20:25"
4214,E_F_sandra_bullock.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,60394fde95a5a03dcc668c4b,"04/26/2022, 14:20:25"
26391,E_M_Hugh_Grant.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60394fde95a5a03dcc668c4b,"04/26/2022, 14:20:25"
14323,E_F_Judi_Dench.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,60394fde95a5a03dcc668c4b,"04/26/2022, 14:20:25"
12953,E_M_Hugh_Grant.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,60394fde95a5a03dcc668c4b,"04/26/2022, 14:20:25"
3354,E_M_Hugh_Grant.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60394fde95a5a03dcc668c4b,"04/26/2022, 14:20:25"
5299,E_M_Hugh_Grant.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,60394fde95a5a03dcc668c4b,"04/26/2022, 14:20:25"
3906,E_M_robert_de_niro.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60394fde95a5a03dcc668c4b,"04/26/2022, 14:20:25"
5021,E_F_Judi_Dench.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,60394fde95a5a03dcc668c4b,"04/26/2022, 14:20:25"
5453,E_F_angelina_jolie.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,60394fde95a5a03dcc668c4b,"04/26/2022, 14:20:25"
5110,P_F_hillary_clinton.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,60394fde95a5a03dcc668c4b,"04/26/2022, 14:20:25"
3087,E_F_Judi_Dench.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,60394fde95a5a03dcc668c4b,"04/26/2022, 14:20:25"
4448,E_F_jennifer_aniston.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,60394fde95a5a03dcc668c4b,"04/26/2022, 14:20:25"
8330,P_M_donald_trump.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,60394fde95a5a03dcc668c4b,"04/26/2022, 14:20:25"
5536,P_M_boris_johnson.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,60394fde95a5a03dcc668c4b,"04/26/2022, 14:20:25"
11412,P_M_david_cameron.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,60394fde95a5a03dcc668c4b,"04/26/2022, 14:20:25"
12739,E_M_nicolas_cage.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,60394fde95a5a03dcc668c4b,"04/26/2022, 14:20:25"
3480,E_F_jennifer_aniston.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,60394fde95a5a03dcc668c4b,"04/26/2022, 14:20:25"
3402,E_F_Judi_Dench.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,60394fde95a5a03dcc668c4b,"04/26/2022, 14:20:25"
3199,E_M_Hugh_Grant.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60394fde95a5a03dcc668c4b,"04/26/2022, 14:20:25"
2895,E_F_Kate_Winslet.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,60394fde95a5a03dcc668c4b,"04/26/2022, 14:20:25"
6805,E_F_keira_knightley.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,60394fde95a5a03dcc668c4b,"04/26/2022, 14:20:25"
3075,E_F_Judi_Dench.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,60394fde95a5a03dcc668c4b,"04/26/2022, 14:20:25"
5306,E_F_sandra_bullock.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,60394fde95a5a03dcc668c4b,"04/26/2022, 14:20:25"
16916,E_M_nicolas_cage.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60394fde95a5a03dcc668c4b,"04/26/2022, 14:20:25"
4376,E_F_Judi_Dench.jpg,E_F_Kate_Winslet.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,60394fde95a5a03dcc668c4b,"04/26/2022, 14:20:25"
4487,E_M_nicolas_cage.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,60394fde95a5a03dcc668c4b,"04/26/2022, 14:20:25"
12861,E_F_keira_knightley.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60394fde95a5a03dcc668c4b,"04/26/2022, 14:20:25"
5426,E_M_nicolas_cage.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,60394fde95a5a03dcc668c4b,"04/26/2022, 14:20:25"
11889,P_F_nicola_sturgeon.jpg,P_F_tehresy_may.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,5,60394fde95a5a03dcc668c4b,"04/26/2022, 14:20:25"
3279,E_M_michael_caine.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,60394fde95a5a03dcc668c4b,"04/26/2022, 14:20:25"
3752,E_F_keira_knightley.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,60394fde95a5a03dcc668c4b,"04/26/2022, 14:20:25"
20293,E_M_nicolas_cage.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,60394fde95a5a03dcc668c4b,"04/26/2022, 14:20:25"
10549,E_M_michael_caine.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,60394fde95a5a03dcc668c4b,"04/26/2022, 14:20:25"
6822,P_M_boris_johnson.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,60394fde95a5a03dcc668c4b,"04/26/2022, 14:20:25"
20323,E_F_Judi_Dench.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,60394fde95a5a03dcc668c4b,"04/26/2022, 14:20:25"
3978,E_M_robert_de_niro.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60394fde95a5a03dcc668c4b,"04/26/2022, 14:20:25"
5421,P_M_david_cameron.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,60394fde95a5a03dcc668c4b,"04/26/2022, 14:20:25"
7351,E_F_Kate_Winslet.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60394fde95a5a03dcc668c4b,"04/26/2022, 14:20:25"
4988,P_F_nicola_sturgeon.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,60394fde95a5a03dcc668c4b,"04/26/2022, 14:20:25"
2949,E_F_jennifer_aniston.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,60394fde95a5a03dcc668c4b,"04/26/2022, 14:20:25"
10169,P_F_tehresy_may.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,60394fde95a5a03dcc668c4b,"04/26/2022, 14:20:25"
3299,E_F_Kate_Winslet.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,60394fde95a5a03dcc668c4b,"04/26/2022, 14:20:25"
3376,E_M_michael_caine.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60394fde95a5a03dcc668c4b,"04/26/2022, 14:20:25"
3599,P_F_nicola_sturgeon.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,60394fde95a5a03dcc668c4b,"04/26/2022, 14:20:25"
8513,E_F_angelina_jolie.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,60394fde95a5a03dcc668c4b,"04/26/2022, 14:20:25"
3513,E_M_robert_de_niro.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60394fde95a5a03dcc668c4b,"04/26/2022, 14:20:25"
43065,E_F_sandra_bullock.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,60394fde95a5a03dcc668c4b,"04/26/2022, 14:20:25"
3578,E_M_tom_hankes.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60394fde95a5a03dcc668c4b,"04/26/2022, 14:20:25"
3129,E_M_robert_de_niro.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60394fde95a5a03dcc668c4b,"04/26/2022, 14:20:25"
8161,E_F_angelina_jolie.jpg,E_F_jennifer_aniston.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,60394fde95a5a03dcc668c4b,"04/26/2022, 14:20:25"
3153,E_F_keira_knightley.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60394fde95a5a03dcc668c4b,"04/26/2022, 14:20:25"
101239,E_F_jennifer_aniston.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60394fde95a5a03dcc668c4b,"04/26/2022, 14:20:25"
26679,E_F_jennifer_aniston.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,60394fde95a5a03dcc668c4b,"04/26/2022, 14:20:25"
2771,E_M_robert_de_niro.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,60394fde95a5a03dcc668c4b,"04/26/2022, 14:20:25"
3620,E_F_angelina_jolie.jpg,E_F_Kate_Winslet.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,60394fde95a5a03dcc668c4b,"04/26/2022, 14:20:25"
5353,E_F_Judi_Dench.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,60394fde95a5a03dcc668c4b,"04/26/2022, 14:20:25"
6650,E_M_michael_caine.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,60394fde95a5a03dcc668c4b,"04/26/2022, 14:20:25"
3485,E_F_sandra_bullock.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,60394fde95a5a03dcc668c4b,"04/26/2022, 14:20:25"
3498,E_F_angelina_jolie.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60394fde95a5a03dcc668c4b,"04/26/2022, 14:20:25"
3634,E_F_Kate_Winslet.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60394fde95a5a03dcc668c4b,"04/26/2022, 14:20:25"
4511,P_F_hillary_clinton.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,60394fde95a5a03dcc668c4b,"04/26/2022, 14:20:25"
5900,E_F_Judi_Dench.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,60394fde95a5a03dcc668c4b,"04/26/2022, 14:20:25"
3858,P_M_donald_trump.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,60394fde95a5a03dcc668c4b,"04/26/2022, 14:20:25"
7758,P_M_bill_clinton.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,60394fde95a5a03dcc668c4b,"04/26/2022, 14:20:25"
2913,E_M_tom_hankes.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60394fde95a5a03dcc668c4b,"04/26/2022, 14:20:25"
10136,E_F_sandra_bullock.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60394fde95a5a03dcc668c4b,"04/26/2022, 14:20:25"
4251,E_M_tom_hankes.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,60394fde95a5a03dcc668c4b,"04/26/2022, 14:20:25"
33078,E_M_Hugh_Grant.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60394fde95a5a03dcc668c4b,"04/26/2022, 14:20:25"
2926,E_F_Judi_Dench.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,60394fde95a5a03dcc668c4b,"04/26/2022, 14:20:25"
4586,E_M_robert_de_niro.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60394fde95a5a03dcc668c4b,"04/26/2022, 14:20:25"
3151,P_M_bill_clinton.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,60394fde95a5a03dcc668c4b,"04/26/2022, 14:20:25"
3380,E_F_Kate_Winslet.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60394fde95a5a03dcc668c4b,"04/26/2022, 14:20:25"
5015,E_M_nicolas_cage.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60394fde95a5a03dcc668c4b,"04/26/2022, 14:20:25"
4104,E_M_robert_de_niro.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,60394fde95a5a03dcc668c4b,"04/26/2022, 14:20:25"
6043,E_M_robert_de_niro.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60394fde95a5a03dcc668c4b,"04/26/2022, 14:20:25"
3389,E_F_angelina_jolie.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,60394fde95a5a03dcc668c4b,"04/26/2022, 14:20:25"
3321,E_F_keira_knightley.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60394fde95a5a03dcc668c4b,"04/26/2022, 14:20:25"
5034,E_M_nicolas_cage.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60394fde95a5a03dcc668c4b,"04/26/2022, 14:20:25"
7054,P_F_tehresy_may.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,60394fde95a5a03dcc668c4b,"04/26/2022, 14:20:25"
4900,P_M_george_Wbush.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,60394fde95a5a03dcc668c4b,"04/26/2022, 14:20:25"
5285,E_F_Kate_Winslet.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60394fde95a5a03dcc668c4b,"04/26/2022, 14:20:25"
5904,E_F_sandra_bullock.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60394fde95a5a03dcc668c4b,"04/26/2022, 14:20:25"
18090,E_F_jennifer_aniston.jpg,E_F_Kate_Winslet.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,60394fde95a5a03dcc668c4b,"04/26/2022, 14:20:25"
5466,E_F_sandra_bullock.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60394fde95a5a03dcc668c4b,"04/26/2022, 14:20:25"
2729,E_F_angelina_jolie.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,60394fde95a5a03dcc668c4b,"04/26/2022, 14:20:25"
3685,E_M_michael_caine.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60394fde95a5a03dcc668c4b,"04/26/2022, 14:20:25"
5652,E_F_jennifer_aniston.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60394fde95a5a03dcc668c4b,"04/26/2022, 14:20:25"
18648,E_M_tom_hankes.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,60394fde95a5a03dcc668c4b,"04/26/2022, 14:20:25"
3572,E_F_angelina_jolie.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60394fde95a5a03dcc668c4b,"04/26/2022, 14:20:25"
3403,E_F_Judi_Dench.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60394fde95a5a03dcc668c4b,"04/26/2022, 14:20:25"
3181,E_F_angelina_jolie.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,60394fde95a5a03dcc668c4b,"04/26/2022, 14:20:25"
3673,E_F_angelina_jolie.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,60394fde95a5a03dcc668c4b,"04/26/2022, 14:20:25"
14217,E_F_jennifer_aniston.jpg,E_F_Judi_Dench.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,60394fde95a5a03dcc668c4b,"04/26/2022, 14:20:25"
3612,E_M_Hugh_Grant.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,60394fde95a5a03dcc668c4b,"04/26/2022, 14:20:25"
5755,E_F_jennifer_aniston.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,60394fde95a5a03dcc668c4b,"04/26/2022, 14:20:25"
43067,E_F_keira_knightley.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,60394fde95a5a03dcc668c4b,"04/26/2022, 14:20:25"
4276,E_F_jennifer_aniston.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,60394fde95a5a03dcc668c4b,"04/26/2022, 14:20:25"
3490,E_F_Kate_Winslet.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,60394fde95a5a03dcc668c4b,"04/26/2022, 14:20:25"
3786,E_F_angelina_jolie.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,60394fde95a5a03dcc668c4b,"04/26/2022, 14:20:25"
3435,P_M_bill_clinton.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,60394fde95a5a03dcc668c4b,"04/26/2022, 14:20:25"
