RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,60394fde95a5a03dcc668c4b,"04/26/2022, 14:20:25"
5538,P_F_hillary_clinton.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,60394fde95a5a03dcc668c4b,"04/26/2022, 14:20:25"
5602,E_M_michael_caine.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,60394fde95a5a03dcc668c4b,"04/26/2022, 14:20:25"
10986,E_F_sandra_bullock.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,60394fde95a5a03dcc668c4b,"04/26/2022, 14:20:25"
4731,E_F_sandra_bullock.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,60394fde95a5a03dcc668c4b,"04/26/2022, 14:20:25"
4777,E_F_jennifer_aniston.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,60394fde95a5a03dcc668c4b,"04/26/2022, 14:20:25"
4315,E_F_jennifer_aniston.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,60394fde95a5a03dcc668c4b,"04/26/2022, 14:20:25"
5658,E_M_michael_caine.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,60394fde95a5a03dcc668c4b,"04/26/2022, 14:20:25"
8820,E_F_keira_knightley.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,60394fde95a5a03dcc668c4b,"04/26/2022, 14:20:25"
7538,E_M_nicolas_cage.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60394fde95a5a03dcc668c4b,"04/26/2022, 14:20:25"
24067,P_F_tehresy_may.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,60394fde95a5a03dcc668c4b,"04/26/2022, 14:20:25"
3965,P_F_tehresy_may.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,60394fde95a5a03dcc668c4b,"04/26/2022, 14:20:25"
5352,E_F_sandra_bullock.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,60394fde95a5a03dcc668c4b,"04/26/2022, 14:20:25"
4529,P_F_nicola_sturgeon.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,60394fde95a5a03dcc668c4b,"04/26/2022, 14:20:25"
5768,E_M_tom_hankes.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,60394fde95a5a03dcc668c4b,"04/26/2022, 14:20:25"
20451,E_F_Judi_Dench.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,60394fde95a5a03dcc668c4b,"04/26/2022, 14:20:25"
5169,P_F_nicola_sturgeon.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,60394fde95a5a03dcc668c4b,"04/26/2022, 14:20:25"
6303,E_F_jennifer_aniston.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,60394fde95a5a03dcc668c4b,"04/26/2022, 14:20:25"
9748,P_F_hillary_clinton.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,60394fde95a5a03dcc668c4b,"04/26/2022, 14:20:25"
5586,E_F_Kate_Winslet.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,60394fde95a5a03dcc668c4b,"04/26/2022, 14:20:25"
