RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,60a0067f943f8d336ec80fa1,"10/13/2022, 14:08:39"
2269,E_M_Russell_Howard.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,60a0067f943f8d336ec80fa1,"10/13/2022, 14:08:39"
1950,E_F_Dawn_Roma_French.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60a0067f943f8d336ec80fa1,"10/13/2022, 14:08:39"
2184,E_F_Dawn_Roma_French.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,60a0067f943f8d336ec80fa1,"10/13/2022, 14:08:39"
2893,E_M_Peter_Kay.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60a0067f943f8d336ec80fa1,"10/13/2022, 14:08:39"
2347,P_M_jeremy_corbyn.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,60a0067f943f8d336ec80fa1,"10/13/2022, 14:08:39"
1767,P_M_Gordon_Brown.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,60a0067f943f8d336ec80fa1,"10/13/2022, 14:08:39"
1681,E_F_Sarah_Millican.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60a0067f943f8d336ec80fa1,"10/13/2022, 14:08:39"
2547,P_M_jeremy_corbyn.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,60a0067f943f8d336ec80fa1,"10/13/2022, 14:08:39"
2636,E_M_Jimmy_Carr.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,60a0067f943f8d336ec80fa1,"10/13/2022, 14:08:39"
1932,E_M_Peter_Kay.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60a0067f943f8d336ec80fa1,"10/13/2022, 14:08:39"
2069,E_F_Jennifer_Saunders.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,60a0067f943f8d336ec80fa1,"10/13/2022, 14:08:39"
1527,E_M_Peter_Kay.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60a0067f943f8d336ec80fa1,"10/13/2022, 14:08:39"
2098,P_M_Gordon_Brown.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,60a0067f943f8d336ec80fa1,"10/13/2022, 14:08:39"
2109,E_F_Dawn_Roma_French.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,60a0067f943f8d336ec80fa1,"10/13/2022, 14:08:39"
2022,P_F_Theresa_May.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,60a0067f943f8d336ec80fa1,"10/13/2022, 14:08:39"
1877,P_F_nicola_sturge.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,60a0067f943f8d336ec80fa1,"10/13/2022, 14:08:39"
1881,E_M_Russell_Howard.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,60a0067f943f8d336ec80fa1,"10/13/2022, 14:08:39"
1798,E_F_Sarah_Millican.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60a0067f943f8d336ec80fa1,"10/13/2022, 14:08:39"
