RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5d53ece21e9091000105526a,"10/13/2022, 14:21:15"
5249,P_M_jeremy_corbyn.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5d53ece21e9091000105526a,"10/13/2022, 14:21:15"
4376,E_M_Jimmy_Carr.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5d53ece21e9091000105526a,"10/13/2022, 14:21:15"
6003,E_M_Peter_Kay.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5d53ece21e9091000105526a,"10/13/2022, 14:21:15"
5900,E_M_Ewan_McGregor.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5d53ece21e9091000105526a,"10/13/2022, 14:21:15"
5818,E_F_Sarah_Millican.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d53ece21e9091000105526a,"10/13/2022, 14:21:15"
5023,E_F_Julie_Walters.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5d53ece21e9091000105526a,"10/13/2022, 14:21:15"
5172,E_M_Jimmy_Carr.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5d53ece21e9091000105526a,"10/13/2022, 14:21:15"
3436,E_M_Michael_McIntyr.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5d53ece21e9091000105526a,"10/13/2022, 14:21:15"
3294,P_F_Theresa_May.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5d53ece21e9091000105526a,"10/13/2022, 14:21:15"
6359,P_M_Gordon_Brown.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5d53ece21e9091000105526a,"10/13/2022, 14:21:15"
3039,P_F_Theresa_May.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5d53ece21e9091000105526a,"10/13/2022, 14:21:15"
3022,E_M_Ewan_McGregor.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5d53ece21e9091000105526a,"10/13/2022, 14:21:15"
5653,E_F_Jennifer_Saunders.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5d53ece21e9091000105526a,"10/13/2022, 14:21:15"
3124,E_F_Julie_Walters.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5d53ece21e9091000105526a,"10/13/2022, 14:21:15"
2607,E_F_Julie_Walters.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d53ece21e9091000105526a,"10/13/2022, 14:21:15"
2811,E_M_Michael_McIntyr.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5d53ece21e9091000105526a,"10/13/2022, 14:21:15"
2514,P_M_david_camer.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5d53ece21e9091000105526a,"10/13/2022, 14:21:15"
7110,E_M_Russell_Howard.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5d53ece21e9091000105526a,"10/13/2022, 14:21:15"
3228,E_M_Jimmy_Carr.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5d53ece21e9091000105526a,"10/13/2022, 14:21:15"
7924,E_M_Peter_Kay.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5d53ece21e9091000105526a,"10/13/2022, 14:21:15"
3043,E_F_Jennifer_Saunders.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5d53ece21e9091000105526a,"10/13/2022, 14:21:15"
2517,E_F_Jennifer_Saunders.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5d53ece21e9091000105526a,"10/13/2022, 14:21:15"
4922,E_M_Russell_Howard.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5d53ece21e9091000105526a,"10/13/2022, 14:21:15"
6855,E_F_Dawn_Roma_French.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5d53ece21e9091000105526a,"10/13/2022, 14:21:15"
4231,E_F_Jennifer_Saunders.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5d53ece21e9091000105526a,"10/13/2022, 14:21:15"
5360,P_M_keir_starmer.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5d53ece21e9091000105526a,"10/13/2022, 14:21:15"
3897,E_M_Peter_Kay.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5d53ece21e9091000105526a,"10/13/2022, 14:21:15"
6252,E_F_Jennifer_Saunders.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5d53ece21e9091000105526a,"10/13/2022, 14:21:15"
3436,E_F_Julie_Walters.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5d53ece21e9091000105526a,"10/13/2022, 14:21:15"
3668,E_F_Dawn_Roma_French.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5d53ece21e9091000105526a,"10/13/2022, 14:21:15"
4750,E_F_Dawn_Roma_French.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5d53ece21e9091000105526a,"10/13/2022, 14:21:15"
4060,E_M_Michael_McIntyr.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5d53ece21e9091000105526a,"10/13/2022, 14:21:15"
3940,P_M_Gordon_Brown.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5d53ece21e9091000105526a,"10/13/2022, 14:21:15"
