RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,62c5d0cfdf443d24e054d302,"10/13/2022, 15:07:06"
7988,P_F_Theresa_May.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,62c5d0cfdf443d24e054d302,"10/13/2022, 15:07:06"
7679,P_M_david_camer.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,62c5d0cfdf443d24e054d302,"10/13/2022, 15:07:06"
8425,E_M_Peter_Kay.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,62c5d0cfdf443d24e054d302,"10/13/2022, 15:07:06"
4050,P_M_david_camer.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,62c5d0cfdf443d24e054d302,"10/13/2022, 15:07:06"
10051,E_F_Sarah_Millican.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,62c5d0cfdf443d24e054d302,"10/13/2022, 15:07:06"
4726,E_F_Jennifer_Saunders.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,62c5d0cfdf443d24e054d302,"10/13/2022, 15:07:06"
6308,E_F_Dawn_Roma_French.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,62c5d0cfdf443d24e054d302,"10/13/2022, 15:07:06"
2901,E_F_Jennifer_Saunders.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,62c5d0cfdf443d24e054d302,"10/13/2022, 15:07:06"
4000,P_F_Theresa_May.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,62c5d0cfdf443d24e054d302,"10/13/2022, 15:07:06"
12089,E_F_Sarah_Millican.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,62c5d0cfdf443d24e054d302,"10/13/2022, 15:07:06"
5063,P_M_Sajid_Javid.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,62c5d0cfdf443d24e054d302,"10/13/2022, 15:07:06"
3045,E_M_Peter_Kay.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,62c5d0cfdf443d24e054d302,"10/13/2022, 15:07:06"
4883,E_F_Julie_Walters.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,62c5d0cfdf443d24e054d302,"10/13/2022, 15:07:06"
3746,E_M_Jimmy_Carr.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,62c5d0cfdf443d24e054d302,"10/13/2022, 15:07:06"
5156,P_M_jeremy_corbyn.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,62c5d0cfdf443d24e054d302,"10/13/2022, 15:07:06"
3160,E_M_Jimmy_Carr.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,62c5d0cfdf443d24e054d302,"10/13/2022, 15:07:06"
8681,E_F_Julie_Walters.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,62c5d0cfdf443d24e054d302,"10/13/2022, 15:07:06"
5712,P_M_Gordon_Brown.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,62c5d0cfdf443d24e054d302,"10/13/2022, 15:07:06"
8490,E_M_Peter_Kay.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,62c5d0cfdf443d24e054d302,"10/13/2022, 15:07:06"
6932,E_F_Sarah_Millican.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,62c5d0cfdf443d24e054d302,"10/13/2022, 15:07:06"
7111,E_M_Jimmy_Carr.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,62c5d0cfdf443d24e054d302,"10/13/2022, 15:07:06"
2989,E_M_Peter_Kay.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,62c5d0cfdf443d24e054d302,"10/13/2022, 15:07:06"
3259,P_F_Theresa_May.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,62c5d0cfdf443d24e054d302,"10/13/2022, 15:07:06"
4115,P_M_keir_starmer.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,62c5d0cfdf443d24e054d302,"10/13/2022, 15:07:06"
3642,P_F_Theresa_May.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,62c5d0cfdf443d24e054d302,"10/13/2022, 15:07:06"
