RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,63289f0f28963caadc782a5d,"10/13/2022, 14:05:48"
1742,E_F_Jennifer_Saunders.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,63289f0f28963caadc782a5d,"10/13/2022, 14:05:48"
1816,E_M_Russell_Howard.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,63289f0f28963caadc782a5d,"10/13/2022, 14:05:48"
2120,P_M_keir_starmer.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,63289f0f28963caadc782a5d,"10/13/2022, 14:05:48"
2007,P_M_jeremy_corbyn.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,63289f0f28963caadc782a5d,"10/13/2022, 14:05:48"
1067,E_M_Simon_Pegg.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,63289f0f28963caadc782a5d,"10/13/2022, 14:05:48"
3102,E_M_Ewan_McGregor.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,63289f0f28963caadc782a5d,"10/13/2022, 14:05:48"
2137,E_M_Ewan_McGregor.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,63289f0f28963caadc782a5d,"10/13/2022, 14:05:48"
858,E_F_Dawn_Roma_French.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,63289f0f28963caadc782a5d,"10/13/2022, 14:05:48"
748,E_F_Dawn_Roma_French.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,63289f0f28963caadc782a5d,"10/13/2022, 14:05:48"
720,P_F_Theresa_May.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,63289f0f28963caadc782a5d,"10/13/2022, 14:05:48"
1351,E_M_Russell_Howard.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,63289f0f28963caadc782a5d,"10/13/2022, 14:05:48"
875,E_M_Russell_Howard.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,63289f0f28963caadc782a5d,"10/13/2022, 14:05:48"
822,E_F_Sarah_Millican.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,63289f0f28963caadc782a5d,"10/13/2022, 14:05:48"
907,P_F_Theresa_May.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,63289f0f28963caadc782a5d,"10/13/2022, 14:05:48"
1053,P_F_nicola_sturge.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,63289f0f28963caadc782a5d,"10/13/2022, 14:05:48"
711,P_F_nicola_sturge.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,63289f0f28963caadc782a5d,"10/13/2022, 14:05:48"
736,P_M_Gordon_Brown.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,63289f0f28963caadc782a5d,"10/13/2022, 14:05:48"
909,E_F_Sarah_Millican.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,63289f0f28963caadc782a5d,"10/13/2022, 14:05:48"
714,E_F_Jennifer_Saunders.png,E_F_Julie_Walters.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,63289f0f28963caadc782a5d,"10/13/2022, 14:05:48"
