RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5641193817bdbe00122a0f23,"10/13/2022, 14:11:46"
2989,E_F_Jennifer_Saunders.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5641193817bdbe00122a0f23,"10/13/2022, 14:11:46"
3516,E_F_Julie_Walters.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5641193817bdbe00122a0f23,"10/13/2022, 14:11:46"
2415,E_F_Sarah_Millican.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5641193817bdbe00122a0f23,"10/13/2022, 14:11:46"
3159,E_F_Dawn_Roma_French.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5641193817bdbe00122a0f23,"10/13/2022, 14:11:46"
2585,E_M_Peter_Kay.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5641193817bdbe00122a0f23,"10/13/2022, 14:11:46"
2929,E_M_Simon_Pegg.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5641193817bdbe00122a0f23,"10/13/2022, 14:11:46"
2196,E_F_Dawn_Roma_French.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5641193817bdbe00122a0f23,"10/13/2022, 14:11:46"
4162,P_M_Michael_Gove.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5641193817bdbe00122a0f23,"10/13/2022, 14:11:46"
1443,E_M_Simon_Pegg.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5641193817bdbe00122a0f23,"10/13/2022, 14:11:46"
1971,E_F_Jennifer_Saunders.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5641193817bdbe00122a0f23,"10/13/2022, 14:11:46"
1685,P_F_Theresa_May.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5641193817bdbe00122a0f23,"10/13/2022, 14:11:46"
2973,E_M_Jimmy_Carr.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5641193817bdbe00122a0f23,"10/13/2022, 14:11:46"
1757,E_M_Ewan_McGregor.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5641193817bdbe00122a0f23,"10/13/2022, 14:11:46"
1554,E_F_Julie_Walters.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5641193817bdbe00122a0f23,"10/13/2022, 14:11:46"
3224,P_F_nicola_sturge.png,P_F_Theresa_May.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,5,5641193817bdbe00122a0f23,"10/13/2022, 14:11:46"
2408,E_F_Julie_Walters.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5641193817bdbe00122a0f23,"10/13/2022, 14:11:46"
1333,P_M_Michael_Gove.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5641193817bdbe00122a0f23,"10/13/2022, 14:11:46"
1435,E_F_Sarah_Millican.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5641193817bdbe00122a0f23,"10/13/2022, 14:11:46"
1784,E_F_Julie_Walters.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,5641193817bdbe00122a0f23,"10/13/2022, 14:11:46"
1940,E_F_Dawn_Roma_French.png,E_F_Julie_Walters.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,5641193817bdbe00122a0f23,"10/13/2022, 14:11:46"
1619,E_M_Ewan_McGregor.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5641193817bdbe00122a0f23,"10/13/2022, 14:11:46"
1609,E_M_Simon_Pegg.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5641193817bdbe00122a0f23,"10/13/2022, 14:11:46"
3747,E_M_Simon_Pegg.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5641193817bdbe00122a0f23,"10/13/2022, 14:11:46"
1911,E_M_Ewan_McGregor.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5641193817bdbe00122a0f23,"10/13/2022, 14:11:46"
1760,P_M_Gordon_Brown.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5641193817bdbe00122a0f23,"10/13/2022, 14:11:46"
1974,E_F_Dawn_Roma_French.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,5641193817bdbe00122a0f23,"10/13/2022, 14:11:46"
1976,E_M_Jimmy_Carr.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5641193817bdbe00122a0f23,"10/13/2022, 14:11:46"
